Codigo Municipio,Poblacion Total,Poblacion Hombre,Poblacion Mujer
01,333626.0,164252.0,169374.0
01001,2925.0,1517.0,1408.0
01002,10307.0,5084.0,5223.0
01049,155.0,94.0,61.0
01003,1456.0,756.0,700.0
01006,231.0,117.0,114.0
01037,800.0,447.0,353.0
01008,1017.0,550.0,467.0
01004,1809.0,888.0,921.0
01009,1633.0,830.0,803.0
01010,2951.0,1502.0,1449.0
01011,287.0,158.0,129.0
01013,895.0,493.0,402.0
01014,465.0,242.0,223.0
01016,538.0,314.0,224.0
01017,1081.0,576.0,505.0
01021,634.0,332.0,302.0
01022,996.0,499.0,497.0
01023,327.0,159.0,168.0
01046,826.0,475.0,351.0
01056,226.0,125.0,101.0
01901,3468.0,1825.0,1643.0
01027,529.0,290.0,239.0
01019,175.0,91.0,84.0
01020,396.0,227.0,169.0
01028,1532.0,789.0,743.0
01030,171.0,97.0,74.0
01031,1464.0,751.0,713.0
01032,692.0,366.0,326.0
01902,915.0,514.0,401.0
01033,858.0,436.0,422.0
01036,18009.0,8767.0,9242.0
01058,1993.0,1054.0,939.0
01034,219.0,112.0,107.0
01039,209.0,107.0,102.0
01041,197.0,111.0,86.0
01042,1196.0,626.0,570.0
01043,3418.0,1737.0,1681.0
01044,299.0,177.0,122.0
01047,1421.0,764.0,657.0
01051,5029.0,2522.0,2507.0
01052,308.0,147.0,161.0
01053,716.0,389.0,327.0
01054,1414.0,733.0,681.0
01055,1049.0,568.0,481.0
01057,287.0,148.0,139.0
01059,253093.0,123092.0,130001.0
01060,266.0,135.0,131.0
01061,192.0,105.0,87.0
01062,432.0,231.0,201.0
01018,1802.0,972.0,830.0
01063,2318.0,1211.0,1107.0
02,386464.0,193205.0,193259.0
02001,748.0,365.0,383.0
02002,496.0,272.0,224.0
02003,172722.0,84365.0,88357.0
02004,681.0,354.0,327.0
02005,670.0,350.0,320.0
02006,632.0,344.0,288.0
02007,1153.0,621.0,532.0
02008,1310.0,682.0,628.0
02009,24388.0,12127.0,12261.0
02010,2285.0,1189.0,1096.0
02011,582.0,314.0,268.0
02012,2363.0,1208.0,1155.0
02014,413.0,217.0,196.0
02013,129.0,73.0,56.0
02015,1808.0,926.0,882.0
02016,595.0,319.0,276.0
02017,768.0,400.0,368.0
02018,1031.0,536.0,495.0
02019,2718.0,1376.0,1342.0
02020,496.0,265.0,231.0
02021,1361.0,729.0,632.0
02022,328.0,179.0,149.0
02023,564.0,295.0,269.0
02024,4540.0,2274.0,2266.0
02025,10077.0,5135.0,4942.0
02026,1186.0,594.0,592.0
02029,4344.0,2261.0,2083.0
02027,306.0,165.0,141.0
02028,134.0,71.0,63.0
02030,3557.0,1745.0,1812.0
02031,628.0,309.0,319.0
02032,280.0,159.0,121.0
02033,2447.0,1280.0,1167.0
02034,1836.0,942.0,894.0
02035,2554.0,1321.0,1233.0
02036,99.0,52.0,47.0
02037,30427.0,15281.0,15146.0
02038,311.0,161.0,150.0
02039,1144.0,599.0,545.0
02040,598.0,322.0,276.0
02041,363.0,196.0,167.0
02042,909.0,444.0,465.0
02043,1322.0,684.0,638.0
02044,1123.0,585.0,538.0
02045,4654.0,2379.0,2275.0
02046,1380.0,709.0,671.0
02047,105.0,61.0,44.0
02048,1483.0,764.0,719.0
02049,829.0,430.0,399.0
02050,86.0,48.0,38.0
02051,2038.0,1054.0,984.0
02052,605.0,330.0,275.0
02053,3433.0,1769.0,1664.0
02054,536.0,281.0,255.0
02055,1197.0,660.0,537.0
02056,1963.0,990.0,973.0
02057,2241.0,1127.0,1114.0
02058,323.0,178.0,145.0
02060,1410.0,827.0,583.0
02059,320.0,176.0,144.0
02061,676.0,356.0,320.0
02062,401.0,220.0,181.0
02901,2797.0,1422.0,1375.0
02063,1584.0,826.0,758.0
02064,394.0,204.0,190.0
02065,465.0,250.0,215.0
02066,225.0,128.0,97.0
02067,1326.0,684.0,642.0
02068,391.0,211.0,180.0
02069,15401.0,7794.0,7607.0
02070,461.0,242.0,219.0
02071,1148.0,594.0,554.0
02072,1750.0,902.0,848.0
02073,6184.0,3169.0,3015.0
02074,7691.0,3974.0,3717.0
02075,1947.0,997.0,950.0
02076,327.0,171.0,156.0
02077,62.0,36.0,26.0
02078,1081.0,577.0,504.0
02079,4040.0,2062.0,1978.0
02080,556.0,285.0,271.0
02081,24978.0,12350.0,12628.0
02082,108.0,63.0,45.0
02083,214.0,131.0,83.0
02084,333.0,182.0,151.0
02085,328.0,172.0,156.0
02086,2567.0,1334.0,1233.0
03,1881762.0,932018.0,949744.0
03002,4906.0,2474.0,2432.0
03003,580.0,319.0,261.0
03004,1049.0,544.0,505.0
03005,12714.0,6420.0,6294.0
03006,1336.0,667.0,669.0
03007,243.0,118.0,125.0
03008,181.0,100.0,81.0
03009,59128.0,28964.0,30164.0
03010,408.0,195.0,213.0
03011,20495.0,10144.0,10351.0
03012,3396.0,1731.0,1665.0
03013,1334.0,672.0,662.0
03014,337304.0,163052.0,174252.0
03015,21404.0,10773.0,10631.0
03016,117.0,56.0,61.0
03017,498.0,246.0,252.0
03018,22657.0,11117.0,11540.0
03019,21088.0,10612.0,10476.0
03001,609.0,315.0,294.0
03020,134.0,71.0,63.0
03021,7113.0,3572.0,3541.0
03022,170.0,79.0,91.0
03023,1707.0,861.0,846.0
03024,5453.0,2736.0,2717.0
03025,1958.0,1010.0,948.0
03026,2227.0,1143.0,1084.0
03027,192.0,96.0,96.0
03028,1083.0,557.0,526.0
03030,1166.0,585.0,581.0
03031,69118.0,34455.0,34663.0
03032,103.0,56.0,47.0
03033,135.0,70.0,65.0
03029,483.0,239.0,244.0
03034,3323.0,1614.0,1709.0
03035,737.0,392.0,345.0
03036,101.0,54.0,47.0
03037,501.0,259.0,242.0
03038,397.0,203.0,194.0
03039,97.0,55.0,42.0
03040,415.0,189.0,226.0
03041,11462.0,5626.0,5836.0
03042,4447.0,2220.0,2227.0
03043,3628.0,1776.0,1852.0
03044,6994.0,3514.0,3480.0
03045,426.0,222.0,204.0
03046,3207.0,1628.0,1579.0
03049,19273.0,9835.0,9438.0
03048,7589.0,3919.0,3670.0
03047,23530.0,11801.0,11729.0
03050,29013.0,14086.0,14927.0
03051,429.0,217.0,212.0
03052,1191.0,590.0,601.0
03053,10752.0,5484.0,5268.0
03054,425.0,226.0,199.0
03075,243.0,118.0,125.0
03055,8880.0,4450.0,4430.0
03056,11451.0,5783.0,5668.0
03057,271.0,147.0,124.0
03058,7427.0,3768.0,3659.0
03059,29717.0,15038.0,14679.0
03061,1757.0,856.0,901.0
03062,707.0,352.0,355.0
03063,42953.0,20826.0,22127.0
03064,7620.0,3804.0,3816.0
03065,234205.0,116222.0,117983.0
03066,52551.0,25618.0,26933.0
03067,105.0,54.0,51.0
03068,45.0,24.0,21.0
03069,7402.0,3798.0,3604.0
03077,2634.0,1352.0,1282.0
03070,4337.0,2203.0,2134.0
03072,505.0,248.0,257.0
03071,6223.0,3172.0,3051.0
03073,261.0,141.0,120.0
03074,2609.0,1353.0,1256.0
03076,15983.0,7779.0,8204.0
03078,1299.0,658.0,641.0
03079,23652.0,11845.0,11807.0
03080,2030.0,1035.0,995.0
03082,27983.0,13977.0,14006.0
03083,6861.0,3328.0,3533.0
03085,883.0,442.0,441.0
03084,584.0,290.0,294.0
03086,242.0,130.0,112.0
03088,8500.0,4417.0,4083.0
03089,12188.0,6087.0,6101.0
03903,5123.0,2624.0,2499.0
03091,549.0,255.0,294.0
03092,9326.0,4653.0,4673.0
03090,25679.0,12839.0,12840.0
03093,25611.0,12726.0,12885.0
03094,18108.0,9220.0,8888.0
03095,7080.0,3564.0,3516.0
03096,7569.0,3770.0,3799.0
03097,2233.0,1092.0,1141.0
03099,78940.0,39105.0,39835.0
03098,787.0,397.0,390.0
03100,983.0,489.0,494.0
03101,8006.0,3989.0,4017.0
03102,10240.0,5085.0,5155.0
03103,275.0,141.0,134.0
03104,34009.0,16850.0,17159.0
03902,22597.0,11611.0,10986.0
03105,8142.0,4126.0,4016.0
03106,693.0,376.0,317.0
03901,2721.0,1296.0,1425.0
03107,5069.0,2573.0,2496.0
03060,117.0,63.0,54.0
03109,4597.0,2275.0,2322.0
03110,670.0,346.0,324.0
03111,8058.0,4197.0,3861.0
03112,1173.0,601.0,572.0
03113,15978.0,8162.0,7816.0
03114,2542.0,1329.0,1213.0
03115,427.0,201.0,226.0
03116,1642.0,842.0,800.0
03118,8447.0,4275.0,4172.0
03904,2146.0,1117.0,1029.0
03120,6553.0,3284.0,3269.0
03122,58912.0,29148.0,29764.0
03117,702.0,348.0,354.0
03119,24363.0,11755.0,12608.0
03121,34148.0,17132.0,17016.0
03123,9935.0,5012.0,4923.0
03124,578.0,305.0,273.0
03125,605.0,312.0,293.0
03127,642.0,338.0,304.0
03128,11466.0,5723.0,5743.0
03129,1691.0,892.0,799.0
03130,37.0,23.0,14.0
03131,327.0,156.0,171.0
03132,681.0,355.0,326.0
03133,82842.0,40721.0,42121.0
03134,163.0,90.0,73.0
03136,557.0,293.0,264.0
03137,843.0,419.0,424.0
03135,204.0,105.0,99.0
03138,4841.0,2412.0,2429.0
03139,34684.0,17216.0,17468.0
03140,34025.0,17068.0,16957.0
03081,2892.0,1448.0,1444.0
04,731792.0,373136.0,358656.0
04001,1258.0,646.0,612.0
04002,1208.0,639.0,569.0
04003,25501.0,13058.0,12443.0
04004,726.0,379.0,347.0
04005,612.0,297.0,315.0
04006,12070.0,6186.0,5884.0
04007,849.0,438.0,411.0
04008,542.0,304.0,238.0
04009,129.0,69.0,60.0
04010,675.0,354.0,321.0
04011,3733.0,1872.0,1861.0
04012,204.0,103.0,101.0
04013,200753.0,98141.0,102612.0
04014,197.0,104.0,93.0
04015,131.0,79.0,52.0
04016,3355.0,1743.0,1612.0
04017,4685.0,2356.0,2329.0
04018,313.0,156.0,157.0
04019,249.0,135.0,114.0
04904,2959.0,1568.0,1391.0
04020,317.0,173.0,144.0
04021,219.0,101.0,118.0
04022,974.0,500.0,474.0
04023,132.0,63.0,69.0
04024,4526.0,2246.0,2280.0
04026,59.0,33.0,26.0
04027,263.0,148.0,115.0
04028,239.0,132.0,107.0
04029,12708.0,6508.0,6200.0
04030,1178.0,619.0,559.0
04031,3547.0,1790.0,1757.0
04032,8183.0,4205.0,3978.0
04033,115.0,61.0,54.0
04036,288.0,143.0,145.0
04037,1501.0,769.0,732.0
04034,170.0,92.0,78.0
04035,14623.0,7592.0,7031.0
04038,4102.0,2031.0,2071.0
04902,84005.0,43349.0,40656.0
04041,540.0,298.0,242.0
04043,664.0,381.0,283.0
04044,2160.0,1131.0,1029.0
04045,1977.0,1001.0,976.0
04046,1032.0,533.0,499.0
04047,3008.0,1564.0,1444.0
04048,3003.0,1517.0,1486.0
04049,9875.0,5220.0,4655.0
04050,1107.0,587.0,520.0
04051,491.0,244.0,247.0
04052,17974.0,9131.0,8843.0
04053,19744.0,9799.0,9945.0
04054,436.0,229.0,207.0
04055,462.0,239.0,223.0
04056,197.0,110.0,87.0
