Codigo Municipio,Superficie Km2,Densidad Poblacion
01001,19.95,146.62
01002,96.3,107.03
01003,73.02,19.94
01004,27.29,66.29
01006,12.97,17.81
01008,57.56,17.67
01009,65.34,24.99
01010,140.97,20.93
01011,9.5,30.21
01013,97.42,9.19
01014,35.75,13.01
01016,130.48,4.12
01017,85.36,12.66
01018,102.09,17.65
01019,12.52,13.98
01020,84.32,4.7
01021,32.09,19.76
01022,16.26,61.25
01023,17.5,18.69
01027,47.13,11.22
01028,38.11,40.2
01030,45.62,3.75
01031,80.94,18.09
01032,24.25,28.54
01033,6.05,141.82
01034,9.92,22.08
01036,37.73,477.31
01037,123.11,6.5
01039,8.67,24.11
01041,8.92,22.09
01042,29.85,40.07
01043,45.18,75.65
01044,62.15,4.81
01046,119.82,6.89
01047,25.31,56.14
01049,21.92,7.07
01051,37.77,133.15
01052,10.58,29.11
01053,85.41,8.38
01054,60.85,23.24
01055,238.23,4.4
01056,39.12,5.78
01057,8.48,33.84
01058,45.85,43.47
01059,276.98,913.76
01060,18.8,14.15
01061,11.88,16.16
01062,39.57,10.92
01063,122.58,18.91
01901,53.24,65.14
01902,67.45,13.57
02001,30.77,24.31
02002,63.86,7.77
02003,1126.99,153.26
02004,30.5,22.33
02005,71.87,9.32
02006,99.59,6.35
02007,146.82,7.85
02008,370.53,3.54
02009,531.82,45.86
02010,178.47,12.8
02011,146.59,3.97
02012,65.15,36.27
02013,75.89,1.7
02014,138.69,2.98
02015,189.83,9.52
02016,90.73,6.56
02017,166.01,4.63
02018,125.06,8.24
02019,502.87,5.4
02020,75.36,6.58
02021,88.98,15.3
02022,112.32,2.92
02023,125.41,4.5
02024,103.25,43.97
02025,141.63,71.15
02026,63.26,18.75
02027,94.76,3.23
02028,14.47,9.26
02029,679.27,6.4
02030,239.49,14.85
02031,126.14,4.98
02032,23.96,11.69
02033,133.37,18.35
02034,108.29,16.95
02035,136.76,18.68
02036,28.18,3.51
02037,781.66,38.93
02038,63.43,4.9
02039,205.45,5.57
02040,114.57,5.22
02041,67.97,5.34
02042,264.4,3.44
02043,360.9,3.66
02044,311.79,3.6
02045,73.35,63.45
02046,108.15,12.76
02047,103.87,1.01
02048,69.78,21.25
02049,143.59,5.77
02050,24.78,3.47
02051,177.85,11.46
02052,23.82,25.4
02053,229.69,14.95
02054,42.26,12.68
02055,436.74,2.74
02056,54.41,36.08
02057,243.71,9.2
02058,112.34,2.88
02059,189.26,1.69
02060,158.76,8.88
02061,74.61,9.06
02062,49.43,8.11
02063,136.49,11.61
02064,80.96,4.87
02065,133.98,3.47
02066,29.74,7.57
02067,80.92,16.39
02068,120.08,3.26
02069,398.89,38.61
02070,49.53,9.31
02071,83.12,13.81
02072,139.04,12.59
02073,212.68,29.08
02074,324.65,23.69
02075,70.66,27.55
02076,128.04,2.55
02077,57.76,1.07
02078,46.68,23.16
02079,128.33,31.48
02080,87.48,6.36
02081,862.39,28.96
02082,18.67,5.78
02083,34.84,6.14
02084,69.08,4.82
02085,65.37,5.02
02086,511.49,5.02
02901,116.83,23.94
03001,14.67,41.51
03002,66.64,73.62
03003,25.84,22.45
03004,18.47,56.79
03005,61.54,206.6
03006,14.4,92.78
03007,4.39,55.35
03008,14.56,12.43
03009,129.86,455.32
03010,19.78,20.63
03011,19.26,1064.12
03012,18.47,183.87
03013,18.47,72.23
03014,202.32,1667.18
03015,42.69,501.38
03016,8.82,13.27
03017,1.08,461.11
03018,34.43,658.06
03019,70.57,298.82
03020,11.25,11.91
03021,50.28,141.47
03022,9.04,18.81
03023,34.89,48.93
03024,9.33,584.46
03025,12.37,158.29
03026,7.4,300.95
03027,15.74,12.2
03028,20.21,53.59
03029,18.45,26.18
03030,7.48,155.88
03031,38.51,1794.81
03032,13.69,7.52
03033,11.88,11.36
03034,4.36,762.16
03035,9.54,77.25
03036,3.38,29.88
03037,37.93,13.21
03038,5.56,71.4
