Codigo Municipio,Altitud Municipios
01001,568.0
01002,219.0
01003,333.0
01004,210.0
01006,467.0
01008,528.0
01009,602.0
01010,306.0
01011,421.0
01013,575.0
01014,471.0
01016,710.0
01017,578.0
01018,585.0
01019,691.0
01020,594.0
01021,540.0
01022,451.0
01023,581.0
01027,627.0
01028,555.0
01030,751.0
01031,630.0
01032,542.0
01033,431.0
01034,569.0
01036,123.0
01037,649.0
01039,461.0
01041,535.0
01042,135.0
01043,435.0
01044,752.0
01046,545.0
01047,483.0
01049,574.0
01051,608.0
01052,571.0
01053,600.0
01054,633.0
01055,552.0
01056,812.0
01057,483.0
01058,570.0
01059,539.0
01060,694.0
01061,612.0
01062,458.0
01063,617.0
01901,502.0
01902,482.0
02001,634.0
02002,858.0
02003,681.0
02004,582.0
02005,706.0
02006,925.0
02007,547.0
02008,953.0
02009,687.0
02010,852.0
02011,696.0
02012,771.0
02013,751.0
02014,1027.0
02015,733.0
02016,898.0
02017,844.0
02018,886.0
02019,1062.0
02020,911.0
02021,704.0
02022,942.0
02023,707.0
02024,708.0
02025,554.0
02026,706.0
02027,870.0
02028,947.0
02029,907.0
02030,630.0
02031,682.0
02032,693.0
02033,820.0
02034,670.0
02035,691.0
02036,740.0
02037,570.0
02038,714.0
02039,1041.0
02040,929.0
02041,624.0
02042,735.0
02043,913.0
02044,641.0
02045,688.0
02046,663.0
02047,1108.0
02048,723.0
02049,851.0
02050,709.0
02051,810.0
02052,676.0
02053,929.0
02054,708.0
02055,1085.0
02056,653.0
02057,898.0
02058,1126.0
02059,1169.0
02060,1010.0
02061,870.0
02062,872.0
02063,871.0
02064,769.0
02065,845.0
02066,542.0
02067,1126.0
02068,1041.0
02069,708.0
02070,920.0
02071,844.0
02072,734.0
02073,713.0
02074,652.0
02075,667.0
02076,1118.0
02077,744.0
02078,683.0
02079,739.0
02080,837.0
02081,728.0
02082,409.0
02083,726.0
02084,799.0
02085,1012.0
02086,878.0
02901,830.0
03001,99.0
03002,331.0
03003,719.0
03004,332.0
03005,15.0
03006,226.0
03007,345.0
03008,735.0
03009,564.0
03010,580.0
03011,89.0
03012,23.0
03013,530.0
03014,5.0
03015,10.0
03016,570.0
03017,363.0
03018,60.0
03019,234.0
03020,670.0
03021,812.0
03022,705.0
03023,592.0
03024,23.0
03025,56.0
03026,42.0
03027,464.0
03028,385.0
03029,311.0
03030,124.0
03031,11.0
03032,738.0
03033,663.0
03034,22.0
03035,521.0
03036,564.0
03037,546.0
03038,414.0
03039,725.0
03040,93.0
03041,254.0
03042,159.0
03043,697.0
03044,23.0
03045,213.0
03046,312.0
03047,55.0
03048,250.0
03049,20.0
03050,26.0
03051,585.0
03052,556.0
03053,669.0
03054,549.0
03055,8.0
03056,433.0
03057,780.0
03058,16.0
03059,129.0
03060,620.0
03061,8.0
03062,6.0
03063,13.0
03064,4.0
03065,81.0
03066,395.0
03067,769.0
03068,684.0
03069,264.0
03070,8.0
03071,79.0
03072,420.0
03073,542.0
03074,17.0
03075,571.0
03076,27.0
03077,367.0
03078,413.0
03079,754.0
03080,25.0
03081,188.0
03082,46.0
03083,448.0
03084,261.0
03085,191.0
03086,635.0
03088,228.0
03089,389.0
03090,63.0
03091,283.0
03092,391.0
03093,241.0
03094,216.0
03095,36.0
03096,701.0
03097,154.0
03098,176.0
03099,24.0
03100,290.0
03101,85.0
03102,82.0
03103,682.0
03104,465.0
03105,591.0
03106,451.0
03107,239.0
03109,13.0
03110,87.0
03111,28.0
03112,435.0
03113,8.0
03114,419.0
03115,103.0
03116,493.0
03117,83.0
03118,3.0
03119,40.0
03120,87.0
03121,4.0
03122,105.0
03123,473.0
03124,412.0
03125,231.0
03127,559.0
03128,183.0
03129,517.0
03130,776.0
03131,129.0
03132,782.0
03133,7.0
03134,639.0
03135,392.0
03136,293.0
03137,439.0
03138,21.0
03139,26.0
03140,503.0
03901,13.0
03902,32.0
03903,19.0
03904,10.0
04001,853.0
04002,986.0
04003,14.0
04004,487.0
04005,381.0
04006,422.0
04007,746.0
04008,955.0
04009,1025.0
04010,290.0
04011,520.0
04012,414.0
04013,16.0
04014,835.0
04015,309.0
04016,108.0
04017,270.0
04018,630.0
04019,1209.0
04020,1252.0
04021,817.0
04022,401.0
04023,934.0
04024,115.0
04026,945.0
04027,934.0
04028,316.0
04029,340.0
04030,602.0
04031,381.0
04032,6.0
04033,945.0
04034,606.0
04035,90.0
04036,912.0
04037,1039.0
04038,411.0
04041,716.0
04043,820.0
04044,479.0
04045,950.0
04046,846.0
04047,173.0
04048,121.0
04049,20.0
04050,763.0
04051,409.0
04052,76.0
04053,280.0
04054,424.0
04055,427.0
04056,860.0
04057,920.0
04058,604.0
04059,516.0
04060,549.0
04061,900.0
04062,536.0
04063,1197.0
04064,140.0
04065,596.0
04066,355.0
04067,961.0
04068,1005.0
04069,486.0
04070,1022.0
04071,747.0
04072,543.0
04073,1201.0
04074,105.0
04075,194.0
04076,551.0
04077,405.0
04078,128.0
04079,7.0
04080,330.0
04081,215.0
04082,1008.0
04083,823.0
04084,755.0
04085,824.0
04086,409.0
04087,630.0
04088,402.0
04089,712.0
04090,1008.0
04091,285.0
04092,688.0
04093,45.0
04094,845.0
04095,627.0
04096,744.0
04097,926.0
04098,1076.0
04099,838.0
04100,101.0
04101,71.0
04102,279.0
04103,239.0
04901,689.0
04902,81.0
04903,40.0
04904,6.0
05001,910.0
05002,624.0
05005,911.0
05007,1162.0
05008,859.0
05010,1070.0
05012,1163.0
05013,888.0
05014,507.0
05015,1130.0
05016,820.0
05017,1002.0
05018,1353.0
05019,1131.0
05021,1004.0
05022,1008.0
05023,800.0
05024,1097.0
05025,1062.0
05026,807.0
05027,946.0
05029,865.0
05030,1092.0
05033,948.0
05034,786.0
05035,902.0
05036,883.0
05037,1139.0
05038,1077.0
05039,994.0
05040,1169.0
05041,847.0
05042,900.0
05043,843.0
05044,1048.0
05045,884.0
05046,857.0
05047,429.0
05048,875.0
05049,1105.0
05051,1048.0
05052,1174.0
05053,1310.0
05054,538.0
05055,1012.0
05056,783.0
05057,755.0
05058,1504.0
05059,1211.0
05060,853.0
05061,1130.0
05062,917.0
05063,1166.0
05064,890.0
05065,923.0
05066,842.0
05067,1197.0
05069,883.0
05070,868.0
05072,858.0
05073,895.0
05074,884.0
05075,622.0
05076,1074.0
05077,876.0
05078,822.0
05079,1255.0
05080,1175.0
05081,1463.0
05082,678.0
05083,1103.0
05084,1062.0
05085,1144.0
05086,948.0
05087,930.0
05088,1005.0
05089,760.0
05090,885.0
05092,900.0
05093,924.0
05094,1009.0
05095,634.0
05096,1179.0
05097,1033.0
05099,820.0
05100,748.0
05101,1348.0
05102,850.0
05103,1038.0
05104,1474.0
05105,1484.0
05106,1534.0
05107,1170.0
05108,994.0
05109,865.0
