Codigo Municipio,Nacimientos,Matrimonios,Defunciones
02001,5.0,3.0,19.0
02002,1.0,0.0,5.0
02003,1957.0,658.0,1156.0
02004,5.0,3.0,5.0
02005,7.0,1.0,15.0
02006,3.0,0.0,11.0
02007,10.0,4.0,21.0
02008,11.0,7.0,23.0
02009,254.0,101.0,214.0
02010,15.0,7.0,26.0
02011,3.0,1.0,11.0
02012,17.0,6.0,30.0
02014,1.0,1.0,5.0
02013,1.0,0.0,5.0
02015,23.0,7.0,19.0
02016,3.0,2.0,12.0
02017,6.0,1.0,15.0
02018,11.0,3.0,9.0
02019,13.0,9.0,30.0
02020,2.0,0.0,9.0
02021,14.0,4.0,18.0
02022,0.0,0.0,4.0
02023,1.0,1.0,9.0
02024,31.0,13.0,33.0
02025,119.0,29.0,99.0
02026,8.0,5.0,10.0
02029,49.0,26.0,32.0
02027,3.0,0.0,3.0
02028,1.0,0.0,4.0
02030,37.0,9.0,47.0
02031,3.0,5.0,10.0
02032,1.0,1.0,10.0
02033,27.0,6.0,23.0
02034,8.0,8.0,18.0
02035,33.0,15.0,26.0
02036,0.0,0.0,5.0
02037,321.0,107.0,256.0
02038,2.0,0.0,5.0
02039,9.0,1.0,20.0
02040,0.0,2.0,5.0
02041,1.0,0.0,12.0
02042,4.0,2.0,20.0
02043,6.0,0.0,20.0
02044,7.0,3.0,27.0
02045,41.0,21.0,46.0
02046,8.0,4.0,22.0
02047,2.0,0.0,0.0
02048,12.0,4.0,16.0
02049,9.0,1.0,10.0
02050,0.0,0.0,1.0
02051,14.0,9.0,36.0
02052,8.0,2.0,4.0
02053,25.0,7.0,51.0
02054,3.0,0.0,6.0
02055,9.0,6.0,16.0
02056,19.0,1.0,26.0
02057,31.0,9.0,28.0
02058,4.0,0.0,6.0
02060,5.0,3.0,11.0
02059,1.0,0.0,5.0
02061,2.0,1.0,12.0
02062,3.0,2.0,11.0
02901,25.0,12.0,23.0
02063,12.0,3.0,25.0
02064,0.0,0.0,5.0
02065,2.0,0.0,2.0
02066,3.0,0.0,4.0
02067,6.0,6.0,21.0
02068,3.0,2.0,3.0
02069,162.0,59.0,135.0
02070,1.0,2.0,7.0
02071,4.0,0.0,12.0
02072,5.0,3.0,21.0
02073,62.0,15.0,69.0
02074,73.0,14.0,107.0
02075,10.0,8.0,19.0
02076,2.0,1.0,8.0
02077,0.0,1.0,0.0
02078,10.0,2.0,16.0
02079,30.0,6.0,35.0
02080,2.0,1.0,7.0
02081,289.0,58.0,202.0
02082,0.0,0.0,2.0
02083,1.0,0.0,4.0
02084,2.0,0.0,8.0
02085,1.0,1.0,6.0
02086,18.0,6.0,50.0
03001,1.0,0.0,3.0
03002,50.0,11.0,50.0
03003,1.0,2.0,11.0
03004,12.0,2.0,5.0
03005,139.0,42.0,68.0
03006,6.0,3.0,8.0
03007,0.0,0.0,3.0
03008,3.0,0.0,2.0
03009,553.0,201.0,614.0
03010,0.0,0.0,3.0
03011,127.0,50.0,97.0
03012,14.0,9.0,29.0
03013,15.0,3.0,11.0
03014,3194.0,1120.0,2717.0
03015,250.0,76.0,135.0
03016,0.0,0.0,1.0
03017,7.0,5.0,7.0
03018,163.0,54.0,160.0
03019,219.0,80.0,144.0
03020,0.0,0.0,2.0
03021,68.0,19.0,70.0
03022,1.0,1.0,3.0
03023,15.0,3.0,22.0
03024,53.0,18.0,34.0
03025,19.0,9.0,15.0
03026,17.0,10.0,24.0
03027,0.0,0.0,3.0
03028,6.0,1.0,15.0
03030,4.0,2.0,9.0
03031,508.0,139.0,504.0
03032,0.0,0.0,1.0
03033,2.0,2.0,2.0
03029,4.0,1.0,8.0
03034,25.0,6.0,24.0
03035,1.0,0.0,3.0
03036,1.0,0.0,1.0
03037,10.0,4.0,7.0
03038,3.0,2.0,4.0
03039,0.0,0.0,3.0
03040,2.0,1.0,13.0
03041,92.0,35.0,111.0
03042,10.0,8.0,41.0
03043,33.0,7.0,36.0
03044,49.0,16.0,42.0
03045,2.0,2.0,5.0
03046,27.0,8.0,23.0
03049,263.0,51.0,131.0
03048,68.0,22.0,85.0
03047,191.0,41.0,172.0
03050,210.0,99.0,156.0
03051,2.0,0.0,3.0
03052,17.0,4.0,12.0
03053,100.0,38.0,82.0
03054,1.0,1.0,9.0
03075,1.0,1.0,2.0
03055,86.0,28.0,62.0
03056,76.0,32.0,97.0
03057,0.0,0.0,4.0
03058,76.0,26.0,55.0
03059,326.0,73.0,207.0
03061,5.0,7.0,9.0
03062,3.0,1.0,2.0
03063,346.0,144.0,320.0
03064,75.0,15.0,58.0
03065,2488.0,672.0,1507.0
03066,435.0,172.0,484.0
03067,0.0,0.0,2.0
03068,0.0,0.0,0.0
03069,58.0,23.0,30.0
03077,15.0,2.0,22.0
03070,30.0,11.0,33.0
03072,4.0,0.0,8.0
03071,67.0,11.0,50.0
03073,0.0,1.0,4.0
03074,27.0,8.0,13.0
03076,120.0,44.0,103.0
03078,4.0,3.0,19.0
03079,188.0,75.0,171.0
03080,16.0,5.0,12.0
03082,187.0,62.0,219.0
03083,60.0,17.0,85.0
03085,8.0,0.0,12.0
03084,3.0,0.0,11.0
03086,1.0,0.0,4.0
03088,78.0,41.0,55.0
03089,114.0,43.0,126.0
03903,40.0,13.0,40.0
03091,0.0,0.0,4.0
03092,97.0,28.0,79.0
03090,242.0,94.0,170.0
03093,236.0,70.0,183.0
03094,206.0,71.0,103.0
03095,84.0,19.0,62.0
03096,69.0,30.0,68.0
03097,11.0,1.0,24.0
03099,614.0,144.0,624.0
03098,4.0,3.0,9.0
03100,0.0,0.0,3.0
03101,72.0,26.0,60.0
03102,85.0,24.0,115.0
03103,3.0,1.0,3.0
03104,401.0,117.0,191.0
03902,183.0,61.0,131.0
03105,72.0,27.0,71.0
03106,2.0,1.0,8.0
03901,15.0,3.0,23.0
03107,58.0,17.0,34.0
03060,0.0,0.0,2.0
03109,68.0,11.0,20.0
03110,7.0,1.0,5.0
03111,80.0,8.0,66.0
03112,3.0,3.0,14.0
03113,90.0,24.0,119.0
03114,21.0,3.0,28.0
03115,3.0,0.0,9.0
03116,18.0,7.0,14.0
03118,33.0,23.0,77.0
03904,20.0,13.0,11.0
03120,39.0,5.0,53.0
03122,686.0,207.0,340.0
03117,3.0,0.0,11.0
03119,256.0,91.0,193.0
03121,326.0,125.0,199.0
03123,97.0,38.0,59.0
03124,0.0,2.0,9.0
03125,6.0,1.0,2.0
03127,2.0,1.0,8.0
03128,72.0,26.0,94.0
03129,10.0,5.0,11.0
03130,0.0,0.0,1.0
03131,3.0,0.0,4.0
03132,1.0,2.0,5.0
03133,716.0,186.0,631.0
03134,0.0,0.0,3.0
03136,3.0,0.0,12.0
03137,2.0,4.0,25.0
03135,0.0,0.0,4.0
03138,45.0,15.0,57.0
03139,330.0,119.0,265.0
03140,342.0,102.0,332.0
03081,15.0,3.0,31.0
04001,10.0,2.0,18.0
04002,9.0,0.0,11.0
04003,279.0,57.0,183.0
04004,2.0,2.0,11.0
04005,6.0,2.0,10.0
04006,121.0,20.0,103.0
04007,5.0,1.0,7.0
04008,2.0,3.0,8.0
04009,0.0,1.0,1.0
04010,4.0,3.0,9.0
04011,45.0,14.0,51.0
04012,0.0,0.0,5.0
04013,2222.0,578.0,1440.0
04014,0.0,0.0,2.0
04015,0.0,0.0,1.0
04016,32.0,7.0,32.0
04017,15.0,3.0,32.0
04018,1.0,1.0,4.0
04019,0.0,0.0,7.0
04020,1.0,0.0,9.0
04021,0.0,0.0,2.0
04022,5.0,3.0,6.0
04023,0.0,0.0,3.0
04024,75.0,18.0,29.0
04026,0.0,0.0,0.0
04027,1.0,1.0,4.0
04028,1.0,0.0,5.0
04029,145.0,35.0,100.0
04030,3.0,3.0,28.0
04031,14.0,7.0,34.0
04032,72.0,22.0,50.0
04033,0.0,0.0,0.0
04036,2.0,0.0,1.0
04037,10.0,6.0,41.0
04034,0.0,0.0,3.0
04035,167.0,38.0,109.0
04038,35.0,10.0,40.0
04902,1207.0,205.0,328.0
04041,1.0,1.0,4.0
04043,6.0,1.0,6.0
04044,16.0,13.0,14.0
04045,14.0,5.0,24.0
04046,4.0,3.0,10.0
04047,33.0,8.0,28.0
04048,28.0,6.0,34.0
