Codigo Municipio,Total Paro Registrado,Parados Hombres,Parados Mujeres
04001,101,68,33
04002,70,46,24
04003,2734,1536,1198
04004,43,24,19
04005,51,32,19
04006,912,502,410
04007,80,52,28
04008,26,18,8
04009,8,7,1
04010,101,65,36
04011,437,242,195
04012,15,7,8
04013,23300,12098,11202
04014,9,5,4
04015,5,4,1
04016,209,105,104
04017,164,103,61
04018,23,13,10
04019,13,8,5
04020,20,12,8
04021,12,6,6
04022,62,37,25
04023,5,5,0
04024,552,279,273
04026,0,0,0
04027,19,12,7
04028,32,24,8
04029,1730,1039,691
04030,124,88,36
04031,315,197,118
04032,781,402,379
04033,1,1,0
04034,6,4,2
04035,1436,824,612
04036,32,20,12
04037,98,64,34
04038,300,176,124
04041,24,15,9
04043,41,27,14
04044,320,178,142
04045,234,152,82
04046,92,61,31
04047,429,250,179
04048,230,134,96
04049,1107,558,549
04050,80,53,27
04051,47,24,23
04052,2010,1011,999
04053,1614,832,782
04054,35,25,10
04055,32,21,11
04056,13,9,4
04057,174,117,57
04058,48,37,11
04059,100,66,34
04060,47,31,16
04061,68,41,27
04062,820,415,405
04063,76,52,24
04064,598,290,308
04065,19,12,7
04066,2288,1340,948
04067,61,42,19
04068,1,1,0
04069,988,549,439
04070,112,77,35
04071,41,32,9
04072,30,17,13
04073,25,19,6
04074,486,275,211
04075,459,229,230
04076,197,115,82
04077,16,14,2
04078,239,146,93
04079,9493,4884,4609
04080,14,11,3
04081,55,31,24
04082,19,13,6
04083,162,92,70
04084,56,42,14
04085,34,22,12
04086,228,152,76
04087,23,12,11
04088,496,289,207
04089,54,39,15
04090,26,16,10
04091,36,17,19
04092,343,195,148
04093,456,265,191
04094,10,10,0
04095,96,50,46
04096,15,6,9
04097,16,13,3
04098,89,51,38
04099,503,298,205
04100,1520,816,704
04101,667,358,309
04102,2461,1357,1104
04103,195,132,63
04901,30,22,8
04902,7416,4090,3326
04903,703,384,319
11001,937,410,527
11002,291,195,96
11003,196,82,114
11004,16063,7204,8859
11005,649,377,272
11006,6159,3200,2959
11007,5082,2561,2521
11008,3107,1392,1715
11009,104,52,52
11010,1015,682,333
11011,266,130,136
11012,15914,7151,8763
11013,460,208,252
11014,3249,1658,1591
11015,13180,6306,6874
11016,3503,1650,1853
11017,475,329,146
11018,213,153,60
11019,294,139,155
11020,32331,15369,16962
11021,1379,689,690
11022,10112,4953,5159
11023,2440,1173,1267
11024,602,310,292
11025,1263,666,597
11026,1031,497,534
11027,11737,5223,6514
11028,5944,2562,3382
11029,549,367,182
11030,3951,1776,2175
11031,12851,5438,7413
11032,11817,5989,5828
11033,4328,2119,2209
11034,221,136,85
11035,2610,1100,1510
11036,33,21,12
11037,891,527,364
11038,2762,1137,1625
11039,2708,1311,1397
11040,52,26,26
11041,2106,1323,783
11042,132,75,57
11901,1538,822,716
11902,657,395,262
14001,258,147,111
14002,1046,646,400
14003,155,75,80
14004,121,45,76
14005,1035,585,450
14006,179,80,99
14007,1193,512,681
14008,407,175,232
14009,480,251,229
14010,238,120,118
14011,100,35,65
14012,371,166,205
14013,1685,797,888
14014,106,57,49
14015,139,58,81
14016,144,64,80
14017,1332,728,604
14018,475,251,224
14019,383,167,216
14020,31,9,22
14021,41312,18736,22576
14022,217,88,129
14023,269,108,161
14024,159,85,74
14025,151,76,75
14026,290,108,182
14027,1025,559,466
14028,52,23,29
14029,852,351,501
14030,798,483,315
14031,30,15,15
14032,75,35,40
14033,143,81,62
14034,43,28,15
14035,1038,389,649
14036,309,174,135
14037,174,83,91
14038,4339,2037,2302
14039,128,46,82
14040,163,81,82
14041,268,153,115
14042,2388,1056,1332
14043,849,424,425
14044,100,54,46
14045,324,192,132
14046,152,77,75
14047,187,89,98
14048,75,40,35
14049,1423,757,666
14050,271,137,134
14051,133,48,85
14052,1851,879,972
14053,696,376,320
14054,1715,688,1027
14055,1682,765,917
14056,3279,1634,1645
14057,626,298,328
14058,517,252,265
14059,56,35,21
14060,323,194,129
14061,101,45,56
14062,129,60,69
