Codigo Municipio,Nº Establecimientos Agricultura,Nº Establecimientos Industria,Nº Establecimientos Construccion,Nº Establecimientos Servicios
1001,0.0,17.0,12.0,62.0
1002,8.0,61.0,33.0,261.0
1003,3.0,4.0,3.0,12.0
1004,1.0,10.0,5.0,31.0
1006,0.0,3.0,0.0,4.0
1008,6.0,6.0,4.0,26.0
1009,2.0,12.0,1.0,38.0
1010,7.0,32.0,9.0,46.0
1011,6.0,3.0,0.0,3.0
1013,7.0,1.0,2.0,17.0
1014,5.0,18.0,3.0,14.0
1016,2.0,2.0,2.0,12.0
1017,3.0,9.0,4.0,25.0
1018,6.0,2.0,7.0,72.0
1019,1.0,1.0,1.0,1.0
1020,1.0,0.0,1.0,6.0
1021,2.0,3.0,1.0,13.0
1022,15.0,20.0,5.0,16.0
1023,5.0,6.0,1.0,2.0
1027,4.0,0.0,2.0,9.0
1028,9.0,12.0,7.0,38.0
1030,0.0,1.0,0.0,5.0
1031,26.0,55.0,11.0,80.0
1032,12.0,6.0,3.0,15.0
1033,14.0,16.0,3.0,16.0
1034,4.0,1.0,0.0,5.0
1036,8.0,70.0,44.0,385.0
1037,1.0,7.0,5.0,14.0
1039,1.0,3.0,1.0,4.0
1041,3.0,0.0,1.0,2.0
1042,6.0,6.0,4.0,21.0
1043,13.0,69.0,19.0,96.0
1044,0.0,1.0,0.0,3.0
1046,1.0,3.0,2.0,16.0
1047,0.0,6.0,11.0,38.0
1049,0.0,1.0,1.0,4.0
1051,3.0,24.0,13.0,87.0
1052,5.0,7.0,1.0,5.0
1053,7.0,3.0,0.0,17.0
1054,0.0,3.0,3.0,19.0
1055,1.0,4.0,6.0,26.0
1056,1.0,0.0,3.0,6.0
1057,15.0,15.0,1.0,11.0
1058,5.0,99.0,18.0,101.0
1059,27.0,898.0,888.0,7524.0
1060,3.0,2.0,2.0,4.0
1061,0.0,0.0,0.0,3.0
1062,3.0,1.0,1.0,7.0
1063,2.0,4.0,5.0,78.0
1901,1.0,31.0,22.0,75.0
1902,2.0,22.0,4.0,17.0
2001,3.0,5.0,1.0,13.0
2002,1.0,1.0,5.0,8.0
2003,270.0,578.0,667.0,5639.0
2004,1.0,4.0,1.0,9.0
2005,5.0,10.0,3.0,15.0
2006,8.0,2.0,4.0,12.0
2007,14.0,6.0,3.0,27.0
2008,20.0,2.0,5.0,42.0
2009,44.0,228.0,82.0,633.0
2010,20.0,15.0,8.0,38.0
2011,2.0,1.0,3.0,13.0
2012,24.0,15.0,14.0,39.0
2013,6.0,0.0,1.0,2.0
2014,4.0,2.0,3.0,10.0
2015,19.0,11.0,13.0,43.0
2016,27.0,1.0,9.0,7.0
2017,2.0,2.0,8.0,9.0
2018,11.0,7.0,5.0,18.0
2019,39.0,8.0,16.0,52.0
2020,3.0,1.0,4.0,9.0
2021,12.0,6.0,8.0,31.0
2022,3.0,2.0,0.0,7.0
2023,2.0,1.0,4.0,9.0
2024,19.0,33.0,21.0,131.0
2025,24.0,72.0,44.0,210.0
2026,21.0,1.0,4.0,17.0
2027,7.0,0.0,0.0,6.0
2028,1.0,0.0,1.0,1.0
2029,35.0,50.0,17.0,97.0
