Codigo Municipio,Nº Residencias Mayores,Nº Instituciones Religiosas y Militares
00000,4378.0,1486.0
44001,,
40001,,
10001,,
27001,,
48001,,
31001,,
09001,,
26001,,
20001,,
19001,,
30001,1.0,
50001,,
48002,1.0,
30002,1.0,
34001,,
31002,,
31003,,
31004,,
15001,,
42001,,
44002,,
25001,,
02001,,
13001,1.0,
31005,,
10002,,
49002,,
16001,,
34003,,
22001,,
22002,,
04001,,
19002,,
31006,,
08001,1.0,
04002,,
37001,,
28001,,
24001,,
10003,,
16002,,
06001,,
10004,,
10005,,
50002,,
06002,1.0,
22003,,
47001,,
14001,,
05001,,
38001,,
46001,1.0,
31007,,
19003,,
46002,,
04003,1.0,
09003,,
40002,,
05002,,
42003,,
40003,,
03001,,
20002,,
35001,,
37002,1.0,
25002,1.0,
36020,,
50003,,
26002,,1.0
03002,,
25003,2.0,
42004,2.0,1.0
03003,,
18001,,
41001,,
50004,1.0,
09006,,
47002,,
44003,,
44004,,
13002,2.0,
22004,1.0,
40004,1.0,
09007,,
34004,2.0,1.0
47003,,
31008,,
14002,,1.0
08002,,
44005,,
26003,,
30003,2.0,
50005,,
35002,2.0,
17001,,
46004,,1.0
38002,,
10006,,
37003,,
37004,,
06003,,
20016,,
31009,,
46042,,
46043,,
08014,2.0,
43001,,
17002,,
03004,,
12002,,
22907,1.0,
50006,1.0,
22006,,
25038,2.0,
20003,,
28002,,
26004,,
48911,,
45001,1.0,1.0
44006,,
50007,,
47004,,
50008,2.0,
10903,,
07002,1.0,
21001,,
38003,,
29001,1.0,
37005,,
45002,,
28003,,
18002,,
37006,,
13003,1.0,
19004,,
28004,6.0,
25004,,
06004,,
41002,,
46005,1.0,
34005,,
37007,2.0,
50009,,
16003,,
19005,,
07001,,
25005,,
02002,,
44007,,
34006,,
37008,2.0,2.0
37009,,
02003,9.0,1.0
25006,,
46006,1.0,
41003,,
46007,,
10007,,
13004,1.0,
16004,,
46008,,
46009,,
46010,,
22007,,
16005,2.0,
19006,1.0,
44008,1.0,
22008,,
04004,,
23001,,
17003,,
19007,1.0,
44009,1.0,1.0
45003,,
02004,,
25007,,
03005,,
22009,1.0,
26005,2.0,
16006,,
19008,,
44010,,
16007,1.0,
37010,,
37011,,
