Codigo Municipio,Nº Hombres Extranjeros,Nº Mujeres Extranjeras,Nº Total Extranjeros
00000,3194715.0,3112562.0,6307277.0
44001,,0.0,0.0
40001,21.0,24.0,46.0
10001,2.0,4.0,6.0
27001,14.0,14.0,28.0
48001,196.0,181.0,377.0
31001,3.0,4.0,7.0
09001,,,
26001,75.0,21.0,95.0
20001,1.0,7.0,9.0
19001,5.0,3.0,7.0
30001,494.0,465.0,959.0
50001,1.0,2.0,3.0
48002,143.0,158.0,301.0
30002,831.0,602.0,1433.0
34001,1.0,,1.0
31002,22.0,18.0,40.0
31003,,1.0,1.0
31004,1.0,,1.0
15001,136.0,152.0,288.0
42001,19.0,12.0,30.0
44002,,,
25001,2.0,7.0,9.0
02001,40.0,28.0,68.0
13001,30.0,31.0,61.0
31005,24.0,16.0,40.0
10002,3.0,7.0,10.0
49002,,1.0,1.0
16001,1.0,,1.0
34003,5.0,,5.0
22001,4.0,3.0,7.0
22002,9.0,9.0,18.0
04001,105.0,54.0,159.0
19002,1.0,,1.0
31006,171.0,163.0,334.0
08001,628.0,546.0,1173.0
04002,54.0,34.0,87.0
37001,,2.0,2.0
28001,2.0,,2.0
24001,4.0,3.0,7.0
10003,8.0,8.0,17.0
16002,21.0,10.0,32.0
06001,4.0,8.0,12.0
10004,9.0,5.0,14.0
10005,5.0,10.0,15.0
50002,60.0,20.0,80.0
06002,214.0,172.0,386.0
22003,4.0,6.0,10.0
47001,,,
14001,103.0,53.0,156.0
05001,15.0,12.0,27.0
38001,11482.0,10701.0,22182.0
46001,137.0,101.0,238.0
31007,7.0,6.0,13.0
19003,1.0,,1.0
46002,103.0,105.0,208.0
04003,1555.0,1238.0,2793.0
09003,7.0,8.0,15.0
40002,,3.0,3.0
05002,182.0,176.0,358.0
42003,,,
40003,11.0,2.0,13.0
03001,148.0,140.0,287.0
20002,10.0,4.0,14.0
35001,168.0,155.0,324.0
37002,5.0,2.0,7.0
25002,31.0,34.0,65.0
36020,43.0,35.0,78.0
50003,5.0,5.0,10.0
26002,132.0,80.0,212.0
03002,256.0,208.0,464.0
25003,556.0,428.0,984.0
42004,181.0,172.0,353.0
03003,24.0,25.0,49.0
18001,17.0,11.0,28.0
41001,68.0,80.0,148.0
50004,115.0,75.0,190.0
09006,,,
47002,,,
44003,,1.0,1.0
44004,87.0,71.0,158.0
13002,19.0,20.0,40.0
22004,2.0,2.0,4.0
40004,44.0,45.0,89.0
09007,1.0,,1.0
34004,261.0,273.0,534.0
47003,5.0,3.0,9.0
31008,,1.0,1.0
14002,176.0,142.0,318.0
08002,3.0,3.0,6.0
44005,8.0,1.0,9.0
26003,26.0,52.0,78.0
30003,2782.0,2394.0,5177.0
50005,5.0,2.0,7.0
35002,1473.0,1487.0,2960.0
17001,88.0,78.0,166.0
46004,61.0,63.0,125.0
38002,40.0,47.0,87.0
10006,5.0,4.0,9.0
37003,2.0,,2.0
37004,2.0,2.0,4.0
06003,2.0,4.0,6.0
20016,61.0,39.0,100.0
31009,30.0,18.0,48.0
46042,267.0,222.0,490.0
46043,9.0,8.0,18.0
08014,87.0,77.0,163.0
43001,46.0,38.0,84.0
17002,17.0,20.0,38.0
03004,158.0,140.0,299.0
12002,1.0,3.0,4.0
22907,259.0,245.0,504.0
50006,36.0,33.0,69.0
22006,11.0,8.0,19.0
25038,311.0,230.0,541.0
20003,34.0,28.0,62.0
28002,387.0,385.0,772.0
26004,,,
48911,9.0,5.0,14.0
45001,71.0,63.0,134.0
44006,17.0,9.0,26.0
50007,,1.0,1.0
47004,62.0,51.0,113.0
50008,516.0,468.0,983.0
10903,7.0,4.0,11.0
07002,918.0,924.0,1841.0
21001,24.0,28.0,52.0
38003,197.0,163.0,360.0
29001,163.0,124.0,286.0
37005,3.0,3.0,6.0
45002,208.0,175.0,383.0
28003,7.0,8.0,15.0
18002,14.0,8.0,22.0
37006,11.0,9.0,20.0
13003,3.0,6.0,9.0
19004,,1.0,1.0
28004,758.0,707.0,1465.0
25004,73.0,38.0,111.0
06004,13.0,15.0,28.0
41002,18.0,27.0,46.0
46005,1207.0,1097.0,2305.0
34005,25.0,16.0,41.0
37007,7.0,7.0,14.0
50009,16.0,13.0,29.0
16003,10.0,8.0,17.0
19005,19.0,12.0,30.0
07001,512.0,491.0,1002.0
25005,13.0,16.0,29.0
02002,32.0,27.0,60.0
44007,13.0,9.0,23.0
34006,1.0,,1.0
37008,131.0,107.0,238.0
37009,8.0,4.0,12.0
02003,7104.0,6570.0,13674.0
25006,7.0,5.0,12.0
46006,320.0,282.0,603.0
41003,44.0,65.0,109.0
46007,584.0,592.0,1176.0
10007,17.0,7.0,24.0
13004,83.0,61.0,144.0
16004,4.0,4.0,8.0
46008,191.0,132.0,323.0
46009,104.0,101.0,206.0
46010,51.0,44.0,95.0
22007,162.0,104.0,266.0
16005,9.0,6.0,14.0
19006,77.0,63.0,140.0
44008,87.0,69.0,157.0
22008,10.0,10.0,19.0
04004,121.0,128.0,249.0
23001,30.0,3.0,33.0
17003,9.0,8.0,17.0
19007,17.0,19.0,35.0
44009,90.0,88.0,178.0
45003,24.0,22.0,46.0
02004,22.0,19.0,41.0
25007,209.0,164.0,373.0
03005,1234.0,941.0,2175.0
22009,26.0,15.0,41.0
26005,323.0,292.0,615.0
16006,7.0,6.0,13.0
19008,,,
44010,38.0,40.0,78.0
16007,214.0,150.0,364.0
37010,35.0,36.0,70.0
37011,8.0,5.0,12.0
46011,1010.0,737.0,1747.0
26006,194.0,213.0,407.0
50010,4.0,2.0,7.0
22011,2.0,2.0,4.0
22012,,2.0,2.0
22013,9.0,13.0,22.0
25008,148.0,93.0,241.0
50011,3.0,3.0,6.0
25009,34.0,22.0,56.0
09009,3.0,7.0,10.0
43002,95.0,80.0,175.0
43003,21.0,24.0,44.0
20004,4.0,1.0,5.0
12003,94.0,86.0,180.0
04005,7.0,10.0,18.0
18003,506.0,592.0,1097.0
18004,61.0,19.0,80.0
17004,54.0,44.0,98.0
46012,59.0,49.0,109.0
46013,1447.0,1426.0,2873.0
02005,69.0,69.0,138.0
50012,2.0,,2.0
05005,,1.0,1.0
04006,1480.0,1206.0,2687.0
30004,19.0,24.0,43.0
06005,14.0,35.0,49.0
46014,163.0,184.0,347.0
18005,6.0,3.0,9.0
18006,875.0,527.0,1402.0
18007,16.0,19.0,35.0
06006,76.0,67.0,143.0
45004,25.0,29.0,53.0
02006,13.0,12.0,25.0
44011,4.0,1.0,5.0
50013,4.0,9.0,13.0
41004,1364.0,1416.0,2780.0
22014,1.0,8.0,9.0
28005,21956.0,20123.0,42079.0
44012,33.0,31.0,64.0
16008,3.0,1.0,4.0
11001,53.0,54.0,107.0
50014,14.0,9.0,22.0
12004,1428.0,1215.0,2643.0
02007,44.0,43.0,86.0
22015,5.0,6.0,11.0
41005,228.0,216.0,444.0
11002,42.0,48.0,90.0
23002,778.0,562.0,1339.0
03006,373.0,391.0,764.0
22016,19.0,14.0,32.0
26007,57.0,50.0,107.0
43004,1498.0,1178.0,2676.0
25010,,3.0,3.0
10008,21.0,27.0,47.0
30005,2494.0,2310.0,4803.0
46016,67.0,47.0,114.0
16009,,1.0,1.0
49003,101.0,93.0,194.0
44013,1328.0,1144.0,2472.0
45005,14.0,9.0,23.0
14003,31.0,12.0,43.0
02008,27.0,43.0,70.0
25011,1172.0,959.0,2132.0
46015,480.0,414.0,894.0
29002,559.0,580.0,1139.0
23003,319.0,150.0,469.0
45006,135.0,98.0,233.0
13005,1718.0,1575.0,3292.0
16010,6.0,4.0,10.0
47005,33.0,30.0,63.0
30902,3301.0,2745.0,6045.0
13006,19.0,18.0,38.0
28006,10026.0,11819.0,21846.0
19009,26.0,34.0,60.0
03007,20.0,20.0,41.0
09010,,,
16011,2.0,4.0,6.0
04007,12.0,9.0,21.0
13007,11.0,14.0,25.0
22017,59.0,24.0,82.0
19010,1.0,,1.0
45007,36.0,29.0,65.0
19011,51.0,45.0,96.0
41006,10.0,12.0,22.0
03008,7.0,7.0,14.0
25012,256.0,213.0,470.0
10009,5.0,9.0,14.0
42006,10.0,10.0,20.0
37012,,,
40005,,,
06007,22.0,16.0,38.0
50015,,,
16012,3.0,6.0,9.0
06008,10.0,10.0,20.0
04008,24.0,16.0,40.0
12005,466.0,463.0,929.0
28007,11842.0,11928.0,23771.0
44014,246.0,183.0,429.0
19013,11.0,,11.0
43005,401.0,319.0,720.0
03009,2048.0,1855.0,3903.0
22018,12.0,14.0,27.0
42007,9.0,2.0,11.0
42008,5.0,0.0,6.0
49004,,,
13008,18.0,5.0,23.0
46018,12.0,10.0,22.0
07003,3270.0,3156.0,6426.0
46020,355.0,300.0,655.0
04009,2.0,2.0,4.0
12006,5.0,7.0,12.0
46019,503.0,484.0,987.0
10010,78.0,76.0,154.0
46021,1143.0,1054.0,2197.0
47006,1.0,5.0,6.0
35020,578.0,555.0,1133.0
10012,10.0,11.0,21.0
28008,259.0,207.0,466.0
37015,55.0,33.0,88.0
10013,9.0,6.0,15.0
13009,97.0,62.0,159.0
45008,28.0,15.0,43.0
40012,14.0,16.0,30.0
43904,618.0,370.0,988.0
10011,24.0,10.0,34.0
37013,1.0,3.0,4.0
37014,35.0,25.0,60.0
42009,5.0,1.0,6.0
40006,4.0,1.0,5.0
37016,17.0,14.0,30.0
40007,1.0,2.0,3.0
40008,11.0,13.0,24.0
42010,1.0,2.0,3.0
42011,3.0,2.0,5.0
42012,,1.0,1.0
47007,114.0,147.0,260.0
45009,6.0,14.0,21.0
26008,287.0,189.0,475.0
37017,12.0,13.0,25.0
19015,,,
40009,2.0,2.0,4.0
37018,3.0,3.0,6.0
10014,13.0,24.0,37.0
45010,22.0,12.0,35.0
05007,,,
10015,24.0,22.0,47.0
40010,,2.0,2.0
23004,5.0,9.0,14.0
37019,1.0,,1.0
37020,10.0,9.0,19.0
05008,6.0,5.0,11.0
37021,1.0,,1.0
37022,4.0,7.0,11.0
40013,1.0,,1.0
37023,33.0,36.0,69.0
37024,,1.0,1.0
40014,,0.0,0.0
10016,0.0,2.0,2.0
37025,4.0,5.0,9.0
50016,1.0,1.0,2.0
42013,1.0,2.0,3.0
37026,2.0,4.0,6.0
40015,,1.0,1.0
05010,4.0,4.0,8.0
42014,1.0,3.0,4.0
18010,14.0,9.0,23.0
40016,0.0,,0.0
43006,71.0,60.0,131.0
30006,70.0,67.0,137.0
20005,81.0,61.0,142.0
