Codigo Municipio,1 persona,2 personas,3 personas,4 personas,5 personas,6 o más personas
44001,*,25,20,20,*,*
40001,55,210,200,270,115,30
10001,30,65,90,70,60,15
27001,180,640,600,500,575,270
48001,460,1475,2200,2520,600,75
31001,15,35,15,15,5,15
09001,*,*,15,*,*,*
26001,65,60,85,55,55,10
20001,30,45,80,100,25,45
19001,25,40,*,*,*,*
30001,630,1560,1370,1785,820,265
50001,20,35,25,25,15,*
48002,1000,2300,2750,2990,465,170
30002,800,2920,2695,3895,1835,975
34001,10,*,*,*,5,20
31002,40,155,120,125,100,10
31003,30,25,20,25,40,*
31004,*,5,*,15,*,*
15001,380,935,1420,1120,1040,805
42001,70,115,50,105,15,*
44002,15,15,15,*,*,*
25001,*,60,30,25,*,50
02001,50,185,205,245,100,75
13001,125,430,385,480,155,15
31005,25,105,95,130,*,30
10002,65,140,115,130,*,*
49002,5,20,10,25,20,*
16001,10,35,15,15,*,*
34003,15,55,65,45,10,*
22001,30,60,60,50,25,45
22002,20,50,10,10,35,*
04001,140,425,360,350,185,*
19002,25,40,30,15,*,*
31006,200,655,680,695,365,55
08001,860,2515,3700,3505,620,605
04002,125,345,435,370,80,*
37001,35,60,45,75,15,5
28001,15,30,*,15,*,*
24001,40,75,55,80,10,*
10003,80,285,190,80,5,20
16002,20,60,45,70,40,15
06001,70,170,230,240,80,15
10004,100,190,280,215,50,*
10005,70,245,170,125,5,15
50002,55,80,45,25,*,35
06002,380,1165,1675,1525,385,530
22003,20,45,40,30,45,*
47001,*,10,25,15,*,*
14001,195,670,1260,1310,675,300
05001,35,80,75,65,10,*
38001,5290,12185,11845,9580,2345,1625
46001,135,225,280,375,125,65
31007,15,60,50,35,20,5
19003,20,*,25,*,*,*
46002,75,415,370,470,100,*
04003,1425,4210,5060,8130,2865,2680
09003,35,80,30,55,25,10
40002,10,*,*,30,5,*
05002,250,620,775,665,195,180
42003,10,15,30,10,10,*
40003,45,55,35,15,15,*
03001,95,310,120,95,50,*
20002,40,140,85,105,75,*
35001,595,1160,1590,1365,560,465
37002,30,50,30,*,15,*
25002,100,160,170,75,*,25
36020,215,615,855,540,305,245
50003,20,50,50,45,*,*
26002,145,325,360,235,70,10
03002,385,670,1305,1565,575,255
25003,375,1225,1380,1655,590,365
42004,265,685,810,945,260,*
03003,90,155,120,150,50,10
18001,55,100,55,55,70,*
41001,200,610,340,820,115,60
50004,95,185,225,240,30,45
09006,15,30,15,*,5,*
47002,*,20,5,*,*,*
44003,*,*,*,*,*,*
44004,75,125,180,170,85,10
13002,220,500,430,440,195,70
22004,25,60,35,5,10,*
40004,85,155,95,315,10,20
09007,15,15,*,20,*,*
34004,850,1815,2005,1965,330,50
47003,45,50,60,120,30,*
31008,20,35,35,15,*,*
14002,900,3435,3325,4625,1085,290
08002,*,*,*,*,*,*
44005,*,40,*,*,15,5
26003,90,190,70,135,40,20
30003,2100,6525,9105,10335,3435,2630
50005,50,100,45,*,15,50
35002,2010,5950,7160,9460,2825,2140
17001,60,230,210,230,110,*
46004,145,660,730,785,145,*
38002,130,195,250,355,130,90
10006,195,435,280,400,125,*
37003,20,70,35,15,*,*
37004,15,5,15,*,0,*
06003,125,260,280,265,25,40
20016,200,300,425,785,145,170
31009,60,215,190,250,140,20
46042,310,1005,1035,1675,595,80
46043,15,45,60,55,10,*
08014,155,735,535,670,280,30
43001,70,275,235,205,70,40
17002,25,150,180,245,110,65
03004,105,350,255,285,25,30
12002,30,50,25,25,5,*
22907,260,385,635,590,260,*
50006,125,280,360,300,85,25
22006,45,55,65,155,50,*
25038,200,405,640,510,335,125
20003,60,150,125,290,75,60
28002,325,1025,655,1260,740,80
26004,10,30,20,20,*,0
48911,45,80,100,140,35,60
45001,125,450,535,825,175,195
44006,40,110,50,105,*,30
50007,10,40,*,*,*,*
47004,180,350,430,395,115,*
50008,565,1530,2165,2080,265,315
10903,90,220,285,260,30,25
07002,785,2655,1910,3305,760,*
21001,80,140,210,160,205,*
38003,155,275,925,300,105,245
29001,390,1050,1530,1855,445,150
37005,20,45,35,*,*,*
45002,170,670,695,1410,515,50
28003,40,75,55,70,5,*
18002,95,160,145,190,100,*
37006,35,65,5,30,20,*
13003,80,160,140,60,65,10
19004,20,20,30,*,*,*
28004,405,1925,2065,2405,990,410
25004,65,165,140,280,50,45
06004,165,435,445,610,305,*
41002,170,395,450,670,135,45
46005,2550,6480,7825,10135,2395,760
