Codigo Municipio,Edad Media Edificios
01001,
01002,
01003,
01004,
01006,
01008,
01009,
01010,
01011,
01013,
01014,
01016,
01017,
01018,
01019,
01020,
01021,
01022,
01023,
01027,
01028,
01030,
01031,
01032,
01033,
01034,
01036,
01037,
01039,
01041,
01042,
01043,
01044,
01046,
01047,
01049,
01051,
01052,
01053,
01054,
01055,
01056,
01057,
01058,
01059,
01060,
01061,
01062,
01063,
01901,
01902,
02001,42.0
02002,47.0
02003,26.0
02004,52.0
02005,46.0
02006,47.0
02007,45.0
02008,53.0
02009,29.0
02010,41.0
02011,57.0
02012,30.0
02013,52.0
02014,51.0
02015,38.0
02016,51.0
02017,50.0
02018,48.0
02019,42.0
02020,47.0
02021,39.0
02022,52.0
02023,53.0
02024,35.0
02025,30.0
02026,42.0
02027,56.0
02028,47.0
02029,29.0
02030,43.0
02031,51.0
02032,49.0
02033,40.0
02034,40.0
02035,36.0
02036,53.0
02037,36.0
02038,45.0
02039,43.0
02040,50.0
02041,51.0
02042,50.0
02043,46.0
02044,46.0
02045,38.0
02046,42.0
02047,65.0
02048,44.0
02049,51.0
02050,57.0
02051,43.0
02052,34.0
02053,41.0
02054,46.0
02055,50.0
02056,42.0
02057,43.0
02058,45.0
02059,51.0
02060,55.0
02061,52.0
02062,49.0
02063,45.0
02064,47.0
02065,49.0
02066,51.0
02067,39.0
02068,49.0
02069,31.0
02070,51.0
02071,51.0
02072,45.0
02073,39.0
02074,39.0
02075,38.0
02076,51.0
02077,50.0
02078,47.0
02079,37.0
02080,46.0
02081,33.0
02082,45.0
02083,44.0
02084,48.0
02085,52.0
02086,51.0
02901,38.0
03001,22.0
03002,34.0
03003,43.0
03004,32.0
03005,26.0
03006,36.0
03007,44.0
03008,67.0
03009,33.0
03010,48.0
03011,22.0
03012,14.0
03013,52.0
03014,30.0
03015,21.0
03016,61.0
03017,41.0
03018,24.0
03019,29.0
03020,57.0
03021,38.0
03022,64.0
03023,50.0
03024,33.0
03025,33.0
03026,23.0
03027,53.0
03028,45.0
03029,26.0
03030,50.0
03031,28.0
03032,35.0
03033,48.0
03034,29.0
03035,30.0
03036,62.0
03037,26.0
03038,17.0
03039,23.0
03040,28.0
03041,27.0
03042,33.0
03043,44.0
03044,46.0
03045,29.0
03046,34.0
03047,25.0
03048,25.0
03049,58.0
03050,57.0
03051,51.0
03052,33.0
03053,28.0
03054,64.0
03055,47.0
03056,23.0
03057,51.0
03058,51.0
03059,33.0
03060,47.0
03061,62.0
03062,42.0
03063,34.0
03064,23.0
03065,37.0
03066,24.0
03067,51.0
03068,26.0
03069,23.0
03070,19.0
03071,40.0
03072,36.0
03073,56.0
03074,29.0
03075,39.0
03076,19.0
03077,36.0
03078,31.0
03079,30.0
03080,24.0
03081,33.0
03082,26.0
03083,39.0
03084,60.0
03085,37.0
03086,49.0
03088,28.0
03089,40.0
03090,20.0
03091,37.0
03092,31.0
03093,32.0
03094,23.0
03095,29.0
03096,33.0
03097,36.0
03098,34.0
03099,21.0
03100,38.0
03101,27.0
03102,33.0
03103,56.0
03104,29.0
03105,36.0
03106,49.0
03107,25.0
03109,21.0
03110,33.0
03111,27.0
03112,37.0
03113,18.0
03114,40.0
03115,49.0
03116,33.0
03117,42.0
03118,20.0
03119,21.0
03120,20.0
03121,19.0
03122,22.0
03123,34.0
03124,44.0
03125,57.0
03127,42.0
03128,29.0
03129,34.0
03130,51.0
03131,39.0
03132,42.0
03133,19.0
03134,57.0
03135,56.0
03136,60.0
03137,60.0
03138,25.0
03139,24.0
03140,32.0
03901,30.0
03902,21.0
03903,19.0
03904,17.0
04001,39.0
04002,41.0
04003,29.0
04004,42.0
04005,38.0
04006,33.0
04007,39.0
04008,41.0
04009,65.0
04010,33.0
04011,32.0
04012,35.0
04013,28.0
04014,33.0
04015,41.0
04016,26.0
04017,42.0
