Codigo Municipio,Deuda (Miles de €)
04001,655.0
04002,262.0
04003,14657.0
04004,164.0
04005,38.0
04006,5336.0
04007,109.0
04008,228.0
04009,0.0
04010,1764.0
04011,1408.0
04012,17.0
04013,80531.0
04014,144.0
04015,21.0
04016,1197.0
04017,369.0
04018,0.0
04019,248.0
04020,83.0
04021,43.0
04022,6.0
04023,14.0
04024,70.0
04026,0.0
04027,0.0
04028,324.0
04029,4905.0
04030,131.0
04031,901.0
04032,6296.0
04033,0.0
04034,0.0
04035,10398.0
04036,6.0
04037,485.0
04038,2321.0
04041,26.0
04043,0.0
04044,1321.0
04045,752.0
04046,209.0
04047,1908.0
04048,224.0
04049,2896.0
04050,87.0
04051,118.0
04052,2772.0
04053,5854.0
04054,150.0
04055,0.0
04056,75.0
04057,0.0
04058,108.0
04059,342.0
04060,132.0
04061,8.0
04062,5209.0
04063,596.0
04064,1958.0
04065,0.0
04066,13237.0
04067,50.0
04068,0.0
04069,2499.0
04070,1559.0
04071,119.0
04072,205.0
04073,95.0
04074,100.0
04075,3153.0
04076,814.0
04077,0.0
04078,0.0
04079,45741.0
04080,0.0
04081,0.0
04082,11.0
04083,1035.0
04084,143.0
04085,12.0
04086,1086.0
04087,65.0
04088,272.0
04089,155.0
04090,0.0
04091,136.0
04092,650.0
04093,3041.0
04094,260.0
04095,296.0
04096,0.0
04097,0.0
04098,701.0
04099,5590.0
04100,4105.0
04101,0.0
04102,14468.0
04103,583.0
04901,122.0
04902,78919.0
04903,6513.0
11001,2217.0
11002,324.0
11003,0.0
11004,75546.0
11005,5354.0
11006,11052.0
11007,15247.0
11008,23462.0
11009,0.0
11010,892.0
11011,1573.0
11012,110932.0
11013,0.0
11014,910.0
11015,40943.0
11016,5397.0
11017,1558.0
11018,0.0
11019,74.0
11020,103887.0
11021,169.0
11022,20911.0
11023,2075.0
11024,844.0
11025,4857.0
11026,4128.0
11027,64531.0
11028,28052.0
11029,2892.0
11030,21078.0
11031,42602.0
11032,18467.0
11033,27625.0
11034,762.0
11035,1867.0
11036,64.0
11037,5100.0
11038,4994.0
11039,2050.0
11040,135.0
11041,3446.0
11042,205.0
11901,6128.0
11902,603.0
14001,2048.0
14002,853.0
14003,439.0
14004,344.0
14005,4028.0
14006,943.0
14007,12796.0
14008,1476.0
14009,1002.0
14010,1952.0
14011,260.0
14012,1840.0
14013,5909.0
14014,1800.0
14015,492.0
14016,0.0
14017,4601.0
14018,1509.0
14019,3026.0
14020,38.0
14021,316641.0
14022,1677.0
14023,951.0
14024,574.0
14025,1328.0
14026,782.0
14027,1271.0
14028,8.0
14029,1519.0
14030,4389.0
14031,0.0
14032,0.0
14033,123.0
14034,70.0
14035,2777.0
14036,1720.0
14037,152.0
14038,28714.0
14039,1056.0
14040,478.0
14041,216.0
14042,20136.0
14043,7680.0
14044,136.0
14045,389.0
14046,1378.0
14047,121.0
14048,319.0
14049,10391.0
14050,652.0
14051,415.0
14052,2723.0
14053,828.0
14054,6227.0
14055,11881.0
14056,12105.0
14057,2241.0
14058,6240.0
14059,422.0
14060,1519.0
14061,534.0
14062,0.0
14063,614.0
14064,0.0
14065,205.0
14066,3437.0
14067,996.0
14068,279.0
14069,1382.0
14070,218.0
14071,45.0
14072,219.0
14073,79.0
14074,1072.0
14075,251.0
18001,7.0
18002,0.0
18003,1823.0
18004,138.0
18005,0.0
18006,3885.0
18007,29.0
18010,71.0
18011,1449.0
18012,1210.0
18013,2389.0
18014,2545.0
18015,0.0
18016,200.0
18017,4177.0
18018,387.0
18020,73.0
18021,9141.0
18022,4268.0
18023,11704.0
18024,10.0
18025,17.0
18027,457.0
18028,583.0
18029,428.0
18030,214.0
18032,388.0
18033,13.0
18034,34.0
18035,548.0
18036,534.0
18037,33.0
18038,168.0
18039,818.0
18040,96.0
18042,153.0
18043,0.0
18044,0.0
18045,2056.0
18046,287.0
18047,1671.0
18048,543.0
18049,367.0
18050,259.0
18051,454.0
18053,475.0
18054,477.0
18056,920.0
18057,3009.0
18059,261.0
18061,29.0
18062,3064.0
18063,0.0
18064,0.0
18066,240.0
18067,176.0
18068,0.0
18069,71.0
18070,200.0
18071,2241.0
18072,1165.0
18074,19.0
18076,200.0
18078,502.0
18079,753.0
18082,1352.0
18083,212.0
18084,1158.0
18085,60.0
18086,157.0
18087,141666.0
18088,651.0
18089,10178.0
18093,860.0
18094,973.0
18095,517.0
18096,107.0
18097,0.0
18098,1644.0
18099,386.0
18100,2385.0
18101,1904.0
18102,1937.0
18103,0.0
18105,1516.0
18107,192.0
18108,162.0
18109,75.0
18111,800.0
18112,65.0
18114,231.0
18115,755.0
18116,1830.0
18117,210.0
18119,0.0
18120,0.0
18121,0.0
18122,18741.0
18123,38.0
18124,0.0
18126,149.0
18127,6063.0
18128,18.0
18132,925.0
18133,263.0
18134,3015.0
18135,3744.0
18136,351.0
18137,465.0
18138,842.0
18140,29413.0
18141,118.0
18143,83.0
18144,8.0
18145,5079.0
18146,947.0
18147,1863.0
18148,3.0
18149,1612.0
18150,1516.0
18151,138.0
18152,609.0
18153,5452.0
18154,136.0
18157,11.0
18158,2936.0
18159,202.0
18161,32.0
18162,1243.0
18163,69.0
18164,531.0
18165,13.0
18167,864.0
18168,398.0
18170,382.0
18171,813.0
18173,3825.0
18174,50.0
18175,4494.0
18176,37.0
18177,292.0
18178,270.0
18179,15.0
18180,186.0
18181,0.0
18182,1920.0
18183,155.0
18184,524.0
18185,54.0
18187,123.0
18188,1155.0
18189,102.0
18192,311.0
18193,3401.0
18194,1367.0
18901,1344.0
18902,846.0
18903,631.0
18904,385.0
18905,5654.0
18906,0.0
18907,1000.0
18908,196.0
18909,0.0
18910,149.0
18911,1921.0
18912,493.0
18913,14.0
21001,114.0
21002,7919.0
21003,55.0
21004,0.0
21005,23488.0
21006,1259.0
21007,5262.0
21008,366.0
21009,518.0
21010,12162.0
21011,1578.0
21012,0.0
21013,7401.0
21014,886.0
21015,0.0
21016,888.0
21017,1132.0
21018,625.0
21019,19.0
21020,310.0
21021,11124.0
21022,0.0
21023,39.0
21024,45.0
21025,1343.0
21026,365.0
21027,0.0
21028,252.0
21029,976.0
21030,1103.0
21031,867.0
21032,926.0
21033,250.0
21034,1042.0
21035,1735.0
21036,0.0
21037,0.0
21038,757.0
21039,172.0
21040,65.0
21041,85366.0
21042,8313.0
21043,249.0
21044,15609.0
21045,185.0
21046,785.0
21047,1236.0
21048,198.0
21049,1163.0
21050,11677.0
21051,388.0
21052,2916.0
21053,1446.0
21054,6100.0
21055,6533.0
21056,320.0
21057,107.0
21058,0.0
21059,281.0
21060,11604.0
21061,1366.0
21062,740.0
21063,784.0
21064,1351.0
21065,0.0
21066,0.0
21067,308.0
21068,123.0
21069,129.0
21070,2031.0
21071,0.0
21072,20759.0
21073,153.0
21074,0.0
21075,10.0
21076,349.0
21077,578.0
21078,918.0
21079,89.0
23001,776.0
23002,10732.0
23003,2461.0
23004,171.0
23005,22139.0
23006,395.0
23007,606.0
23008,354.0
23009,4417.0
23010,2113.0
23011,55.0
23012,1797.0
23014,0.0
23015,0.0
23016,89.0
23017,32.0
23018,1652.0
23019,1568.0
23020,0.0
23021,0.0
23024,2798.0
23025,1750.0
23026,2585.0
23027,229.0
23028,4176.0
23029,532.0
23030,0.0
23031,590.0
23032,440.0
23033,954.0
23034,732.0
23035,0.0
23037,120.0
23038,823.0
23039,474.0
23040,585.0
23041,120.0
23042,143.0
23043,422.0
23044,362.0
23045,1557.0
23046,222.0
23047,1189.0
23048,582.0
23049,914.0
23050,91110.0
23051,1096.0
23052,1090.0
23053,2764.0
23054,100.0
23055,31020.0
23056,679.0
23057,0.0
23058,1061.0
23059,0.0
23060,4051.0
23061,2962.0
23062,236.0
23063,1284.0
23064,1518.0
23065,942.0
23066,1108.0
23067,2148.0
23069,967.0
23070,882.0
23071,1465.0
