Codigo Municipio,Total impuestos (Miles de €)
01001,828.7326700000001
02001,200.07562
03001,136.3
04001,516.1
05001,0.0
06001,130.87592999999998
07001,1976.24
08001,6210.11612
09001,11.122
10001,63.57597
11001,2550.61584
12001,272.75
13001,350.41046
14001,1200.0
15001,830.0
16001,17.35
17001,258.52725
18001,28.66498
19001,0.0
20001,55.77045
21001,109.14
22001,68.3
23001,0.0
24001,57.4
25001,37.02852
26001,113.0
27001,1033.79
28001,62.5
29001,1008.80688
30001,1720.001
31001,25.5
32001,1296.35
33001,424.222
34001,17.06
35001,1660.00792
36001,539.2
37001,24.39752
38001,28320.42066
39001,846.3
40001,257.0
41001,343.3
42001,92.5
43001,337.67503000000005
44001,16.975
45001,517.7405200000001
46001,233.3484
47001,14.0
48001,0.0
50001,12.6
51001,131.309
52001,80.988
01002,3579.797
02002,221.627
03002,1752.48061
04002,208.2
05002,1069.51802
06002,1128.4198900000001
07002,4796.9
08002,803.0
10002,228.42468
11002,938.77208
12002,53.864
13002,301.2
14002,3290.16314
15002,9250.0
16002,51.7
17002,564.39043
18002,78.75
19002,0.0
20002,271.0
21002,0.0
22002,173.0
23002,5164.13079
24002,57.4
25002,277.59209999999996
26002,1751.0
27002,272.96545000000003
28002,2451.01
29002,556.5006099999999
30002,3476.349
31002,117.846
32002,427.41353999999995
33002,3210.421
35002,10151.24404
36002,612.4
37002,0.0
38002,162.8
39002,960.0
40002,0.0
41002,385.36735999999996
43002,1135.9
44002,0.0
45002,817.10786
46002,745.91
47002,14.03
48002,4586.959
49002,12.76193
50002,35.30537
01003,616.4618
02003,67413.35158
03003,113.41035000000001
04003,5709.0
06003,186.0
07003,13006.269
08003,5987.9
09003,44.8
10003,0.0
11003,316.0
12003,262.6
13003,75.52851
14003,506.0
15003,360.0
16003,120.5
17003,43.0
18003,7270.4199100000005
19003,9.0
20003,236.0
21003,519.011
22003,34.8
23003,2577.4
24003,133.03344
25003,2229.7
26003,134.36467000000002
27003,223.0
28003,0.0
29003,267.0
30003,11959.725
31003,0.0
32003,253.0
33003,128.3485
34003,27.0
35003,6800.0
36003,3362.23038
37003,26.9
38003,443.3
39003,107.46346000000001
40003,52.0
41003,639.82239
42003,120.03024
43003,104.6
44003,5.2
45003,183.6
46003,437.0
47003,84.9
48003,6800.1538
49003,275.0
50003,32.88204
01004,412.93969
02004,73.01469
03004,229.921
04004,189.2
06004,971.5230399999999
07004,1551.04233
08004,131.31
10004,302.24991
11004,58032.475
12004,5410.059230000001
13004,0.0
14004,526.45401
15004,1782.4361299999998
16004,66.0
17004,207.0
18004,124.01629
19004,20.395
20004,61.775
21004,502.28098
22004,37.7
23004,204.025
24004,130.123
25004,210.4
26004,47.222339999999996
27004,250.6
28004,4023.75491
29004,99.5
30004,262.6717
31004,9.9
32004,735.0
33004,27285.422
34004,2376.26958
35004,25750.0
36004,1999.7
37004,6.615
38004,2995.8
39004,255.40884
40004,193.4
41004,27376.2175
42004,1232.16829
43004,4662.91814
44004,121.2
45004,165.337
46004,950.0
47004,355.9
48004,57.4
49004,42.631
50004,149.00017000000003
01005,0.0
02005,175.37346
03005,3434.8142599999996
04005,69.11535
05005,33.5
06005,575.0
07005,12387.0
08005,5270.0
10005,68.0
11005,1003.52334
12005,6109.84149
13005,13461.45393
14005,2768.8037799999997
15005,9958.65488
16005,52.1
17005,466.604
18005,78.285
19005,0.0
20005,328.22726
21005,13058.525
22005,0.0
23005,10206.682949999999
24005,73.5
25005,85.0
26005,1072.85278
27005,951.0
28005,97810.0
29005,2355.23529
30005,10582.64259
31005,80.2
32005,153.57213000000002
33005,592.71419
34005,0.0
35005,88.72753999999999
36005,2254.5264700000002
37005,25.45076
38005,1546.4318899999998
