Nombre CCAA,Codigo CCAA,Nombre Provincia,Codigo Provincia,Nombre Municipio,Codigo Municipio,Poblacion Total,Poblacion Hombre,Poblacion Mujer,Superficie Km2,Densidad Poblacion,Altitud Municipios,Nacimientos,Matrimonios,Defunciones,Total Regimen SS,Total Contratos,Contratos Hombres,Contratos Mujeres,Total Paro Registrado,Parados Hombres,Parados Mujeres,Nº Establecimientos Agricultura,Nº Establecimientos Industria,Nº Establecimientos Construccion,Nº Establecimientos Servicios,Nº Centros Sanitarios,Nº Centros Educativos,Número de transacciones anuales 2011,Nº Residencias Mayores,Nº Instituciones Religiosas y Militares,Nº Hombres Extranjeros,Nº Mujeres Extranjeras,Nº Total Extranjeros,Nº Hombres Otra CCAA,Nº Mujeres Otra CCAA,Nº Total Otra CCAA,Nº edificios,Nº Inmuebles,Nº viviendas,Edad < 16,16 =< Edad =<64,Edad >= 65,Soltero/a,Casado/a,Separado/a,Divorciado/a,Viudo/a,Sin Estudios,Con Estudios,Nº de Jubilados,Empresario que emplea personal,Empresario que no emplea personal,1 hijo/a,2 hijos/as,3 hijos/as,4 o más hijos/as,Nº de Alquileres,Hogares Unipersonales,Hogares Familiares,1 persona,2 personas,3 personas,4 personas,5 personas,6 o más personas,Nº Hogares si Internet,Nº Hogares no Internet,Nº Vehiculos,Nº Conductores,Deuda (Miles de €),Total impuestos (Miles de €),Superficie (Ha) Agricolas,Nº Explotaciones Agrícolas,Nº Explotaciones Ganaderas
Pais Vasco,16,Araba/Álava,01,Alegría-Dulantzi,01001,2803.0,1466.0,1337.0,19.95,140.5,568.0,37.0,18.0,14.0,784.0,617.0,453.0,164.0,1992.0,935.0,1057.0,0.0,0.0,0.0,0.0,1.0,4.0,25.0,1.0,1.0,150.0,127.0,277.0,279.0,268.0,547.0,667.0,1346.0,1249.0,645.0,1965.0,240.0,1250.0,1410.0,30.0,90.0,75.0,325.0,1835.0,255.0,120.0,120.0,230.0,390.0,60.0,60.0,335.0,195.0,2635.0,195.0,685.0,705.0,1125.0,105.0,40.0,655.0,425.0,1947.0,1664.0,1843.0,828.73,1124.34,35.0,6.0
Pais Vasco,16,Araba/Álava,01,Amurrio,01002,10014.0,5030.0,4984.0,96.3,103.99,219.0,104.0,37.0,88.0,4397.0,5861.0,4843.0,1018.0,8393.0,3742.0,4651.0,0.0,0.0,0.0,0.0,2.0,9.0,185.0,3.0,0.0,409.0,334.0,742.0,869.0,918.0,1787.0,1316.0,5154.0,4435.0,1285.0,6935.0,1795.0,3975.0,5120.0,120.0,130.0,675.0,1750.0,6975.0,1955.0,245.0,320.0,745.0,1285.0,500.0,330.0,955.0,730.0,9265.0,730.0,2545.0,2945.0,2745.0,690.0,360.0,2360.0,1505.0,6906.0,6196.0,2166.0,3579.8,5568.5,381.0,367.0
Pais Vasco,16,Araba/Álava,01,Añana,01049,168.0,86.0,82.0,21.92,7.66,574.0,1.0,0.0,7.0,30.0,20.0,14.0,6.0,50.0,16.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,5.0,11.0,12.0,10.0,22.0,181.0,214.0,209.0,15.0,105.0,40.0,65.0,75.0,2.0,2.0,15.0,35.0,102.0,50.0,5.0,10.0,10.0,20.0,10.0,15.0,5.0,30.0,105.0,30.0,45.0,25.0,60.0,5.0,2.0,15.0,60.0,130.0,65.0,229.0,90.7,1212.0,20.0,9.0
Pais Vasco,16,Araba/Álava,01,Aramaio,01003,1496.0,784.0,712.0,73.02,20.49,333.0,13.0,3.0,10.0,224.0,141.0,88.0,53.0,322.0,177.0,145.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,23.0,34.0,57.0,42.0,38.0,80.0,423.0,706.0,681.0,265.0,955.0,290.0,725.0,680.0,2.0,2.0,95.0,250.0,980.0,325.0,25.0,70.0,45.0,205.0,45.0,70.0,60.0,125.0,1385.0,125.0,380.0,270.0,545.0,120.0,65.0,315.0,260.0,1236.0,1014.0,431.0,616.46,2055.8,191.0,215.0
Pais Vasco,16,Araba/Álava,01,Armiñón,01006,229.0,112.0,117.0,12.97,17.66,467.0,2.0,0.0,3.0,137.0,125.0,90.0,35.0,139.0,60.0,79.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,4.0,4.0,8.0,24.0,38.0,62.0,141.0,153.0,153.0,40.0,150.0,35.0,100.0,110.0,2.0,2.0,10.0,30.0,160.0,35.0,10.0,15.0,30.0,20.0,5.0,10.0,2.0,20.0,200.0,20.0,45.0,95.0,60.0,5.0,2.0,65.0,30.0,205.0,145.0,0.0,0.0,859.32,19.0,2.0
Pais Vasco,16,Araba/Álava,01,Arraia-Maeztu,01037,722.0,402.0,320.0,123.11,5.86,649.0,10.0,2.0,3.0,212.0,248.0,116.0,132.0,465.0,240.0,225.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,23.0,24.0,47.0,37.0,53.0,90.0,505.0,610.0,609.0,85.0,475.0,180.0,330.0,325.0,2.0,15.0,65.0,135.0,505.0,160.0,20.0,35.0,35.0,100.0,30.0,40.0,155.0,100.0,615.0,100.0,230.0,160.0,120.0,90.0,35.0,135.0,190.0,694.0,448.0,294.0,225.0,3045.38,107.0,60.0
Pais Vasco,16,Araba/Álava,01,Arrazua-Ubarrundia,01008,951.0,508.0,443.0,57.56,16.52,528.0,11.0,1.0,7.0,283.0,328.0,192.0,136.0,526.0,223.0,303.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,0.0,16.0,19.0,35.0,75.0,88.0,163.0,446.0,484.0,483.0,140.0,675.0,135.0,435.0,430.0,2.0,25.0,60.0,165.0,635.0,175.0,80.0,50.0,60.0,120.0,50.0,25.0,35.0,85.0,840.0,85.0,160.0,290.0,290.0,90.0,35.0,180.0,175.0,1002.0,710.0,0.0,514.8,1656.57,64.0,26.0
Pais Vasco,16,Araba/Álava,01,Artziniega,01004,1843.0,916.0,927.0,27.29,67.53,210.0,35.0,14.0,13.0,381.0,230.0,111.0,119.0,1690.0,730.0,960.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,1.0,1.0,59.0,61.0,120.0,132.0,144.0,276.0,468.0,1157.0,1119.0,315.0,1255.0,240.0,855.0,730.0,2.0,85.0,110.0,240.0,1235.0,285.0,85.0,90.0,130.0,220.0,65.0,50.0,100.0,220.0,1555.0,220.0,455.0,435.0,485.0,220.0,2.0,450.0,305.0,1266.0,1103.0,0.0,412.94,1149.6,99.0,103.0
Pais Vasco,16,Araba/Álava,01,Asparrena,01009,1684.0,851.0,833.0,65.34,25.77,602.0,20.0,2.0,20.0,909.0,1823.0,1164.0,659.0,1079.0,565.0,514.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,82.0,66.0,148.0,110.0,134.0,244.0,532.0,1040.0,981.0,290.0,1090.0,305.0,735.0,820.0,30.0,2.0,75.0,315.0,1045.0,360.0,20.0,95.0,120.0,220.0,55.0,95.0,2.0,165.0,1515.0,165.0,390.0,505.0,480.0,140.0,2.0,300.0,375.0,1363.0,971.0,1990.0,648.0,2033.51,90.0,63.0
Pais Vasco,16,Araba/Álava,01,Ayala/Aiara,01010,2880.0,1436.0,1444.0,140.97,20.43,306.0,41.0,13.0,16.0,1425.0,801.0,624.0,177.0,1698.0,647.0,1051.0,0.0,0.0,0.0,0.0,3.0,3.0,12.0,1.0,0.0,33.0,45.0,78.0,142.0,154.0,296.0,795.0,1312.0,1311.0,540.0,1865.0,475.0,1260.0,1385.0,25.0,45.0,160.0,495.0,1825.0,445.0,125.0,145.0,220.0,365.0,115.0,90.0,210.0,215.0,2645.0,215.0,540.0,865.0,985.0,170.0,105.0,640.0,430.0,2583.0,1750.0,1.0,707.89,6408.78,481.0,431.0
