Nombre CCAA,Codigo CCAA,Nombre Provincia,Codigo Provincia,Nombre Municipio,Codigo Municipio
Pais Vasco,16,Araba/Álava,01,Agurain/Salvatierra,01051
Pais Vasco,16,Araba/Álava,01,Alegría-Dulantzi,01001
Pais Vasco,16,Araba/Álava,01,Amurrio,01002
Pais Vasco,16,Araba/Álava,01,Añana,01049
Pais Vasco,16,Araba/Álava,01,Aramaio,01003
Pais Vasco,16,Araba/Álava,01,Armiñón,01006
Pais Vasco,16,Araba/Álava,01,Arraia-Maeztu,01037
Pais Vasco,16,Araba/Álava,01,Arratzua-Ubarrundia,01008
Pais Vasco,16,Araba/Álava,01,Artziniega,01004
Pais Vasco,16,Araba/Álava,01,Asparrena,01009
Pais Vasco,16,Araba/Álava,01,Ayala/Aiara,01010
Pais Vasco,16,Araba/Álava,01,Baños de Ebro/Mañueta,01011
Pais Vasco,16,Araba/Álava,01,Barrundia,01013
Pais Vasco,16,Araba/Álava,01,Berantevilla,01014
Pais Vasco,16,Araba/Álava,01,Bernedo,01016
Pais Vasco,16,Araba/Álava,01,Campezo/Kanpezu,01017
Pais Vasco,16,Araba/Álava,01,Elburgo/Burgelu,01021
Pais Vasco,16,Araba/Álava,01,Elciego,01022
Pais Vasco,16,Araba/Álava,01,Elvillar/Bilar,01023
Pais Vasco,16,Araba/Álava,01,Erriberabeitia,01047
Pais Vasco,16,Araba/Álava,01,Erriberagoitia/Ribera Alta,01046
Pais Vasco,16,Araba/Álava,01,Harana/Valle de Arana,01056
Pais Vasco,16,Araba/Álava,01,Iruña Oka/Iruña de Oca,01901
Pais Vasco,16,Araba/Álava,01,Iruraiz-Gauna,01027
Pais Vasco,16,Araba/Álava,01,Kripan,01019
Pais Vasco,16,Araba/Álava,01,Kuartango,01020
Pais Vasco,16,Araba/Álava,01,Labastida/Bastida,01028
Pais Vasco,16,Araba/Álava,01,Lagrán,01030
Pais Vasco,16,Araba/Álava,01,Laguardia,01031
Pais Vasco,16,Araba/Álava,01,Lanciego/Lantziego,01032
Pais Vasco,16,Araba/Álava,01,Lantarón,01902
Pais Vasco,16,Araba/Álava,01,Lapuebla de Labarca,01033
Pais Vasco,16,Araba/Álava,01,Laudio/Llodio,01036
Pais Vasco,16,Araba/Álava,01,Legutio,01058
Pais Vasco,16,Araba/Álava,01,Leza,01034
Pais Vasco,16,Araba/Álava,01,Moreda de Álava/Moreda Araba,01039
Pais Vasco,16,Araba/Álava,01,Navaridas,01041
Pais Vasco,16,Araba/Álava,01,Okondo,01042
Pais Vasco,16,Araba/Álava,01,Oyón-Oion,01043
Pais Vasco,16,Araba/Álava,01,Peñacerrada-Urizaharra,01044
Pais Vasco,16,Araba/Álava,01,Samaniego,01052
Pais Vasco,16,Araba/Álava,01,San Millán/Donemiliaga,01053
Pais Vasco,16,Araba/Álava,01,Urkabustaiz,01054
Pais Vasco,16,Araba/Álava,01,Valdegovía/Gaubea,01055
Pais Vasco,16,Araba/Álava,01,Villabuena de Álava/Eskuernaga,01057
Pais Vasco,16,Araba/Álava,01,Vitoria-Gasteiz,01059
Pais Vasco,16,Araba/Álava,01,Yécora/Iekora,01060
Pais Vasco,16,Araba/Álava,01,Zalduondo,01061
Pais Vasco,16,Araba/Álava,01,Zambrana,01062
Pais Vasco,16,Araba/Álava,01,Zigoitia,01018
Pais Vasco,16,Araba/Álava,01,Zuia,01063
Castilla-La Mancha,08,Albacete,02,Abengibre,02001
Castilla-La Mancha,08,Albacete,02,Alatoz,02002
Castilla-La Mancha,08,Albacete,02,Albacete,02003
Castilla-La Mancha,08,Albacete,02,Albatana,02004
Castilla-La Mancha,08,Albacete,02,Alborea,02005
Castilla-La Mancha,08,Albacete,02,Alcadozo,02006
Castilla-La Mancha,08,Albacete,02,Alcalá del Júcar,02007
