Codigo Municipio,Poblacion Total,Poblacion Hombre,Poblacion Mujer
01,319227.0,159041.0,160186.0
01001,2803.0,1466.0,1337.0
01002,10014.0,5030.0,4984.0
01049,168.0,86.0,82.0
01003,1496.0,784.0,712.0
01006,229.0,112.0,117.0
01037,722.0,402.0,320.0
01008,951.0,508.0,443.0
01004,1843.0,916.0,927.0
01009,1684.0,851.0,833.0
01010,2880.0,1436.0,1444.0
01011,324.0,180.0,144.0
01013,906.0,497.0,409.0
01014,494.0,255.0,239.0
01016,565.0,329.0,236.0
01017,1123.0,592.0,531.0
01021,623.0,324.0,299.0
01022,1045.0,517.0,528.0
01023,361.0,181.0,180.0
01046,781.0,440.0,341.0
01056,287.0,170.0,117.0
01901,2966.0,1529.0,1437.0
01027,534.0,291.0,243.0
01019,197.0,106.0,91.0
01020,351.0,201.0,150.0
01028,1470.0,766.0,704.0
01030,184.0,96.0,88.0
01031,1546.0,803.0,743.0
01032,682.0,365.0,317.0
01902,929.0,516.0,413.0
01033,867.0,444.0,423.0
01036,18494.0,9135.0,9359.0
01058,1698.0,891.0,807.0
01034,213.0,112.0,101.0
01039,249.0,126.0,123.0
01041,213.0,116.0,97.0
01042,1155.0,608.0,547.0
01043,3284.0,1684.0,1600.0
01044,287.0,169.0,118.0
01047,1314.0,720.0,594.0
01051,4884.0,2478.0,2406.0
01052,336.0,187.0,149.0
01053,725.0,401.0,324.0
01054,1325.0,711.0,614.0
01055,1098.0,604.0,494.0
01057,325.0,165.0,160.0
01059,239562.0,118085.0,121477.0
01060,287.0,154.0,133.0
01061,197.0,109.0,88.0
01062,403.0,216.0,187.0
01018,1729.0,928.0,801.0
01063,2424.0,1249.0,1175.0
02,402318.0,201400.0,200918.0
02001,902.0,457.0,445.0
02002,604.0,340.0,264.0
02003,171390.0,84288.0,87102.0
02004,794.0,403.0,391.0
02005,848.0,439.0,409.0
02006,734.0,382.0,352.0
02007,1350.0,709.0,641.0
02008,1608.0,800.0,808.0
02009,25432.0,12631.0,12801.0
02010,2438.0,1261.0,1177.0
02011,806.0,432.0,374.0
02012,2461.0,1272.0,1189.0
02014,473.0,241.0,232.0
02013,213.0,114.0,99.0
02015,2063.0,1064.0,999.0
02016,729.0,375.0,354.0
02017,1009.0,522.0,487.0
02018,1220.0,616.0,604.0
02019,3033.0,1537.0,1496.0
02020,668.0,351.0,317.0
02021,1461.0,747.0,714.0
02022,475.0,259.0,216.0
02023,748.0,395.0,353.0
02024,4818.0,2486.0,2332.0
02025,10477.0,5300.0,5177.0
02026,1307.0,695.0,612.0
02029,4015.0,2095.0,1920.0
02027,406.0,206.0,200.0
02028,161.0,87.0,74.0
02030,3951.0,1984.0,1967.0
02031,756.0,375.0,381.0
02032,369.0,202.0,167.0
02033,2643.0,1397.0,1246.0
02034,2029.0,1036.0,993.0
02035,2563.0,1316.0,1247.0
02036,121.0,60.0,61.0
02037,31199.0,15608.0,15591.0
02038,356.0,181.0,175.0
02039,1306.0,669.0,637.0
02040,752.0,388.0,364.0
02041,440.0,231.0,209.0
02042,1081.0,538.0,543.0
02043,1612.0,815.0,797.0
02044,1421.0,728.0,693.0
02045,4834.0,2467.0,2367.0
02046,1435.0,718.0,717.0
02047,117.0,62.0,55.0
02048,1682.0,856.0,826.0
02049,1050.0,532.0,518.0
02050,125.0,70.0,55.0
02051,2284.0,1171.0,1113.0
02052,600.0,304.0,296.0
02053,3812.0,1924.0,1888.0
02054,551.0,286.0,265.0
02055,1512.0,818.0,694.0
02056,2281.0,1139.0,1142.0
02057,2641.0,1321.0,1320.0
02058,452.0,237.0,215.0
02060,1356.0,772.0,584.0
02059,399.0,205.0,194.0
02061,843.0,452.0,391.0
02062,543.0,285.0,258.0
02901,2895.0,1462.0,1433.0
02063,1794.0,946.0,848.0
02064,467.0,238.0,229.0
02065,598.0,314.0,284.0
02066,301.0,152.0,149.0
02067,1481.0,758.0,723.0
02068,463.0,238.0,225.0
02069,16414.0,8332.0,8082.0
02070,604.0,319.0,285.0
02071,1304.0,672.0,632.0
02072,1983.0,1000.0,983.0
02073,6647.0,3346.0,3301.0
02074,8205.0,4178.0,4027.0
02075,1943.0,975.0,968.0
02076,414.0,208.0,206.0
02077,56.0,28.0,28.0
02078,1277.0,657.0,620.0
02079,4051.0,2055.0,1996.0
02080,703.0,365.0,338.0
02081,26485.0,13190.0,13295.0
02082,136.0,74.0,62.0
02083,274.0,152.0,122.0
02084,417.0,222.0,195.0
02085,379.0,194.0,185.0
02086,3268.0,1674.0,1594.0
03,1934127.0,964560.0,969567.0
03002,4831.0,2451.0,2380.0
03003,610.0,315.0,295.0
03004,1118.0,582.0,536.0
03005,11901.0,6110.0,5791.0
03006,1433.0,724.0,709.0
03007,231.0,116.0,115.0
03008,193.0,100.0,93.0
03009,61093.0,29762.0,31331.0
03010,424.0,205.0,219.0
03011,21670.0,10864.0,10806.0
03012,4625.0,2302.0,2323.0
03013,1503.0,763.0,740.0
03014,334329.0,162212.0,172117.0
03015,19371.0,9850.0,9521.0
03016,131.0,71.0,60.0
03017,508.0,234.0,274.0
03018,24056.0,11934.0,12122.0
03019,20292.0,10247.0,10045.0
03001,730.0,377.0,353.0
03020,162.0,82.0,80.0
03021,7200.0,3598.0,3602.0
03022,178.0,84.0,94.0
03023,1817.0,917.0,900.0
03024,5459.0,2701.0,2758.0
03025,1925.0,1016.0,909.0
03026,1883.0,939.0,944.0
03027,222.0,121.0,101.0
03028,1295.0,644.0,651.0
03030,1305.0,642.0,663.0
03031,72062.0,36282.0,35780.0
03032,115.0,57.0,58.0
03033,201.0,103.0,98.0
03029,606.0,309.0,297.0
03034,4153.0,2065.0,2088.0
03035,811.0,405.0,406.0
03036,97.0,41.0,56.0
03037,512.0,243.0,269.0
03038,408.0,203.0,205.0
03039,129.0,71.0,58.0
03040,420.0,205.0,215.0
03041,13536.0,6781.0,6755.0
03042,5568.0,2792.0,2776.0
03043,3738.0,1825.0,1913.0
03044,6788.0,3473.0,3315.0
03045,454.0,234.0,220.0
03046,3314.0,1658.0,1656.0
03049,17979.0,9105.0,8874.0
03048,7894.0,4048.0,3846.0
03047,29718.0,15112.0,14606.0
03050,27345.0,13567.0,13778.0
03051,438.0,221.0,217.0
03052,1235.0,604.0,631.0
03053,10541.0,5335.0,5206.0
03054,516.0,259.0,257.0
03075,240.0,123.0,117.0
03055,9092.0,4647.0,4445.0
03056,11601.0,5844.0,5757.0
03057,315.0,178.0,137.0
03058,7029.0,3595.0,3434.0
03059,28362.0,14502.0,13860.0
03061,1988.0,1003.0,985.0
03062,726.0,370.0,356.0
03063,44726.0,22048.0,22678.0
03064,7398.0,3687.0,3711.0
03065,230354.0,114904.0,115450.0
03066,54610.0,26783.0,27827.0
03067,108.0,53.0,55.0
03068,62.0,31.0,31.0
03069,6807.0,3489.0,3318.0
03077,3010.0,1528.0,1482.0
03070,4389.0,2246.0,2143.0
03072,442.0,231.0,211.0
03071,6283.0,3206.0,3077.0
03073,254.0,135.0,119.0
03074,2463.0,1297.0,1166.0
03076,16863.0,8472.0,8391.0
03078,1217.0,641.0,576.0
03079,23683.0,11870.0,11813.0
03080,2102.0,1048.0,1054.0
03082,32469.0,16277.0,16192.0
03083,7429.0,3596.0,3833.0
03085,1070.0,527.0,543.0
03084,754.0,381.0,373.0
03086,215.0,107.0,108.0
03088,7771.0,4111.0,3660.0
03089,12873.0,6398.0,6475.0
03903,5199.0,2615.0,2584.0
03091,609.0,292.0,317.0
03092,9005.0,4477.0,4528.0
03090,23522.0,11827.0,11695.0
03093,26873.0,13377.0,13496.0
03094,18593.0,9459.0,9134.0
03095,6644.0,3335.0,3309.0
03096,7753.0,3914.0,3839.0
03097,2606.0,1292.0,1314.0
03099,88714.0,44716.0,43998.0
03098,898.0,461.0,437.0
03100,1123.0,547.0,576.0
03101,7659.0,3781.0,3878.0
03102,11116.0,5694.0,5422.0
03103,332.0,177.0,155.0
03104,34726.0,17324.0,17402.0
03902,22967.0,11866.0,11101.0
03105,7904.0,4014.0,3890.0
03106,836.0,430.0,406.0
03901,3394.0,1647.0,1747.0
03107,4474.0,2287.0,2187.0
03060,114.0,55.0,59.0
03109,4162.0,2111.0,2051.0
03110,746.0,365.0,381.0
03111,7522.0,3889.0,3633.0
03112,1338.0,674.0,664.0
03113,21583.0,11026.0,10557.0
03114,2554.0,1334.0,1220.0
03115,454.0,233.0,221.0
03116,1559.0,799.0,760.0
03118,12354.0,6249.0,6105.0
03904,1934.0,999.0,935.0
03120,7862.0,3967.0,3895.0
03122,54531.0,27141.0,27390.0
03117,717.0,354.0,363.0
03119,22554.0,10973.0,11581.0
03121,33372.0,16924.0,16448.0
03123,10041.0,5060.0,4981.0
03124,636.0,340.0,296.0
03125,661.0,343.0,318.0
03127,809.0,417.0,392.0
03128,14722.0,7418.0,7304.0
03129,1763.0,919.0,844.0
03130,49.0,24.0,25.0
03131,383.0,196.0,187.0
03132,802.0,419.0,383.0
03133,102136.0,51446.0,50690.0
03134,187.0,96.0,91.0
03136,694.0,360.0,334.0
03137,961.0,458.0,503.0
03135,284.0,141.0,143.0
03138,4899.0,2510.0,2389.0
03139,32733.0,16364.0,16369.0
03140,34966.0,17458.0,17508.0
03081,3320.0,1677.0,1643.0
04,702819.0,361189.0,341630.0
04001,1480.0,769.0,711.0
04002,1391.0,711.0,680.0
04003,24512.0,12464.0,12048.0
04004,823.0,422.0,401.0
04005,698.0,349.0,349.0
04006,11091.0,5644.0,5447.0
04007,916.0,492.0,424.0
04008,605.0,323.0,282.0
04009,161.0,80.0,81.0
04010,706.0,361.0,345.0
04011,3835.0,1943.0,1892.0
04012,278.0,144.0,134.0
04013,190349.0,92741.0,97608.0
04014,191.0,95.0,96.0
04015,153.0,83.0,70.0
04016,3375.0,1696.0,1679.0
04017,4863.0,2443.0,2420.0
04018,342.0,170.0,172.0
04019,305.0,156.0,149.0
04020,403.0,217.0,186.0
04021,229.0,114.0,115.0
04022,1061.0,538.0,523.0
04023,118.0,56.0,62.0
04024,4166.0,2095.0,2071.0
04026,84.0,48.0,36.0
04027,299.0,158.0,141.0
04028,277.0,151.0,126.0
04029,15388.0,7802.0,7586.0
04030,1451.0,745.0,706.0
04031,4039.0,2065.0,1974.0
04032,8189.0,4250.0,3939.0
04033,162.0,84.0,78.0
04036,303.0,153.0,150.0
04037,1846.0,943.0,903.0
04034,170.0,90.0,80.0
04035,13148.0,6858.0,6290.0
04038,3991.0,1977.0,2014.0
04902,83774.0,45411.0,38363.0
04041,453.0,257.0,196.0
04043,661.0,359.0,302.0
04044,2371.0,1263.0,1108.0
04045,2387.0,1211.0,1176.0
04046,976.0,504.0,472.0
04047,3275.0,1707.0,1568.0
04048,3818.0,1962.0,1856.0
04049,8626.0,4483.0,4143.0
04050,1116.0,595.0,521.0
04051,530.0,260.0,270.0
04052,16074.0,8260.0,7814.0
04053,18580.0,9271.0,9309.0
04054,452.0,242.0,210.0
04055,484.0,230.0,254.0
04056,184.0,99.0,85.0
04057,1819.0,902.0,917.0
04058,478.0,244.0,234.0
04059,1738.0,858.0,880.0
04060,665.0,359.0,306.0
04061,919.0,463.0,456.0
04062,6018.0,3105.0,2913.0
04063,1432.0,730.0,702.0
04064,8090.0,4081.0,4009.0
04903,8686.0,4793.0,3893.0
04065,511.0,273.0,238.0
04066,29284.0,16379.0,12905.0
04067,745.0,368.0,377.0
04068,200.0,103.0,97.0
04069,6580.0,3412.0,3168.0
04070,2892.0,1505.0,1387.0
04071,510.0,263.0,247.0
04072,919.0,458.0,461.0
04073,440.0,246.0,194.0
04074,3748.0,1909.0,1839.0
04075,8726.0,4571.0,4155.0
04076,1771.0,913.0,858.0
04077,379.0,200.0,179.0
04078,1352.0,682.0,670.0
04079,89851.0,47636.0,42215.0
04080,240.0,121.0,119.0
04081,476.0,242.0,234.0
04082,331.0,170.0,161.0
04083,2381.0,1186.0,1195.0
04084,453.0,231.0,222.0
04085,542.0,273.0,269.0
04086,2787.0,1486.0,1301.0
04087,267.0,141.0,126.0
04088,3648.0,1888.0,1760.0
04089,1205.0,597.0,608.0
04090,553.0,283.0,270.0
04091,455.0,225.0,230.0
04092,3875.0,1942.0,1933.0
04901,706.0,367.0,339.0
04093,3901.0,2015.0,1886.0
04094,233.0,130.0,103.0
04095,989.0,514.0,475.0
04096,361.0,177.0,184.0
04097,303.0,164.0,139.0
04098,2276.0,1205.0,1071.0
04099,7134.0,3475.0,3659.0
04100,14689.0,7540.0,7149.0
04101,5313.0,2685.0,2628.0
04102,23656.0,12578.0,11078.0
04103,3133.0,1557.0,1576.0
05,172704.0,87085.0,85619.0
05001,292.0,149.0,143.0
05002,2680.0,1402.0,1278.0
05005,228.0,122.0,106.0
05007,145.0,82.0,63.0
05008,270.0,124.0,146.0
05010,200.0,104.0,96.0
05012,174.0,86.0,88.0
05013,1060.0,538.0,522.0
05014,6933.0,3407.0,3526.0
05015,114.0,56.0,58.0
05016,8099.0,3942.0,4157.0
05017,97.0,52.0,45.0
05018,30.0,15.0,15.0
05019,59008.0,28411.0,30597.0
05021,2729.0,1335.0,1394.0
05022,2077.0,1063.0,1014.0
05023,207.0,109.0,98.0
05024,270.0,141.0,129.0
05025,115.0,63.0,52.0
05026,251.0,122.0,129.0
05027,369.0,186.0,183.0
05029,143.0,83.0,60.0
05030,49.0,27.0,22.0
05033,212.0,105.0,107.0
05034,19.0,11.0,8.0
05035,105.0,51.0,54.0
05036,149.0,79.0,70.0
05037,337.0,177.0,160.0
05038,134.0,78.0,56.0
05039,58.0,32.0,26.0
05040,84.0,52.0,32.0
05041,1278.0,666.0,612.0
05042,180.0,92.0,88.0
05043,94.0,50.0,44.0
05044,329.0,181.0,148.0
05045,116.0,57.0,59.0
05046,50.0,27.0,23.0
05047,5213.0,2683.0,2530.0
05048,139.0,72.0,67.0
05049,513.0,265.0,248.0
05051,216.0,113.0,103.0
05052,112.0,58.0,54.0
05053,98.0,50.0,48.0
05054,1574.0,797.0,777.0
05055,841.0,453.0,388.0
05056,102.0,55.0,47.0
05057,3529.0,1810.0,1719.0
05058,93.0,46.0,47.0
05067,92.0,53.0,39.0
05059,119.0,70.0,49.0
05060,143.0,71.0,72.0
05061,345.0,173.0,172.0
05062,234.0,127.0,107.0
05063,45.0,25.0,20.0
05064,124.0,72.0,52.0
05065,547.0,295.0,252.0
05066,538.0,294.0,244.0
05903,178.0,98.0,80.0
05069,107.0,66.0,41.0
05070,45.0,24.0,21.0
05072,111.0,66.0,45.0
05073,347.0,184.0,163.0
05074,842.0,443.0,399.0
05075,108.0,49.0,59.0
05076,568.0,295.0,273.0
05077,240.0,125.0,115.0
05078,143.0,80.0,63.0
05079,52.0,33.0,19.0
05080,70.0,33.0,37.0
05081,49.0,31.0,18.0
05082,649.0,341.0,308.0
05083,162.0,78.0,84.0
05085,39.0,20.0,19.0
05084,85.0,51.0,34.0
05086,94.0,55.0,39.0
05087,173.0,63.0,110.0
05088,32.0,19.0,13.0
05089,571.0,284.0,287.0
05090,83.0,41.0,42.0
05092,200.0,108.0,92.0
05093,525.0,288.0,237.0
05094,165.0,85.0,80.0
05095,343.0,191.0,152.0
05096,77.0,41.0,36.0
05097,564.0,289.0,275.0
05099,613.0,349.0,264.0
05100,351.0,184.0,167.0
05102,2422.0,1278.0,1144.0
05101,344.0,190.0,154.0
05103,87.0,50.0,37.0
05106,43.0,20.0,23.0
05104,37.0,22.0,15.0
05105,444.0,248.0,196.0
05107,76.0,47.0,29.0
05108,65.0,34.0,31.0
05109,527.0,266.0,261.0
05110,959.0,512.0,447.0
05113,83.0,40.0,43.0
05112,128.0,62.0,66.0
05114,1659.0,842.0,817.0
05115,714.0,373.0,341.0
05116,138.0,70.0,68.0
05117,228.0,122.0,106.0
05118,102.0,56.0,46.0
05119,43.0,24.0,19.0
05120,38.0,22.0,16.0
05121,296.0,153.0,143.0
