Codigo Municipio,Superficie Km2,Densidad Poblacion
01001,19.95,140.5
01002,96.3,103.99
01003,73.02,20.49
01004,27.29,67.53
01006,12.97,17.66
01008,57.56,16.52
01009,65.34,25.77
01010,140.97,20.43
01011,9.5,34.11
01013,97.42,9.3
01014,35.75,13.82
01016,130.48,4.33
01017,85.36,13.16
01018,102.09,16.94
01019,12.52,15.73
01020,84.32,4.16
01021,32.09,19.41
01022,16.26,64.27
01023,17.5,20.63
01027,47.13,11.33
01028,38.11,38.57
01030,45.62,4.03
01031,80.94,19.1
01032,24.25,28.12
01033,6.05,143.31
01034,9.92,21.47
01036,37.73,490.17
01037,123.11,5.86
01039,8.67,28.72
01041,8.92,23.88
01042,29.85,38.69
01043,45.18,72.69
01044,62.15,4.62
01046,119.82,6.52
01047,25.31,51.92
01049,21.92,7.66
01051,37.77,129.31
01052,10.58,31.76
01053,85.41,8.49
01054,60.85,21.77
01055,238.23,4.61
01056,39.12,7.34
01057,8.48,38.33
01058,45.85,37.03
01059,276.98,864.91
01060,18.8,15.27
01061,11.88,16.58
01062,39.57,10.18
01063,122.58,19.77
01901,53.24,55.71
01902,67.45,13.77
02001,30.77,29.31
02002,63.86,9.46
02003,1126.99,152.08
02004,30.5,26.03
02005,71.87,11.8
02006,99.59,7.37
02007,146.82,9.19
02008,370.53,4.34
02009,531.82,47.82
02010,178.47,13.66
02011,146.59,5.5
02012,65.15,37.77
02013,75.89,2.81
02014,138.69,3.41
02015,189.83,10.87
02016,90.73,8.03
02017,166.01,6.08
02018,125.06,9.76
02019,502.87,6.03
02020,75.36,8.86
02021,88.98,16.42
02022,112.32,4.23
02023,125.41,5.96
02024,103.25,46.66
02025,141.63,73.97
02026,63.26,20.66
02027,94.76,4.28
02028,14.47,11.13
02029,679.27,5.91
02030,239.49,16.5
02031,126.14,5.99
02032,23.96,15.4
02033,133.37,19.82
02034,108.29,18.74
02035,136.76,18.74
02036,28.18,4.29
02037,781.66,39.91
02038,63.43,5.61
02039,205.45,6.36
02040,114.57,6.56
02041,67.97,6.47
02042,264.4,4.09
02043,360.9,4.47
02044,311.79,4.56
02045,73.35,65.9
02046,108.15,13.27
02047,103.87,1.13
02048,69.78,24.1
02049,143.59,7.31
02050,24.78,5.04
02051,177.85,12.84
02052,23.82,25.19
02053,229.69,16.6
02054,42.26,13.04
02055,436.74,3.46
02056,54.41,41.92
02057,243.71,10.84
02058,112.34,4.02
02059,189.26,2.11
02060,158.76,8.54
02061,74.61,11.3
02062,49.43,10.99
02063,136.49,13.14
02064,80.96,5.77
02065,133.98,4.46
02066,29.74,10.12
02067,80.92,18.3
02068,120.08,3.86
02069,398.89,41.15
02070,49.53,12.19
02071,83.12,15.69
02072,139.04,14.26
02073,212.68,31.25
02074,324.65,25.27
02075,70.66,27.5
02076,128.04,3.23
02077,57.76,0.97
02078,46.68,27.36
02079,128.33,31.57
02080,87.48,8.04
02081,862.39,30.71
02082,18.67,7.28
02083,34.84,7.86
02084,69.08,6.04
02085,65.37,5.8
02086,511.49,6.39
02901,116.83,24.78
03001,14.67,49.76
03002,66.64,72.49
03003,25.84,23.61
03004,18.47,60.53
03005,61.54,193.39
03006,14.4,99.51
03007,4.39,52.62
03008,14.56,13.26
03009,129.86,470.45
03010,19.78,21.44
03011,19.26,1125.13
03012,18.47,250.41
03013,18.47,81.38
03014,202.32,1652.48
03015,42.69,453.76
03016,8.82,14.85
03017,1.08,470.37
03018,34.43,698.69
03019,70.57,287.54
03020,11.25,14.4
03021,50.28,143.2
03022,9.04,19.69
03023,34.89,52.08
03024,9.33,585.1
03025,12.37,155.62
03026,7.4,254.46
03027,15.74,14.1
03028,20.21,64.08
03029,18.45,32.85
03030,7.48,174.47
03031,38.51,1871.25
03032,13.69,8.4
03033,11.88,16.92
03034,4.36,952.52
03035,9.54,85.01
03036,3.38,28.7
03037,37.93,13.5
03038,5.56,73.38
03039,9.51,13.56
03040,3.5,120.0
03041,69.71,194.18
03042,12.65,440.16
03043,98.17,38.08
03044,4.1,1655.61
03045,13.57,33.46
03046,33.84,97.93
03047,23.51,1264.06
03048,34.66,227.76
03049,24.91,721.76
03050,55.27,494.75
03051,21.82,20.07
03052,19.32,63.92
03053,114.6,91.98
03054,45.93,11.23
03055,20.02,454.15
03056,52.94,219.13
03057,39.98,7.88
03058,16.71,420.65
03059,104.55,271.28
03060,16.7,6.83
03061,7.09,280.39
03062,3.14,231.21
03063,66.18,675.82
03064,18.7,395.61
03065,326.5,705.53
03066,45.6,1197.59
03067,10.17,10.62
03068,9.72,6.38
03069,42.25,161.11
03070,4.33,1013.63
03071,20.33,309.05
03072,9.57,46.19
03073,9.11,27.88
03074,7.17,343.51
03075,15.96,15.04
03076,33.94,496.85
03077,68.85,43.72
03078,12.55,96.97
03079,62.52,378.81
03080,12.2,172.3
03081,34.59,95.98
03082,68.59,473.38
03083,163.76,45.37
03084,31.76,23.74
03085,21.93,48.79
03086,9.77,22.01
03088,79.52,97.72
03089,152.36,84.49
03090,47.65,493.64
03091,5.81,104.82
03092,30.24,297.78
03093,75.72,354.9
03094,21.36,870.46
03095,10.41,638.23
03096,48.41,160.15
03097,17.73,146.98
03098,24.06,37.32
03099,365.36,242.81
03100,11.77,95.41
03101,29.58,258.92
03102,52.85,210.33
03103,49.92,6.65
03104,104.28,333.01
03105,126.46,62.5
03106,38.87,21.51
03107,22.56,198.32
03109,1.57,2650.96
03110,4.88,152.87
03111,9.45,795.98
03112,76.77,17.43
03113,27.73,778.33
03114,43.29,59.0
03115,5.62,80.78
03116,61.71,25.26
03117,3.94,181.98
03118,20.7,596.81
03119,9.64,2339.63
03120,54.85,143.34
03121,58.16,573.8
03122,40.55,1344.78
03123,63.49,158.15
03124,38.83,16.38
03125,4.79,138.0
03127,31.67,25.54
03128,32.25,456.5
03129,70.38,25.05
03130,15.97,3.07
03131,5.36,71.46
03132,36.48,21.98
03133,71.76,1423.3
03134,22.85,8.18
03135,32.43,8.76
03136,53.63,12.94
03137,23.05,41.69
03138,8.16,600.37
03139,59.25,552.46
03140,345.38,101.24
03901,3.62,937.57
03902,77.81,295.17
03903,14.99,346.83
03904,11.7,165.3
04001,45.24,32.71
04002,83.68,16.62
04003,89.69,273.3
04004,34.91,23.57
04005,69.73,10.01
04006,168.28,65.91
04007,67.52,13.57
04008,93.91,6.44
04009,15.52,10.37
04010,16.39,43.08
04011,26.24,146.15
04012,5.87,47.36
04013,295.72,643.68
04014,30.83,6.2
04015,20.1,7.61
04016,99.73,33.84
04017,66.14,73.53
04018,7.72,44.3
04019,94.52,3.23
04020,38.02,10.6
04021,26.36,8.69
04022,46.72,22.71
04023,38.83,3.04
04024,16.62,250.66
04026,6.4,13.12
04027,31.97,9.35
04028,11.34,24.43
04029,185.81,82.82
04030,66.93,21.68
04031,78.95,51.16
04032,95.46,85.78
04033,29.24,5.54
04034,31.99,5.31
04035,263.76,49.85
04036,13.55,22.36
04037,196.47,9.4
04038,140.73,28.36
04041,66.84,6.78
04043,81.26,8.13
04044,23.12,102.55
04045,133.96,17.82
04046,91.16,10.71
04047,87.67,37.36
04048,34.9,109.4
04049,7.77,1110.17
04050,229.49,4.86
04051,19.02,27.87
04052,20.93,767.99
04053,318.21,58.39
04054,19.19,23.55
04055,33.48,14.46
04056,21.71,8.48
04057,92.81,19.6
04058,28.24,16.93
04059,138.14,12.58
04060,123.2,5.4
04061,100.72,9.12
04062,43.82,137.33
04063,225.57,6.35
04064,71.54,113.08
04065,80.76,6.33
04066,599.77,48.83
04067,32.41,22.99
04068,33.6,5.95
04069,23.44,280.72
04070,234.71,12.32
04071,26.49,19.25
04072,52.61,17.47
04073,45.48,9.67
04074,46.06,81.37
04075,94.85,92.0
04076,56.6,31.29
04077,26.92,14.08
04078,36.4,37.14
04079,59.65,1506.3
04080,19.97,12.02
04081,34.87,13.65
04082,50.25,6.59
04083,166.28,14.32
04084,27.64,16.39
04085,16.13,33.6
04086,249.16,11.19
04087,10.09,26.46
04088,280.38,13.01
04089,44.06,27.35
04090,94.6,5.85
04091,15.72,28.94
04092,67.73,57.21
04093,107.96,36.13
04094,39.17,5.95
04095,38.67,25.58
04096,25.47,14.17
04097,66.45,4.56
04098,441.32,5.16
04099,282.54,25.25
04100,57.59,255.06
04101,20.62,257.66
04102,64.34,367.67
04103,71.67,43.71
04901,85.35,8.27
04902,226.13,370.47
04903,23.87,363.89
05001,31.42,9.29
05002,58.64,45.7
05005,17.1,13.33
05007,8.48,17.1
05008,24.25,11.13
05010,17.15,11.66
05012,15.02,11.58
05013,27.08,39.14
05014,193.55,35.82
05015,14.97,7.62
05016,45.71,177.18
05017,12.84,7.55
05018,10.23,2.93
05019,230.7,255.78
05021,12.68,215.22
05022,153.9,13.5
05023,20.03,10.33
05024,32.2,8.39
05025,19.86,5.79
05026,17.31,14.5
05027,16.69,22.11
05029,19.78,7.23
05030,9.01,5.44
05033,39.6,5.35
05034,12.99,1.46
05035,22.95,4.58
05036,22.09,6.75
05037,74.37,4.53
05038,55.06,2.43
05039,18.35,3.16
05040,30.76,2.73
05041,55.34,23.09
05042,11.8,15.25
05043,17.97,5.23
05044,110.07,2.99
05045,19.17,6.05
05046,6.67,7.5
05047,213.47,24.42
05048,14.37,9.67
05049,40.5,12.67
05051,14.16,15.25
05052,22.14,5.06
05053,18.36,5.34
05054,39.24,40.11
