Codigo Municipio,Altitud Municipios
01001,568
01002,219
01003,333
01004,210
01006,467
01008,528
01009,602
01010,306
01011,421
01013,575
01014,471
01016,710
01017,578
01018,585
01019,691
01020,594
01021,540
01022,451
01023,581
01027,627
01028,555
01030,751
01031,630
01032,542
01033,431
01034,569
01036,123
01037,649
01039,461
01041,535
01042,135
01043,435
01044,752
01046,545
01047,483
01049,574
01051,608
01052,571
01053,600
01054,633
01055,552
01056,812
01057,483
01058,570
01059,539
01060,694
01061,612
01062,458
01063,617
01901,502
01902,482
02001,634
02002,858
02003,681
02004,582
02005,706
02006,925
02007,547
02008,953
02009,687
02010,852
02011,696
02012,771
02013,751
02014,1027
02015,733
02016,898
02017,844
02018,886
02019,1062
02020,911
02021,704
02022,942
02023,707
02024,708
02025,554
02026,706
02027,870
02028,947
02029,907
02030,630
02031,682
02032,693
02033,820
02034,670
02035,691
02036,740
02037,570
02038,714
02039,1041
02040,929
02041,624
02042,735
02043,913
02044,641
02045,688
02046,663
02047,1108
02048,723
02049,851
02050,709
02051,810
02052,676
02053,929
02054,708
02055,1085
02056,653
02057,898
02058,1126
02059,1169
02060,1010
02061,870
02062,872
02063,871
02064,769
02065,845
02066,542
02067,1126
02068,1041
02069,708
02070,920
02071,844
02072,734
02073,713
02074,652
02075,667
02076,1118
02077,744
02078,683
02079,739
02080,837
02081,728
02082,409
02083,726
02084,799
02085,1012
02086,878
02901,830
03001,99
03002,331
03003,719
03004,332
03005,15
03006,226
03007,345
03008,735
03009,564
03010,580
03011,89
03012,23
03013,530
03014,5
03015,10
03016,570
03017,363
03018,60
03019,234
03020,670
03021,812
03022,705
03023,592
03024,23
03025,56
03026,42
03027,464
03028,385
03029,311
03030,124
03031,11
03032,738
03033,663
03034,22
03035,521
03036,564
03037,546
03038,414
03039,725
03040,93
03041,254
03042,159
03043,697
03044,23
03045,213
03046,312
03047,55
03048,250
03049,20
03050,26
03051,585
03052,556
03053,669
03054,549
03055,8
03056,433
03057,780
03058,16
03059,129
03060,620
03061,8
03062,6
03063,13
03064,4
03065,81
03066,395
03067,769
03068,684
03069,264
03070,8
03071,79
03072,420
03073,542
03074,17
03075,571
03076,27
03077,367
03078,413
03079,754
03080,25
03081,188
03082,46
03083,448
03084,261
03085,191
03086,635
03088,228
03089,389
03090,63
03091,283
03092,391
03093,241
03094,216
03095,36
03096,701
03097,154
03098,176
03099,24
03100,290
03101,85
03102,82
03103,682
03104,465
03105,591
03106,451
03107,239
03109,13
03110,87
03111,28
03112,435
03113,8
03114,419
03115,103
03116,493
03117,83
03118,3
03119,40
03120,87
03121,4
03122,105
03123,473
03124,412
03125,231
03127,559
03128,183
03129,517
03130,776
03131,129
03132,782
03133,7
03134,639
03135,392
03136,293
03137,439
03138,21
03139,26
03140,503
03901,13
03902,32
03903,19
03904,10
04001,853
04002,986
04003,14
04004,487
04005,381
04006,422
04007,746
04008,955
04009,1025
04010,290
04011,520
04012,414
04013,16
04014,835
04015,309
04016,108
04017,270
04018,630
04019,1209
04020,1252
04021,817
04022,401
04023,934
04024,115
04026,945
04027,934
04028,316
04029,340
04030,602
04031,381
04032,6
04033,945
04034,606
04035,90
04036,912
04037,1039
04038,411
04041,716
04043,820
04044,479
04045,950
04046,846
04047,173
04048,121
04049,20
04050,763
04051,409
04052,76
04053,280
04054,424
04055,427
04056,860
04057,920
04058,604
04059,516
04060,549
04061,900
04062,536
04063,1197
04064,140
04065,596
04066,355
04067,961
04068,1005
04069,486
04070,1022
04071,747
04072,543
04073,1201
04074,105
04075,194
04076,551
04077,405
04078,128
04079,7
04080,330
04081,215
04082,1008
04083,823
04084,755
04085,824
04086,409
04087,630
04088,402
04089,712
04090,1008
04091,285
04092,688
04093,45
04094,845
04095,627
04096,744
04097,926
04098,1076
04099,838
04100,101
04101,71
04102,279
04103,239
04901,689
04902,81
04903,40
04904,6
05001,910
05002,624
05005,911
05007,1162
05008,859
05010,1070
05012,1163
05013,888
05014,507
05015,1130
05016,820
05017,1002
05018,1353
05019,1131
05021,1004
05022,1008
05023,800
05024,1097
05025,1062
05026,807
05027,946
05029,865
05030,1092
05033,948
05034,786
05035,902
05036,883
05037,1139
05038,1077
05039,994
05040,1169
05041,847
05042,900
05043,843
05044,1048
05045,884
05046,857
05047,429
05048,875
05049,1105
05051,1048
05052,1174
05053,1310
05054,538
05055,1012
05056,783
05057,755
05058,1504
05059,1211
05060,853
05061,1130
05062,917
05063,1166
05064,890
05065,923
05066,842
05067,1197
05069,883
05070,868
05072,858
05073,895
05074,884
05075,622
05076,1074
05077,876
05078,822
05079,1255
05080,1175
05081,1463
05082,678
05083,1103
05084,1062
05085,1144
05086,948
05087,930
05088,1005
05089,760
05090,885
05092,900
05093,924
05094,1009
05095,634
05096,1179
05097,1033
05099,820
05100,748
05101,1348
05102,850
05103,1038
05104,1474
05105,1484
05106,1534
05107,1170
05108,994
05109,865
05110,448
05112,1009
05113,1053
05114,809
05115,1024
05116,1019
05117,819
05118,934
05119,1286
05120,1203
05121,1230
05122,1094
05123,1109
05124,1066
05125,1312
05126,1018
05127,848
05128,1032
05129,1258
05130,1122
05131,1110
05132,635
05133,1002
05134,783
05135,1169
