Codigo Municipio,Total Regimen SS
01001,784
01002,4397
01003,224
01004,381
01006,137
01008,283
01009,909
01010,1425
01011,356
01013,197
01014,663
01016,281
01017,308
01018,936
01019,49
01020,47
01021,213
01022,565
01023,143
01027,119
01028,453
01030,57
01031,1784
01032,236
01033,547
01034,56
01036,6677
01037,212
01039,66
01041,106
01042,338
01043,1632
01044,42
01046,156
01047,585
01049,30
01051,1485
01052,264
01053,306
01054,391
01055,266
01056,62
01057,293
01058,2600
01059,113231
01060,114
01061,23
01062,45
01063,666
01901,1663
01902,861
02001,266
02002,94
02003,69496
02004,143
02005,161
02006,105
02007,316
02008,352
02009,7346
02010,518
02011,100
02012,1000
02013,41
02014,159
02015,478
02016,122
02017,147
02018,315
02019,718
02020,106
02021,260
02022,29
02023,112
02024,1437
02025,2802
02026,332
02027,59
02028,19
02029,1400
02030,886
02031,97
02032,64
02033,760
02034,565
02035,656
02036,22
02037,7970
02038,111
02039,265
02040,103
02041,62
02042,178
02043,419
02044,159
02045,1287
02046,255
02047,22
02048,414
02049,156
02050,41
02051,825
02052,75
02053,796
02054,139
02055,303
02056,434
02057,559
02058,61
02059,44
02060,173
02061,156
02062,109
02063,341
02064,67
02065,74
02066,26
02067,326
02068,205
02069,4880
02070,135
02071,234
02072,348
02073,1462
02074,1827
02075,275
02076,80
02077,2
02078,324
02079,1367
02080,119
02081,8056
02082,63
02083,46
02084,58
02085,66
02086,479
03001,97
03002,1528
03003,105
03004,80
03005,2765
03006,124
03007,87
03008,27
03009,14622
03010,51
03011,4713
03012,514
03013,376
03014,157254
03015,4254
03016,14
03017,194
03018,5916
03019,4388
03020,15
03021,2493
03022,50
03023,576
03024,1360
03025,216
03026,376
03027,43
03028,217
03029,58
03030,166
03031,22420
03032,4
03033,34
03034,530
03035,89
03036,7
03037,123
03038,155
03039,11
03040,78
03041,2849
03042,622
03043,1086
03044,1367
03045,61
03046,344
03047,5163
03048,2151
03049,4108
03050,4514
03051,65
03052,318
03053,2929
03054,93
03055,1419
03056,3910
03057,60
03058,3109
03059,7071
03060,21
03061,412
03062,118
03063,11974
03064,1662
03065,62232
03066,13716
03067,6
03068,4
03069,3020
03070,597
03071,1250
03072,181
03073,45
03074,666
03075,99
03076,3338
03077,360
03078,108
03079,7147
03080,444
03081,526
03082,5972
03083,2053
03084,118
03085,218
03086,11
03088,2581
03089,2582
03090,5482
03091,69
03092,2606
03093,7876
03094,3304
03095,1833
03096,2113
03097,393
03098,78
03099,19293
03100,157
03101,2987
03102,2503
03103,52
03104,7876
03105,1953
03106,170
03107,659
03109,648
03110,88
03111,1640
03112,176
03113,2365
03114,593
