Codigo Municipio; Municipio;Total Contratos;Contratos iniciales indefinidos hombres;Contratos iniciales temporales hombres;Contratos convertidos en indefinidos hombres;Contratos iniciales indefinidos mujeres;Contratos iniciales temporales mujeres;Contratos convertidos en indefinidos mujeres;Contratos  Agricultura;Contratos  Industria;Contratos Construcción;Contratos  Servicios
01001;Alegría-Dulantzi;617;7;430;16;6;146;12;23;76;56;462
01002;Amurrio;5861;41;4708;94;23;956;39;19;3693;238;1911
01003;Aramaio;141;2;86;0;1;52;0;2;18;20;101
01004;Artziniega;230;5;105;1;4;110;5;3;35;14;178
01006;Armiñón;125;1;89;0;1;34;0;3;12;4;106
01008;Arratzua-Ubarrundia;328;2;186;4;1;130;5;10;6;4;308
01009;Asparrena;1823;15;1143;6;9;644;6;45;918;11;849
01010;Ayala/Aiara;801;27;587;10;6;165;6;26;178;41;556
01011;Baños de Ebro/Mañueta;636;2;538;1;0;95;0;575;11;18;32
01013;Barrundia;97;1;65;2;0;27;2;52;4;4;37
01014;Berantevilla;518;8;399;12;0;96;3;27;52;14;425
01016;Bernedo;155;4;71;0;2;77;1;18;20;7;110
01017;Campezo/Kanpezu;126;1;65;5;0;53;2;15;12;14;85
01018;Zigoitia;766;28;236;22;20;436;24;11;1;11;743
01019;Kripan;113;1;82;0;0;30;0;99;5;0;9
01020;Kuartango;75;0;58;1;0;15;1;7;1;34;33
01021;Elburgo/Burgelu;218;4;110;2;0;101;1;25;6;3;184
01022;Elciego;1505;2;1133;8;3;349;10;821;74;13;597
01023;Elvillar/Bilar;450;0;393;1;0;56;0;422;14;4;10
01027;Iruraiz-Gauna;103;0;71;0;0;32;0;49;5;5;44
01028;Labastida/Bastida;1630;5;990;3;1;629;2;610;45;29;946
01030;Lagrán;29;1;15;2;2;8;1;2;1;5;21
01031;Laguardia;2351;25;1529;27;20;719;31;1299;279;33;740
01032;Lanciego/Lantziego;592;4;544;1;0;42;1;528;34;7;23
01033;Lapuebla de Labarca;1162;0;992;5;3;158;4;953;52;11;146
01034;Leza;313;1;291;1;0;20;0;300;3;0;10
01036;Laudio/Llodio;6344;71;4158;146;42;1842;85;22;1354;224;4744
01037;Arraia-Maeztu;248;3;111;2;0;130;2;49;4;7;188
01039;Moreda de Álava/Moreda Araba;231;12;201;1;0;16;1;214;7;1;9
01041;Navaridas;499;0;447;1;0;51;0;495;0;1;3
01042;Okondo;454;8;197;3;3;240;3;75;42;20;317
01043;Oyón-Oion;1603;32;1177;35;6;339;14;674;269;82;578
01044;Peñacerrada-Urizaharra;3;0;3;0;0;0;0;0;0;2;1
01046;Erriberagoitia/Ribera Alta;167;7;95;8;4;52;1;8;35;35;89
01047;Ribera Baja/Erribera Beitia;997;17;673;3;7;293;4;4;20;55;918
01049;Añana;20;0;14;0;0;6;0;0;0;5;15
01051;Salvatierra/Agurain;1695;15;732;28;4;897;19;11;159;60;1465
01052;Samaniego;691;3;559;3;3;123;0;585;42;4;60
01053;San Millán/Donemiliaga;418;1;311;4;1;100;1;340;3;1;74
01054;Urkabustaiz;124;1;73;4;4;40;2;3;15;4;102
01055;Valdegovía/Gaubea;225;1;99;2;3;120;0;21;78;16;110
