Codigo Municipio,Total Contratos,Contratos Hombres,Contratos Mujeres
01001,617,453,164
01002,5861,4843,1018
01003,141,88,53
01004,230,111,119
01006,125,90,35
01008,328,192,136
01009,1823,1164,659
01010,801,624,177
01011,636,541,95
01013,97,68,29
01014,518,419,99
01016,155,75,80
01017,126,71,55
01018,766,286,480
01019,113,83,30
01020,75,59,16
01021,218,116,102
01022,1505,1143,362
01023,450,394,56
01027,103,71,32
01028,1630,998,632
01030,29,18,11
01031,2351,1581,770
01032,592,549,43
01033,1162,997,165
01034,313,293,20
01036,6344,4375,1969
01037,248,116,132
01039,231,214,17
01041,499,448,51
01042,454,208,246
01043,1603,1244,359
01044,3,3,0
01046,167,110,57
01047,997,693,304
01049,20,14,6
01051,1695,775,920
01052,691,565,126
01053,418,316,102
01054,124,78,46
01055,225,102,123
01056,29,20,9
01057,811,654,157
01058,1488,1159,329
01059,84625,41350,43275
01060,292,248,44
01061,8,3,5
01062,75,26,49
01063,374,101,273
01901,745,537,208
01902,622,460,162
02001,330,193,137
02002,160,98,62
02003,57712,30515,27197
02004,266,204,62
02005,439,259,180
02006,279,148,131
02007,362,209,153
02008,266,154,112
02009,4306,2718,1588
02010,696,515,181
02011,93,57,36
02012,3445,2273,1172
02013,38,23,15
02014,71,48,23
02015,908,661,247
02016,186,149,37
02017,155,110,45
02018,341,206,135
02019,615,231,384
02020,101,60,41
02021,156,78,78
02022,26,17,9
02023,120,82,38
02024,1622,1239,383
02025,1894,1240,654
02026,326,224,102
02027,89,72,17
02028,22,11,11
02029,1111,835,276
02030,697,435,262
02031,80,45,35
02032,85,48,37
02033,1918,1473,445
02034,445,279,166
02035,804,479,325
02036,13,9,4
02037,8474,4881,3593
02038,212,160,52
02039,801,638,163
02040,117,90,27
02041,49,33,16
02042,108,57,51
02043,401,289,112
02044,222,143,79
02045,1483,1022,461
02046,364,247,117
02047,35,20,15
02048,648,446,202
02049,349,276,73
02050,24,19,5
02051,1301,1065,236
02052,133,101,32
02053,627,395,232
02054,156,107,49
02055,292,167,125
02056,449,311,138
02057,429,258,171
02058,61,28,33
02059,42,24,18
02060,112,66,46
02061,106,75,31
02062,152,124,28
02063,472,327,145
02064,79,52,27
02065,110,55,55
02066,31,18,13
02067,383,192,191
02068,173,98,75
02069,3299,2158,1141
02070,305,128,177
02071,702,471,231
02072,291,151,140
02073,1473,970,503
02074,4467,3365,1102
02075,368,277,91
02076,76,51,25
02077,11,10,1
02078,212,126,86
02079,1530,788,742
02080,132,120,12
02081,7997,5204,2793
02082,64,23,41
02083,23,13,10
02084,92,64,28
02085,35,19,16
02086,462,253,209
02901,554,420,134
03001,99,62,37
03002,1136,473,663
03003,153,86,67
03004,170,86,84
03005,2524,2091,433
03006,112,71,41
03007,81,37,44
03008,70,37,33
03009,8442,4558,3884
03010,47,29,18
03011,3657,1784,1873
03012,602,240,362
03013,280,197,83
03014,100192,50240,49952
03015,3077,1984,1093
03016,125,56,69
03017,144,103,41
03018,4257,2286,1971
03019,2921,1684,1237
03020,16,11,5
03021,943,545,398
03022,61,43,18
03023,225,166,59
03024,1895,1504,391
03025,138,102,36
03026,234,106,128
03027,28,21,7
03028,82,65,17
03029,29,25,4
03030,146,92,54
03031,37874,18141,19733
03032,15,11,4
03033,27,14,13
03034,333,181,152
03035,64,42,22
03036,17,5,12
03037,35,25,10
03038,58,36,22
03039,22,18,4
03040,47,32,15
