Codigo Municipio,Total Paro Registrado,Parados Hombres,Parados Mujeres
01001,1992,935,1057
01002,8393,3742,4651
01003,322,177,145
01004,1690,730,960
01006,139,60,79
01008,526,223,303
01009,1079,565,514
01010,1698,647,1051
01011,71,34,37
01013,362,185,177
01014,145,57,88
01016,185,133,52
01017,792,456,336
01018,774,371,403
01019,28,26,2
01020,152,105,47
01021,193,81,112
01022,639,337,302
01023,97,41,56
01027,237,112,125
01028,1106,531,575
01030,39,29,10
01031,939,536,403
01032,343,175,168
01033,459,210,249
01034,94,66,28
01036,14801,6753,8048
01037,465,240,225
01039,130,80,50
01041,32,13,19
01042,812,387,425
01043,3451,1838,1613
01044,89,56,33
01046,318,167,151
01047,720,367,353
01049,50,16,34
01051,5363,2388,2975
01052,77,33,44
01053,258,107,151
01054,921,468,453
01055,601,320,281
01056,132,115,17
01057,125,53,72
01058,1393,746,647
01059,212216,101621,110595
01060,73,20,53
01061,99,32,67
01062,222,128,94
01063,942,576,366
01901,2475,1056,1419
01902,414,257,157
02001,729,316,413
02002,824,376,448
02003,206017,97756,108261
02004,898,336,562
02005,1069,537,532
02006,1356,507,849
02007,1392,808,584
02008,2139,1084,1055
02009,38565,16208,22357
02010,3354,1390,1964
02011,722,404,318
02012,3601,1294,2307
02013,189,100,89
02014,491,161,330
02015,3640,1190,2450
02016,1335,564,771
02017,1687,688,999
02018,1319,635,684
02019,3852,1325,2527
02020,623,271,352
02021,1935,804,1131
02022,309,119,190
02023,721,340,381
02024,5335,2711,2624
02025,17079,7767,9312
02026,1874,861,1013
02027,183,71,112
02028,271,161,110
02029,4124,1949,2175
02030,7555,3408,4147
02031,1475,672,803
02032,395,244,151
02033,3799,1741,2058
02034,2469,1156,1313
02035,3242,1511,1731
02036,200,80,120
02037,52311,22942,29369
02038,376,104,272
02039,1125,404,721
02040,820,410,410
02041,489,245,244
02042,2116,957,1159
02043,1983,764,1219
02044,3244,1173,2071
02045,6980,3173,3807
02046,2074,792,1282
02047,19,7,12
02048,1707,696,1011
02049,1246,532,714
02050,29,10,19
02051,2564,940,1624
02052,812,362,450
02053,5779,2202,3577
02054,791,318,473
02055,2128,841,1287
02056,2985,1540,1445
02057,4830,2024,2806
02058,786,306,480
02059,488,173,315
02060,1413,681,732
02061,630,349,281
02062,894,392,502
02063,2452,847,1605
02064,573,288,285
02065,542,214,328
02066,412,217,195
02067,1685,730,955
02068,489,234,255
02069,20238,8340,11898
02070,416,232,184
02071,1690,679,1011
02072,3837,1653,2184
02073,10134,4212,5922
02074,11229,5124,6105
02075,2445,1272,1173
02076,531,172,359
02077,61,43,18
02078,951,548,403
02079,4520,1822,2698
02080,726,422,304
02081,36008,17009,18999
02082,150,99,51
02083,312,130,182
02084,750,373,377
02085,398,95,303
02086,4843,2340,2503
02901,4180,1983,2197
03001,254,115,139
03002,5918,3298,2620
03003,573,275,298
03004,778,389,389
03005,16129,7698,8431
03006,735,464,271
03007,159,67,92
03008,212,125,87
03009,86851,40568,46283
03010,262,99,163
03011,13623,6436,7187
03012,2747,1254,1493
03013,1959,967,992
03014,428101,220548,207553
03015,32578,18072,14506
03016,85,33,52
03017,635,273,362
03018,22359,11772,10587
03019,35311,17702,17609
03020,231,137,94
03021,6901,2184,4717
03022,176,105,71
03023,1531,739,792
03024,8816,5175,3641
03025,2374,1262,1112
03026,2381,1301,1080
03027,107,63,44
03028,1321,775,546
03029,295,157,138
03030,930,419,511
03031,77425,38034,39391
03032,69,41,28
03033,118,50,68
03034,3245,1770,1475
03035,985,505,480
03036,123,68,55
03037,390,231,159
03038,426,249,177
03039,163,131,32
03040,307,125,182
03041,10526,5920,4606
03042,2324,1347,977
03043,4843,1914,2929
03044,12806,6978,5828
03045,196,106,90
03046,2597,1513,1084
03047,22711,11987,10724
03048,6941,4244,2697
03049,27168,14845,12323
03050,27054,13538,13516
03051,462,236,226
03052,1115,437,678
03053,13008,6333,6675
03054,484,324,160
03055,12213,6013,6200
03056,16541,7881,8660
03057,304,185,119
03058,7215,3818,3397
03059,58550,27593,30957
03060,158,109,49
03061,2205,1346,859
03062,302,158,144
03063,56011,28792,27219
03064,10667,5928,4739
03065,417130,190541,226589
03066,101942,44553,57389
03067,143,66,77
03068,42,31,11
03069,4946,2617,2329
03070,4541,2625,1916
03071,6530,3854,2676
03072,461,264,197
03073,271,112,159
03074,2622,1544,1078
03075,104,78,26
03076,13174,6558,6616
03077,2925,1344,1581
03078,995,544,451
03079,35589,14930,20659
03080,2561,1336,1225
03081,2384,1375,1009
03082,23821,13092,10729
03083,5561,2960,2601
03084,744,396,348
03085,463,279,184
03086,189,110,79
03088,9035,5045,3990
03089,26843,12392,14451
03090,24883,13745,11138
03091,282,182,100
03092,12107,5652,6455
03093,40386,20925,19461
03094,14498,7137,7361
03095,9997,5635,4362
03096,10641,4787,5854
03097,1379,685,694
03098,879,440,439
03099,88406,47710,40696
03100,682,423,259
03101,8391,4519,3872
03102,10089,5272,4817
03103,339,187,152
03104,66920,27572,39348
03105,10283,5236,5047
03106,874,515,359
03107,4151,2251,1900
03109,6915,4448,2467
03110,358,199,159
03111,13848,7612,6236
03112,866,451,415
03113,9793,5815,3978
03114,2885,1452,1433
03115,311,178,133
03116,3078,1145,1933
03117,521,282,239
03118,6207,3342,2865
03119,23551,11840,11711
03120,6000,3144,2856
03121,36638,17389,19249
03122,71601,37455,34146
03123,17095,7262,9833
03124,463,343,120
03125,626,424,202
03127,398,226,172
03128,8097,4083,4014
03129,1384,676,708
03130,41,39,2
03131,218,111,107
03132,616,345,271
03133,120123,61998,58125
03134,134,58,76
03135,207,114,93
03136,371,247,124
03137,720,420,300
03138,6900,3834,3066
03139,46931,25146,21785
03140,52895,23215,29680
03901,2023,992,1031
03902,16875,9614,7261
03903,5925,3264,2661
03904,3140,1479,1661
04001,1196,815,381
04002,878,561,317
04003,36439,19428,17011
04004,428,261,167
04005,490,267,223
