Codigo Municipio,Nº Centros Sanitarios
01001,1
01002,2
01003,1
01004,1
01008,1
01009,1
01010,3
01013,1
01014,1
01016,1
01017,1
01018,1
01020,1
01022,1
01023,1
01028,1
01031,2
01032,1
01033,1
01034,1
01036,1
01037,1
01039,1
01042,1
01043,1
01044,1
01046,1
01047,1
01049,1
01051,1
01054,1
01055,2
01057,1
01058,1
01059,19
01060,1
01062,1
01063,1
01901,1
01902,2
02001,1
02002,1
02003,21
02004,1
02005,1
02006,1
02007,5
02008,2
02009,2
02010,1
02011,2
02012,1
02013,4
02014,1
02015,1
02016,1
02017,2
02018,1
02019,1
02020,1
02021,1
02022,1
02023,1
02024,1
02025,1
02026,1
02027,2
02028,2
02029,4
02030,3
02031,1
02032,1
02033,1
02034,2
02035,1
02036,1
02037,12
02038,1
02039,1
02040,1
02041,3
02042,5
02043,3
02044,2
02045,1
02046,1
02047,2
02048,1
02049,10
02050,1
02051,1
02052,1
02053,1
02054,1
02055,6
02056,1
02057,1
02058,1
02059,3
02060,2
02061,2
02062,1
02063,5
02064,1
02065,1
02066,1
02067,1
02068,2
02069,1
02070,2
02071,2
02072,2
02073,1
02074,6
02075,1
02076,1
02077,1
02078,1
02079,1
02080,1
02081,2
02082,2
02083,1
02084,2
02085,1
02086,12
02901,1
03001,2
03002,1
03003,1
03004,1
03005,1
03006,2
03007,1
03008,1
03009,6
030092,1
03010,1
03011,2
03012,1
03013,1
03014,26
030149,2
03015,1
03016,1
03017,1
03018,4
03019,1
03020,1
03021,1
03022,1
03023,1
03024,1
03025,1
03026,2
03027,1
03028,1
03029,1
03030,1
03031,6
03032,1
03033,1
03034,2
03035,1
03036,1
03037,1
03038,1
03039,1
03040,1
03041,1
03042,1
03043,1
03044,1
03045,1
03046,1
03047,2
03048,1
03049,1
03050,4
03051,1
03052,1
03053,1
03054,1
03055,1
03056,1
03057,2
03058,1
03059,3
03060,1
03061,1
03062,1
03063,7
03064,1
03065,20
030651,1
03066,4
03067,1
03068,1
03069,2
03070,1
03071,1
03072,1
03073,1
03074,1
03075,1
03076,2
03077,2
03078,1
03079,2
03080,1
03081,1
03082,2
03083,1
03084,1
03085,1
03086,1
03088,1
03089,1
030895,1
03090,3
03091,1
03092,1
03093,1
03094,2
03095,1
03096,1
03097,1
03098,1
03099,20
030993,1
03100,1
03101,1
03102,1
03103,1
03104,2
03105,1
03106,4
03107,2
03109,1
03110,1
03111,2
03112,1
03113,3
031133,1
03114,2
03115,1
03116,1
03117,1
03118,2
03119,2
03120,1
03121,4
03122,4
03123,1
03124,1
03125,1
03127,1
03128,2
03129,1
03130,1
03131,1
03132,1
03133,7
03134,2
03135,1
03136,5
03137,4
03138,1
03139,4
03140,3
03901,1
03902,5
03903,1
03904,1
04001,1
04002,1
04003,4
04004,1
04005,1
04006,5
04008,2
04009,1
04010,1
04011,1
04012,1
04013,26
040139,1
04014,1
04015,1
04016,2
04017,1
04018,1
04019,1
04020,2
04022,1
04023,1
04024,2
04026,1
04027,2
04028,1
04029,5
04030,1
04031,3
04032,5
04033,1
04034,1
04035,6
04036,1
04037,2
04038,1
04041,1
04043,1
04044,1
04045,1
04046,3
04047,1
04048,1
04049,1
04050,3
04051,1
04052,3
04053,7
04054,1
04055,1
04056,1
04057,1
04058,1
04059,5
04060,2
04061,2
04062,1
04063,2
04064,2
04065,1
04066,20
04067,1
04068,1
04069,1
04070,1
04071,1
04072,1
04073,1
04074,2
04075,4
04076,2
04077,1
04078,2
04079,8
04080,1
04081,1
04082,1
04083,1
04084,1
04085,1
04086,6
04087,1
04088,1
04089,1
04090,2
04091,1
04092,2
04093,1
04094,1
04095,3
04096,1
04097,1
04098,2
04099,1
04100,1
04101,1
04102,7
04103,2
04901,3
04902,11
049026,1
04903,2
05001,1
05002,1
05005,1
05007,1
05008,1
05010,1
05012,1
05013,1
05014,4
05015,1
05016,1
05017,1
05018,2
05019,16
05021,2
05022,2
05023,1
05024,2
05025,1
05026,1
05027,1
05029,1
05030,1
05033,1
05034,1
05035,1
05036,1
05037,4
05038,3
05039,1
05040,2
05041,1
05042,1
05043,1
05044,1
05045,1
05046,1
05047,2
05048,1
05049,1
05051,1
05053,2
05054,1
05055,1
05056,1
05057,1
05058,1
05059,1
05060,1
05061,1
05062,1
05063,1
05064,2
05065,3
05066,1
05067,1
05069,1
05070,1
05072,1
05073,2
05074,1
05075,1
05076,1
05077,1
05078,1
05079,1
05080,2
05081,1
05082,1
05083,1
05084,1
05085,2
05086,1
05087,1
05088,2
05089,1
05090,1
05092,1
05093,2
05094,1
05095,1
05096,1
05097,1
05099,1
05100,1
05101,1
05102,1
05103,1
05104,1
05105,1
05106,1
05107,3
05108,1
05109,1
05110,1
05112,1
05113,1
05114,1
05115,1
05116,1
05117,1
05118,1
05119,1
05120,1
05121,1
05122,1
05123,1
05124,1
05125,1
05126,1
05127,1
05128,1
05129,2
05130,1
05131,1
05132,1
05133,1
05134,1
05135,2
05136,3
05138,2
05139,2
05140,1
05141,1
05142,1
05143,1
05144,1
05145,2
05147,1
05148,1
05149,1
05151,1
05152,5
05153,2
05154,1
05155,2
05156,1
05157,1
05158,1
05159,1
05160,1
05161,1
05162,2
05163,1
05164,1
05165,3
05166,1
05167,1
05168,1
05169,1
05170,1
05171,1
05172,1
05173,1
05174,1
05175,1
05176,2
05177,1
05178,2
05179,1
05180,1
05181,1
05182,1
05183,1
05184,1
05185,1
05186,3
05187,1
05188,1
05189,1
05190,1
05191,2
05192,1
05193,2
05194,1
05195,2
05196,1
05197,1
05198,1
05199,1
05200,2
05204,1
05205,1
05206,1
05207,1
05208,1
05209,1
05210,1
05211,1
05212,2
05213,1
05214,3
05215,1
05216,1
05217,1
05218,1
05219,1
05220,2
05221,1
05222,1
05224,1
05225,1
05226,3
05227,1
05228,2
05229,1
05230,1
05231,1
05232,1
05233,1
05234,1
05235,1
05236,6
05237,1
05238,4
05239,1
05240,2
05241,1
05242,1
05243,2
05244,2
05245,1
05246,1
05247,6
05249,1
05251,1
05252,2
05253,1
05254,1
05256,1
05257,1
05258,1
05259,1
05260,1
05261,1
05262,1
05263,2
05264,1
05265,1
05266,1
05267,2
05901,3
05902,2
05903,2
05904,5
05905,1
06001,2
06002,1
06003,1
06004,1
06005,1
06006,1
06007,1
06008,1
06009,1
06010,1
06011,4
06012,1
06013,1
06014,2
06015,21
06016,1
06017,1
06018,4
06019,1
06020,1
06021,1
06022,1
06023,2
06024,1
06025,1
06026,1
06027,1
06028,2
06029,1
06030,1
06031,1
06032,1
06033,1
06034,1
06035,1
06036,1
06037,1
06038,1
06039,1
06040,1
06041,1
06042,1
06043,1
06044,12
06045,2
06046,1
06047,1
06048,1
06049,1
06050,1
06051,1
06052,1
06053,1
06054,1
06055,1
06056,1
06057,1
06058,1
06059,1
06060,2
06061,1
06062,2
06063,2
06064,1
06065,1
06066,1
06067,1
06068,1
06069,1
06070,4
06071,1
06072,2
06073,1
06074,3
06075,1
06076,1
06077,1
06078,1
06079,1
06080,2
06081,1
06082,1
06083,7
06084,1
06085,1
06086,3
06087,1
06088,3
06089,1
06090,1
06091,3
06092,1
06093,1
06094,1
06095,6
06096,1
06097,1
06098,1
06099,1
06100,1
06101,1
06102,1
06104,1
06105,1
06106,1
06107,1
06108,1
06109,1
06110,1
06111,1
06112,1
06113,1
06114,1
06115,1
06116,1
06117,1
06118,1
06119,1
06120,1
06121,1
06122,1
06123,1
06124,1
06125,1
06126,3
06127,2
06128,1
06129,1
06130,1
06131,1
06132,1
06133,1
06134,1
06135,1
06136,1
06137,1
06138,1
06139,1
06140,1
06141,1
06142,1
06143,1
06144,1
06145,1
06146,1
06147,1
06148,1
06149,1
06150,1
06151,1
06152,1
06153,6
06154,1
06155,1
06156,3
06157,1
06158,4
06159,1
06160,1
06161,1
06162,1
06901,1
06902,1
07001,1
07002,2
07003,2
07004,3
07005,3
07006,2
07007,1
07008,1
07009,1
07010,3
07011,10
07012,1
07013,2
07014,3
07015,2
07016,1
07017,1
07018,1
07019,2
07020,1
07021,1
07022,4
07023,1
07024,2
07025,1
07026,6
07027,2
070276,1
07028,1
07029,1
07030,1
07031,2
07032,5
07033,4
070337,1
07034,1
07035,1
07036,5
07037,2
07038,1
07039,2
07040,43
07041,1
07042,2
07043,1
07044,1
07046,2
07047,2
07048,4
