Codigo Municipio,Nº Centros Educativos
01001,4
01002,9
01003,2
01004,3
01006,2
01008,2
01009,3
01010,3
01011,1
01013,2
01016,1
01017,3
01018,2
01019,1
01021,1
01022,2
01028,10
01031,3
01033,1
01036,12
01037,2
01042,2
01043,3
01046,4
01051,6
01054,3
01058,3
01059,132
01063,4
01901,4
02001,2
02003,128
02004,2
02005,2
02007,2
02008,4
02009,22
02010,4
02012,4
02015,2
02017,1
02018,2
02019,4
02020,1
02021,2
02023,1
02024,4
02025,11
02026,3
02029,10
02030,6
02031,2
02033,4
02034,2
02035,2
02037,26
02039,2
02042,1
02043,3
02044,1
02045,5
02046,2
02048,2
02049,1
02051,2
02053,4
02055,4
02056,2
02057,4
02060,2
02063,2
02067,3
02068,1
02069,14
02071,1
02072,4
02073,4
02074,7
02075,2
02078,3
02079,4
02080,1
02081,23
02086,4
03002,6
03004,1
03005,9
03006,3
03009,39
03010,1
03011,11
03012,3
03013,2
03014,195
03015,13
03018,13
03019,16
03021,8
03023,3
03024,4
03025,2
03026,3
03027,3
03028,1
03029,1
03031,36
03034,2
03035,2
03037,1
03040,3
03041,6
03042,7
03043,5
03044,7
03045,2
03046,2
03047,9
03048,7
03049,12
03050,13
03053,8
03054,2
03055,8
03056,8
03057,1
03058,6
03059,17
03061,3
03062,5
03063,43
03064,8
03065,118
03066,30
03069,5
03071,6
03074,2
03076,7
03077,4
03079,16
03080,3
03081,2
03082,17
03083,6
03084,2
03085,3
03088,6
03089,11
03090,14
03091,2
03092,6
03093,23
03094,7
03095,5
03096,6
03097,6
03098,1
03099,55
03101,7
03103,2
03104,21
03105,9
03106,1
03107,1
03111,5
03112,2
03113,7
03114,2
03116,1
03120,9
03121,16
03122,40
03123,10
03128,7
03129,1
03132,1
03133,28
03135,2
03136,2
03139,19
03140,22
03902,1
03903,5
03904,4
04001,3
04002,1
04003,22
04004,2
04005,2
04006,25
04007,4
04010,1
04011,5
04012,1
04013,207
04016,5
04017,3
04018,1
04019,1
04020,2
04022,1
04024,5
04029,11
04030,3
04031,4
04032,8
04035,13
04037,3
04038,4
04043,1
04044,3
04045,5
04046,2
04047,4
04048,3
04049,6
04050,2
04052,16
04053,1
04057,4
04059,3
04060,1
04061,2
04062,6
04063,4
04064,7
04065,2
04066,22
04067,2
04069,7
04070,10
04074,4
04076,5
04077,1
04078,3
04079,51
04081,1
04083,4
04084,1
04086,6
04088,4
04089,2
04090,2
04092,4
04098,3
04099,8
04100,12
04101,7
04102,25
04103,2
04902,71
04903,9
04904,4
05002,3
05013,1
05014,7
05016,11
05019,43
05021,3
05022,20
05035,1
05041,1
05047,4
05049,1
05054,1
05055,1
05057,4
05059,1
05061,1
05065,1
05074,2
05097,1
05101,1
05102,2
05104,1
05110,2
05114,1
05117,1
05127,1
05128,1
05132,1
05135,1
05138,1
05152,1
05158,1
05161,1
05163,3
05168,3
05186,2
05187,3
05189,2
05207,1
05220,1
05225,2
05238,1
05240,3
05241,6
06001,3
06002,7
06003,1
06004,1
06005,2
06006,5
06007,2
06008,1
06009,1
06010,1
06011,19
06012,2
06014,8
06015,154
06016,2
06018,3
06019,2
06020,1
06021,1
06022,7
06023,9
06024,1
06025,3
06026,1
06027,1
06028,4
06029,1
06031,1
06033,1
06035,1
06036,5
06037,1
06038,1
06039,1
06040,1
06042,1
06043,1
06044,23
06046,1
06047,1
06048,1
06049,1
06050,6
06051,2
06052,4
06053,1
06054,5
06055,2
06056,1
06057,1
06058,2
06059,1
06060,4
06061,2
06062,2
06063,1
06064,2
06065,1
06066,1
06067,1
06068,1
06069,3
06070,11
06072,3
