Codigo Municipio,Número de transacciones anuales 2011
01001,25.0
01002,185.0
01003,8.0
01004,6.0
01006,7.0
01008,4.0
01009,4.0
01010,12.0
01011,1.0
01013,3.0
01014,1.0
01016,3.0
01017,6.0
01018,4.0
01019,0.0
01020,0.0
01021,3.0
01022,11.0
01023,0.0
01027,2.0
01028,19.0
01030,1.0
01031,10.0
01032,7.0
01033,8.0
01034,2.0
01036,198.0
01037,3.0
01039,0.0
01041,1.0
01042,11.0
01043,30.0
01044,2.0
01046,5.0
01047,2.0
01049,0.0
01051,28.0
01052,1.0
01053,3.0
01054,5.0
01055,5.0
01056,2.0
01057,0.0
01058,28.0
01059,2630.0
01060,2.0
01061,1.0
01062,1.0
01063,27.0
01901,50.0
01902,2.0
02001,3.0
02002,7.0
02003,1099.0
02004,2.0
02005,5.0
02006,4.0
02007,7.0
02008,6.0
02009,143.0
02010,5.0
02011,0.0
02012,9.0
02013,4.0
02014,6.0
02015,8.0
02016,5.0
02017,6.0
02018,2.0
02019,19.0
02020,1.0
02021,6.0
02022,5.0
02023,3.0
02024,19.0
02025,40.0
02026,3.0
02027,0.0
02028,1.0
02029,42.0
02030,19.0
02031,2.0
02032,4.0
02033,10.0
02034,15.0
02035,12.0
02036,0.0
02037,115.0
02038,1.0
02039,2.0
02040,3.0
02041,1.0
02042,8.0
02043,6.0
02044,8.0
02045,8.0
02046,2.0
02047,1.0
02048,11.0
02049,7.0
02050,0.0
02051,16.0
02052,2.0
02053,9.0
02054,1.0
02055,8.0
02056,9.0
02057,4.0
02058,5.0
02059,3.0
02060,15.0
02061,2.0
02062,4.0
02063,5.0
02064,2.0
02065,3.0
02066,0.0
02067,11.0
02068,4.0
02069,78.0
02070,5.0
02071,4.0
02072,0.0
02073,20.0
02074,51.0
02075,7.0
02076,1.0
02077,1.0
02078,13.0
02079,11.0
02080,5.0
02081,110.0
02082,1.0
02083,0.0
02084,4.0
02085,2.0
02086,20.0
02901,14.0
03001,28.0
03002,14.0
03003,4.0
03004,15.0
03005,89.0
03006,19.0
03007,3.0
03008,3.0
03009,383.0
03010,1.0
03011,372.0
03012,167.0
03013,5.0
03014,2681.0
03015,149.0
03016,2.0
03017,1.0
03018,473.0
03019,115.0
03020,1.0
03021,41.0
03022,1.0
03023,5.0
03024,19.0
03025,9.0
03026,26.0
03027,0.0
03028,4.0
