Codigo Municipio,Nº Hombres Otra CCAA,Nº Mujeres Otra CCAA,Nº Total Otra CCAA
00000,3311385.0,3738261.0,7049646.0
44001,6.0,5.0,11.0
40001,26.0,21.0,47.0
10001,34.0,22.0,56.0
27001,44.0,19.0,63.0
48001,759.0,758.0,1517.0
31001,9.0,5.0,14.0
09001,,,
26001,28.0,27.0,55.0
20001,2.0,4.0,6.0
19001,3.0,,3.0
30001,280.0,283.0,563.0
50001,2.0,,2.0
48002,791.0,894.0,1684.0
30002,239.0,278.0,516.0
34001,,,
31002,21.0,18.0,39.0
31003,,3.0,3.0
31004,1.0,2.0,3.0
15001,65.0,106.0,171.0
42001,28.0,21.0,49.0
44002,21.0,11.0,32.0
25001,3.0,4.0,7.0
02001,16.0,28.0,44.0
13001,97.0,110.0,207.0
31005,35.0,24.0,59.0
10002,12.0,15.0,27.0
49002,2.0,2.0,4.0
16001,6.0,2.0,8.0
34003,11.0,8.0,19.0
22001,24.0,20.0,44.0
22002,7.0,8.0,15.0
04001,35.0,49.0,84.0
19002,10.0,2.0,12.0
31006,167.0,133.0,300.0
08001,1397.0,1491.0,2888.0
04002,29.0,27.0,56.0
37001,3.0,6.0,9.0
28001,4.0,5.0,9.0
24001,16.0,6.0,22.0
10003,67.0,58.0,125.0
16002,9.0,11.0,20.0
06001,31.0,36.0,67.0
10004,19.0,20.0,39.0
10005,12.0,8.0,20.0
50002,2.0,,2.0
06002,94.0,87.0,181.0
22003,22.0,21.0,43.0
47001,2.0,1.0,3.0
14001,62.0,59.0,121.0
05001,8.0,8.0,16.0
38001,2881.0,2542.0,5423.0
46001,133.0,138.0,271.0
31007,17.0,18.0,35.0
19003,7.0,9.0,16.0
46002,46.0,49.0,95.0
04003,423.0,428.0,851.0
09003,4.0,3.0,7.0
40002,3.0,4.0,7.0
05002,633.0,567.0,1200.0
42003,2.0,1.0,3.0
40003,10.0,8.0,18.0
03001,7.0,8.0,15.0
20002,8.0,6.0,14.0
35001,144.0,89.0,233.0
37002,5.0,11.0,16.0
25002,27.0,20.0,47.0
36020,42.0,35.0,77.0
50003,11.0,11.0,22.0
26002,131.0,83.0,214.0
03002,333.0,318.0,651.0
25003,274.0,280.0,554.0
42004,163.0,173.0,336.0
03003,20.0,12.0,32.0
18001,8.0,3.0,11.0
41001,37.0,39.0,76.0
50004,15.0,13.0,28.0
09006,5.0,3.0,8.0
47002,2.0,,2.0
44003,1.0,2.0,3.0
44004,44.0,55.0,99.0
13002,90.0,119.0,209.0
22004,7.0,8.0,15.0
40004,20.0,24.0,44.0
09007,,,
34004,534.0,552.0,1086.0
47003,1.0,5.0,6.0
31008,15.0,9.0,24.0
14002,198.0,207.0,405.0
08002,11.0,4.0,15.0
44005,5.0,3.0,8.0
26003,36.0,42.0,77.0
30003,2686.0,2821.0,5508.0
50005,11.0,6.0,17.0
35002,822.0,606.0,1428.0
17001,46.0,34.0,80.0
46004,85.0,106.0,191.0
38002,10.0,12.0,22.0
10006,39.0,43.0,82.0
37003,3.0,4.0,7.0
37004,1.0,2.0,3.0
06003,24.0,21.0,45.0
