Codigo Municipio,Nº edificios,Nº Inmuebles
00000,9814785.0,26385115.0
44001,100.0,105.0
40001,506.0,543.0
10001,192.0,216.0
27001,1577.0,1662.0
48001,573.0,3694.0
31001,66.0,72.0
09001,69.0,82.0
26001,187.0,218.0
20001,112.0,148.0
19001,129.0,138.0
30001,3610.0,4515.0
50001,152.0,160.0
48002,1409.0,4855.0
30002,3669.0,6784.0
34001,33.0,33.0
31002,220.0,279.0
31003,73.0,78.0
31004,18.0,20.0
15001,2968.0,3167.0
42001,290.0,349.0
44002,146.0,158.0
25001,90.0,90.0
02001,455.0,462.0
13001,1016.0,1164.0
31005,207.0,222.0
10002,362.0,382.0
49002,70.0,70.0
16001,143.0,152.0
34003,147.0,159.0
22001,216.0,233.0
22002,61.0,75.0
04001,1021.0,1142.0
19002,222.0,234.0
31006,1260.0,1477.0
08001,3040.0,5418.0
04002,691.0,711.0
37001,282.0,285.0
28001,143.0,147.0
24001,236.0,243.0
10003,778.0,918.0
16002,189.0,194.0
06001,515.0,518.0
10004,587.0,599.0
10005,369.0,394.0
50002,189.0,203.0
06002,1949.0,2528.0
22003,113.0,121.0
47001,32.0,32.0
14001,1576.0,2088.0
05001,257.0,268.0
38001,4607.0,24010.0
46001,1204.0,1406.0
31007,83.0,95.0
19003,79.0,82.0
46002,662.0,831.0
04003,5461.0,13050.0
09003,191.0,193.0
40002,81.0,89.0
05002,2738.0,4009.0
42003,106.0,107.0
40003,267.0,285.0
03001,499.0,562.0
20002,95.0,229.0
35001,1839.0,3124.0
37002,184.0,188.0
25002,630.0,718.0
36020,1576.0,1782.0
50003,118.0,119.0
26002,527.0,836.0
03002,1950.0,2884.0
25003,1436.0,3028.0
42004,1212.0,2310.0
03003,553.0,660.0
18001,203.0,210.0
41001,1040.0,1156.0
50004,535.0,604.0
09006,155.0,161.0
47002,14.0,14.0
44003,25.0,26.0
44004,551.0,681.0
13002,1361.0,1612.0
22004,235.0,244.0
40004,562.0,678.0
09007,157.0,158.0
34004,1683.0,4469.0
47003,213.0,221.0
31008,120.0,123.0
14002,4098.0,7094.0
08002,157.0,163.0
44005,127.0,159.0
26003,558.0,672.0
30003,7036.0,23047.0
50005,252.0,276.0
35002,7124.0,14099.0
17001,433.0,514.0
46004,907.0,1400.0
38002,504.0,594.0
10006,976.0,1023.0
37003,171.0,179.0
37004,46.0,46.0
06003,755.0,782.0
20016,472.0,893.0
31009,452.0,474.0
46042,1551.0,2438.0
46043,113.0,125.0
08014,711.0,1352.0
43001,785.0,857.0
17002,262.0,269.0
03004,747.0,913.0
12002,192.0,258.0
22907,804.0,1427.0
50006,579.0,785.0
22006,193.0,1384.0
25038,789.0,1127.0
20003,158.0,329.0
28002,711.0,1636.0
26004,51.0,51.0
48911,141.0,197.0
45001,1011.0,1135.0
44006,365.0,377.0
50007,131.0,132.0
47004,1003.0,1120.0
50008,1752.0,3478.0
10903,406.0,423.0
07002,3609.0,5612.0
21001,655.0,675.0
38003,1272.0,1647.0
29001,1914.0,2423.0
37005,180.0,181.0
45002,1186.0,2079.0
28003,250.0,393.0
18002,429.0,540.0
37006,173.0,174.0
13003,510.0,557.0
19004,95.0,104.0
28004,3116.0,4101.0
25004,299.0,420.0
06004,939.0,960.0
41002,964.0,1186.0
46005,2229.0,15628.0
34005,751.0,1084.0
37007,542.0,565.0
50009,194.0,204.0
16003,185.0,200.0
19005,141.0,144.0
07001,2244.0,3079.0
25005,287.0,299.0
02002,495.0,528.0
44007,204.0,212.0
34006,83.0,89.0
37008,1464.0,3645.0
37009,173.0,175.0
02003,15346.0,89834.0
25006,214.0,240.0
46006,1346.0,3468.0
41003,1085.0,1264.0
46007,1756.0,7718.0
10007,839.0,879.0
13004,874.0,1055.0
16004,282.0,301.0
46008,1246.0,2092.0
46009,815.0,1958.0
46010,1702.0,1860.0
22007,488.0,604.0
16005,380.0,396.0
19006,1391.0,1523.0
44008,1129.0,1525.0
