Codigo Municipio,Nº viviendas
00000,25208623.0
44001,105.0
40001,543.0
10001,216.0
27001,1655.0
48001,2978.0
31001,72.0
09001,82.0
26001,216.0
20001,148.0
19001,138.0
30001,4338.0
50001,160.0
48002,4438.0
30002,6618.0
34001,33.0
31002,279.0
31003,76.0
31004,19.0
15001,3085.0
42001,349.0
44002,158.0
25001,90.0
02001,462.0
13001,1163.0
31005,222.0
10002,382.0
49002,70.0
16001,152.0
34003,159.0
22001,231.0
22002,71.0
04001,1143.0
19002,234.0
31006,1473.0
08001,5222.0
04002,711.0
37001,252.0
28001,147.0
24001,241.0
10003,917.0
16002,193.0
06001,515.0
10004,599.0
10005,394.0
50002,203.0
06002,2508.0
22003,121.0
47001,32.0
14001,2000.0
05001,268.0
38001,23713.0
46001,1405.0
31007,95.0
19003,82.0
46002,830.0
04003,11835.0
09003,193.0
40002,89.0
05002,4009.0
42003,103.0
40003,285.0
03001,562.0
20002,228.0
35001,3123.0
37002,187.0
25002,713.0
36020,1724.0
50003,119.0
26002,835.0
03002,2801.0
25003,2829.0
42004,2075.0
03003,656.0
18001,210.0
41001,1116.0
50004,603.0
09006,161.0
47002,14.0
44003,25.0
44004,679.0
13002,1601.0
22004,241.0
40004,677.0
09007,85.0
34004,4248.0
47003,221.0
31008,123.0
14002,6725.0
08002,163.0
44005,159.0
26003,667.0
30003,21384.0
50005,272.0
35002,13975.0
17001,514.0
46004,1366.0
38002,591.0
10006,1023.0
37003,179.0
37004,46.0
06003,782.0
20016,888.0
31009,468.0
46042,2162.0
46043,125.0
08014,1338.0
43001,854.0
17002,269.0
03004,898.0
12002,255.0
22907,1190.0
50006,783.0
22006,1384.0
25038,1069.0
20003,327.0
28002,1564.0
26004,51.0
48911,197.0
45001,1133.0
44006,375.0
50007,132.0
47004,1120.0
50008,3390.0
10903,423.0
07002,5408.0
21001,675.0
38003,1645.0
29001,2371.0
37005,181.0
45002,2076.0
28003,393.0
18002,540.0
37006,174.0
13003,551.0
19004,100.0
28004,4087.0
25004,419.0
06004,960.0
41002,1148.0
46005,14642.0
34005,1056.0
37007,563.0
50009,204.0
16003,199.0
19005,145.0
07001,3035.0
25005,299.0
02002,528.0
44007,212.0
34006,89.0
37008,3298.0
37009,175.0
02003,83229.0
25006,240.0
46006,3279.0
41003,1264.0
46007,7309.0
10007,869.0
13004,1051.0
16004,301.0
46008,2092.0
46009,1885.0
46010,1865.0
22007,599.0
16005,394.0
19006,1521.0
44008,1512.0
22008,143.0
04004,767.0
23001,1022.0
17003,99.0
19007,465.0
44009,802.0
45003,364.0
02004,570.0
25007,907.0
03005,6504.0
22009,560.0
26005,2443.0
16006,260.0
19008,79.0
44010,373.0
16007,1013.0
37010,1003.0
37011,200.0
46011,5853.0
26006,1563.0
50010,82.0
22011,65.0
22012,54.0
22013,164.0
25008,1082.0
50011,112.0
25009,490.0
09009,138.0
43002,1770.0
43003,253.0
20004,164.0
12003,1093.0
04005,414.0
18003,8780.0
18004,613.0
17004,464.0
46012,1029.0
46013,12974.0
02005,635.0
50012,107.0
05005,174.0
04006,6510.0
30004,749.0
06005,1242.0
46014,2019.0
18005,357.0
18006,3576.0
18007,748.0
06006,3191.0
45004,613.0
02006,364.0
44011,221.0
50013,177.0
41004,32554.0
22014,226.0
28005,78917.0
44012,1795.0
16008,371.0
11001,3488.0
50014,190.0
12004,10735.0
02007,1211.0
22015,222.0
41005,5049.0
11002,2363.0
23002,12062.0
03006,1156.0
22016,581.0
26007,683.0
43004,7363.0
25010,136.0
10008,1244.0
30005,18812.0
46016,734.0
16009,219.0
49003,832.0
44013,8881.0
45005,326.0
14003,898.0
02008,1125.0
25011,4329.0
46015,5188.0
29002,1519.0
23003,6013.0
45006,1542.0
13005,15085.0
16010,200.0
47005,480.0
30902,21463.0
13006,540.0
28006,41180.0
19009,451.0
03007,197.0
09010,61.0
16011,144.0
04007,730.0
13007,1013.0
22017,653.0
19010,60.0
45007,610.0
19011,556.0
41006,1553.0
03008,238.0
25012,1553.0
10009,329.0
42006,141.0
37012,125.0
40005,82.0
06007,1151.0
50015,212.0
16012,176.0
06008,404.0
04008,373.0
12005,6291.0
28007,70857.0
44014,2163.0
19013,265.0
43005,2479.0
03009,34866.0
22018,303.0
42007,282.0
42008,207.0
49004,166.0
13008,445.0
46018,952.0
07003,11637.0
46020,2638.0
04009,238.0
12006,273.0
46019,5476.0
10010,1814.0
46021,14692.0
47006,132.0
35020,3701.0
10012,584.0
28008,1989.0
37015,303.0
10013,498.0
13009,1558.0
45008,257.0
40012,326.0
43904,1893.0
10011,674.0
37013,145.0
37014,1000.0
42009,86.0
40006,83.0
37016,463.0
40007,185.0
40008,109.0
42010,34.0
42011,29.0
42012,73.0
47007,2908.0
45009,914.0
26008,1376.0
37017,277.0
19015,197.0
40009,176.0
37018,111.0
10014,2260.0
45010,556.0
05007,153.0
10015,744.0
40010,168.0
23004,507.0
37019,128.0
37020,456.0
05008,153.0
37021,93.0
37022,216.0
40013,94.0
37023,982.0
37024,122.0
40014,145.0
10016,223.0
37025,191.0
50016,90.0
42013,38.0
37026,241.0
40015,123.0
05010,249.0
42014,114.0
18010,743.0
40016,66.0
43006,529.0
30006,735.0
20005,832.0
01001,1249.0
43007,637.0
08003,3872.0
42015,63.0
22019,103.0
26009,627.0
26010,92.0
18011,3037.0
46022,9727.0
03010,355.0
50017,1243.0
44016,540.0
50018,694.0
22020,120.0
43008,234.0
46024,397.0
46025,2058.0
49005,165.0
29003,752.0
29004,295.0
26011,5491.0
46026,1063.0
25013,1439.0
46027,663.0
03011,12406.0
46023,246.0
25014,196.0
12007,539.0
43009,1151.0
50019,124.0
27002,1135.0
09011,459.0
39001,1962.0
09907,981.0
09012,151.0
41007,6485.0
24002,279.0
07004,2827.0
41008,766.0
11003,732.0
19016,87.0
46028,504.0
18012,1855.0
16013,77.0
29005,5367.0
29006,624.0
11004,54078.0
46029,14088.0
25015,285.0
28009,7951.0
46030,801.0
12008,513.0
46031,7591.0
11005,3360.0
49006,130.0
19017,102.0
03012,2528.0
25016,1464.0
30007,4297.0
03013,970.0
04010,417.0
04011,2008.0
50020,843.0
18013,3299.0
30008,13915.0
13010,900.0
29007,14437.0
29008,10824.0
18014,4638.0
19018,304.0
10017,1469.0
44017,649.0
16014,659.0
03014,186516.0
04012,164.0
18015,349.0
24003,761.0
25017,301.0
43010,233.0
19019,54.0
10018,1588.0
42016,40.0
21002,8728.0
06009,173.0
20006,160.0
33001,1589.0
32001,6068.0
44021,219.0
33002,8536.0
31011,496.0
31012,715.0
44022,740.0
44023,61.0
25019,3100.0
29009,1040.0
13011,4270.0
41009,1151.0
13012,451.0
19020,68.0
13013,4680.0
42017,145.0
42018,309.0
02009,11752.0
24004,601.0
10019,701.0
49007,374.0
16015,450.0
29010,1052.0
42019,678.0
26012,47.0
46032,3488.0
25020,328.0
42020,3938.0
12009,15194.0
42021,193.0
12010,337.0
13014,423.0
14004,1251.0
18016,336.0
49008,475.0
25021,1895.0
42022,366.0
12011,5284.0
47008,29.0
37027,262.0
37028,200.0
06010,812.0
45011,488.0
06011,16418.0
21003,619.0
16016,278.0
41010,2418.0
04013,99674.0
46033,175.0
50021,35.0
04014,163.0
13015,4041.0
16017,436.0
14005,3754.0
29011,1899.0
19021,959.0
44018,67.0
10020,1155.0
46034,1227.0
50022,377.0
50023,177.0
50024,542.0
45012,747.0
19022,802.0
16018,347.0
21004,1533.0
21005,14195.0
03015,9739.0
45013,2423.0
43011,667.0
03016,156.0
22021,1477.0
50025,3352.0
22022,455.0
22023,282.0
18017,25822.0
13016,623.0
46035,4428.0
44019,107.0
19023,174.0
48912,1443.0
29012,6144.0
25022,161.0
21006,2341.0
19024,4500.0
29013,1435.0
17006,3608.0
29014,287.0
42023,121.0
50026,382.0
28010,7249.0
08004,250.0
44020,36.0
02010,1696.0
25023,2600.0
46036,1066.0
18904,1006.0
03017,238.0
46037,851.0
12901,2166.0
22024,236.0
18018,528.0
04015,124.0
25024,718.0
09013,43.0
43012,4585.0
16019,417.0
03018,16430.0
22025,701.0
09014,471.0
31010,3563.0
12012,2869.0
20906,67.0
20007,173.0
19027,414.0
46017,22047.0
05012,198.0
34009,38.0
50027,292.0
28011,736.0
17007,1327.0
15002,16138.0
31013,466.0
43013,7974.0
08005,3386.0
09016,81.0
20008,433.0
33003,601.0
32002,1809.0
48003,8143.0
48004,178.0
43906,3631.0
43014,10879.0
34010,577.0
39002,3151.0
01002,4435.0
34011,387.0
47009,107.0
44024,60.0
40017,104.0
37029,195.0
28012,603.0
13017,435.0
31014,279.0
49009,320.0
46038,687.0
20009,6583.0
44025,4013.0
31015,1442.0
07005,9324.0
23005,18340.0
50028,137.0
17008,2524.0
25027,768.0
19031,91.0
26013,881.0
22027,337.0
26014,623.0
19032,435.0
09017,176.0
39003,169.0
50029,620.0
46039,1597.0
20010,793.0
19033,154.0
19034,70.0
22028,524.0
31016,4539.0
04016,1638.0
27003,1514.0
46040,889.0
29015,17883.0
35003,7474.0
24005,329.0
34012,420.0
22029,59.0
20011,1033.0
31017,287.0
01049,209.0
40018,102.0
50030,229.0
14006,887.0
31018,331.0
45014,2464.0
37030,60.0
31019,1486.0
37031,311.0
21007,4809.0
38004,2707.0
22032,173.0
41011,8206.0
40019,109.0
31020,299.0
48005,72.0
31025,533.0
20012,85.0
01003,681.0
31021,32.0
42024,85.0
09018,18813.0
50031,371.0
50032,466.0
09019,215.0
16020,73.0
15003,1110.0
31023,2920.0
28013,24792.0
31024,165.0
31022,343.0
48006,180.0
19036,371.0
12013,282.0
37032,528.0
31026,135.0
46041,737.0
09020,448.0
09021,120.0
09022,152.0
19037,222.0
25029,1339.0
19038,152.0
31027,513.0
36001,2225.0
43016,2461.0
04017,2438.0
43015,119.0
17009,3239.0
16905,1293.0
31028,116.0
37033,85.0
49010,269.0
30009,8804.0
29016,444.0
29017,4206.0
45015,843.0
37034,63.0
34015,83.0
40020,513.0
09023,867.0
42025,2451.0
11006,15185.0
49011,159.0
16022,205.0
44026,426.0
31029,843.0
29018,1409.0
50033,100.0
24006,601.0
48093,695.0
31030,106.0
22035,335.0
05013,1193.0
13903,454.0
29019,911.0
39004,973.0
13018,685.0
05014,6043.0
18020,1154.0
42026,88.0
09024,165.0
44027,175.0
08006,8475.0
08007,4332.0
26015,267.0
26016,49.0
15004,5178.0
12014,312.0
31031,233.0
20013,3130.0
05015,134.0
40021,44.0
05016,4806.0
42027,139.0
13019,4024.0
13020,3359.0
28014,20458.0
24007,624.0
49012,114.0
22036,54.0
19039,131.0
17010,253.0
12015,199.0
08008,162.0
44028,152.0
43017,132.0
08009,5411.0
45016,2818.0
39005,1275.0
31032,1223.0
22037,174.0
16024,181.0
49013,227.0
31033,25.0
07901,511.0
31034,42.0
38005,5915.0
09025,398.0
44029,701.0
50034,1014.0
23006,2977.0
23007,2026.0
09026,518.0
19040,133.0
31035,95.0
17011,754.0
37035,315.0
18021,10493.0
01006,153.0
40022,326.0
04018,257.0
19041,230.0
26017,529.0
26018,7051.0
43018,470.0
32003,758.0
39006,2776.0
21008,1866.0
38006,44532.0
49014,100.0
23008,1165.0
49015,268.0
01037,609.0
16025,59.0
48009,470.0
20055,9981.0
48914,202.0
09027,63.0
01008,483.0
35004,23216.0
39007,681.0
25031,55.0
29020,2110.0
48010,308.0
48011,5257.0
13021,478.0
31036,703.0
47010,9057.0
