Codigo Municipio,Edad < 16,16 =< Edad =<64,Edad >= 65
44001,*,40,25
40001,105,555,215
10001,50,195,80
27001,145,1515,1105
48001,1240,5080,1010
31001,5,70,25
09001,*,20,10
26001,30,230,65
20001,70,200,55
19001,*,40,35
30001,940,3995,1495
50001,*,65,55
48002,1505,6705,1465
30002,2185,8680,2255
34001,*,30,*
31002,100,295,155
31003,5,90,40
31004,*,25,10
15001,655,3525,1520
42001,25,220,115
44002,*,45,15
25001,15,105,50
02001,75,545,240
13001,170,950,470
31005,40,260,90
10002,50,260,135
49002,*,45,30
16001,*,30,45
34003,10,120,55
22001,20,170,80
22002,10,90,35
04001,170,930,360
19002,*,50,50
31006,415,1640,595
08001,2335,8115,1350
04002,150,870,335
37001,10,130,95
28001,*,45,20
24001,20,150,90
10003,65,375,220
16002,25,155,70
06001,95,505,210
10004,100,540,200
10005,85,415,140
50002,10,150,80
06002,970,3665,1025
22003,20,105,55
47001,5,35,15
14001,605,2965,845
05001,35,150,75
38001,6790,32100,3975
46001,190,745,270
31007,20,105,60
19003,*,45,*
46002,255,860,315
04003,4460,16795,3115
09003,25,130,85
40002,*,30,15
05002,445,1745,495
42003,5,30,40
40003,*,75,85
03001,50,415,215
20002,100,295,60
35001,795,3855,1080
37002,*,75,55
25002,45,345,140
36020,135,1640,995
50003,20,100,45
26002,160,755,235
03002,675,3205,875
25003,995,3585,1020
42004,485,1860,625
03003,70,370,135
18001,40,200,95
41001,350,1375,415
50004,65,530,225
09006,*,30,30
47002,*,15,15
44003,*,10,10
44004,90,380,175
13002,200,1030,620
22004,5,80,50
40004,80,385,210
09007,*,35,25
34004,870,4760,1380
47003,25,175,100
31008,*,50,45
14002,2265,9050,2350
08002,*,150,*
44005,15,35,25
26003,55,295,195
30003,6045,23395,4695
50005,*,150,105
35002,5675,21295,2575
17001,130,525,185
46004,405,1670,385
38002,115,670,360
10006,160,860,415
37003,*,60,75
37004,*,20,5
06003,110,570,310
20016,360,1340,320
31009,100,560,210
46042,905,3050,740
46043,25,125,35
08014,350,1610,440
43001,130,590,175
17002,175,490,110
03004,175,665,205
12002,*,90,40
22907,330,1450,350
50006,155,720,300
22006,40,260,75
25038,330,1520,370
20003,155,515,95
28002,825,2950,310
26004,*,65,15
48911,70,295,90
45001,330,1580,395
44006,20,165,145
50007,*,25,35
47004,115,920,430
