Codigo Municipio,Soltero/a,Casado/a,Separado/a,Divorciado/a,Viudo/a
44001,30,35,*,*,*
40001,390,400,*,*,80
10001,140,170,*,*,10
27001,965,1355,*,60,370
48001,3165,3685,*,95,345
31001,35,45,*,*,10
09001,15,*,*,*,*
26001,150,140,*,10,30
20001,130,155,*,*,25
19001,25,35,*,*,10
30001,2815,2880,70,175,490
50001,35,75,*,*,15
48002,3945,4580,175,325,655
30002,5480,6140,370,285,840
34001,15,20,*,*,*
31002,195,300,*,*,45
31003,65,60,*,*,10
31004,25,5,*,*,*
15001,2095,3005,50,100,450
42001,155,135,*,*,35
44002,15,40,*,*,*
25001,70,70,*,*,25
02001,295,485,*,*,60
13001,615,810,*,*,140
31005,155,200,*,10,20
10002,165,200,*,25,50
49002,30,40,*,*,5
16001,20,35,*,*,15
34003,65,100,*,*,20
22001,115,125,*,*,25
22002,60,55,*,*,15
04001,535,760,*,25,100
19002,40,45,*,*,15
31006,980,1410,35,55,165
08001,5075,5615,230,420,460
04002,530,695,*,40,80
37001,80,120,*,*,30
28001,30,30,*,*,10
24001,100,125,*,*,25
10003,190,400,*,*,55
16002,95,135,*,*,15
06001,295,425,*,*,75
10004,330,420,*,*,75
10005,235,330,*,*,55
50002,85,125,*,*,25
06002,2285,2880,*,65,410
22003,65,80,*,*,20
47001,15,40,*,*,*
14001,1790,2335,*,*,285
05001,125,105,*,*,25
38001,20980,17305,655,2335,1585
46001,505,580,*,*,100
31007,95,75,*,*,15
19003,*,20,*,*,*
46002,520,770,20,25,95
04003,11550,10755,200,480,1385
09003,100,105,*,*,25
40002,25,15,*,*,10
05002,1175,1235,*,90,150
42003,20,45,*,*,5
40003,65,70,*,*,25
03001,150,435,*,15,70
20002,235,195,*,*,15
35001,2870,2150,165,150,400
37002,50,75,*,*,5
25002,220,245,*,*,35
36020,895,1505,*,*,295
50003,40,100,*,10,15
26002,500,555,*,40,50
03002,2020,2205,70,100,350
25003,2245,2840,85,50,375
42004,1285,1415,*,45,200
03003,245,265,10,*,50
18001,155,135,*,10,35
41001,820,1150,*,*,140
50004,290,435,*,*,80
09006,25,25,*,*,15
47002,15,10,*,*,*
44003,*,20,*,*,*
44004,255,325,*,*,60
13002,655,950,*,*,220
22004,55,65,*,*,10
40004,255,365,*,*,55
09007,25,25,*,*,*
34004,3100,3255,60,110,490
47003,130,140,*,*,25
31008,35,45,*,*,10
14002,5345,7350,90,70,805
08002,155,*,*,*,*
44005,30,40,*,*,*
26003,210,255,*,*,65
30003,14670,15795,700,1240,1730
50005,70,170,*,*,20
35002,15265,11415,750,990,1120
17001,320,400,*,30,70
46004,910,1400,*,*,115
38002,475,510,*,*,125
10006,485,775,*,*,145
37003,45,70,*,*,20
37004,10,25,*,*,*
06003,425,465,*,*,100
20016,1005,840,*,55,115
31009,385,415,*,*,60
46042,1745,2580,25,90,250
46043,70,100,*,*,15
08014,940,1165,40,100,155
43001,365,435,15,25,50
17002,360,355,*,35,25
03004,395,535,*,50,45
12002,60,60,*,*,20
22907,935,1020,*,45,85
50006,440,565,*,40,120
22006,185,155,*,*,*
25038,865,1090,*,75,170
20003,335,375,*,*,40
28002,1955,1755,*,250,105
26004,30,45,*,*,*
48911,210,210,*,*,25
45001,905,1245,30,*,110
44006,95,185,*,*,50
50007,10,35,*,*,*
47004,530,755,*,*,155
50008,2815,3485,100,185,330
10903,345,475,*,*,85
07002,4190,4370,130,245,480
21001,410,275,*,35,60
38003,1090,715,*,*,125
29001,2115,2795,*,180,315
37005,20,55,*,*,25
45002,1450,1780,30,55,195
28003,85,125,*,10,15
18002,275,365,*,*,40
37006,50,70,*,*,30
13003,165,270,*,*,75
19004,15,40,*,*,10
28004,3495,3870,160,345,335
25004,255,420,*,25,40
06004,905,835,25,45,145
41002,710,935,*,*,175
46005,12710,14005,560,1045,1820
34005,405,455,20,*,135
37007,195,280,*,*,50
50009,70,65,*,*,20
16003,80,80,*,*,10
19005,40,60,*,*,5
07001,2270,2240,*,395,330
25005,135,205,*,*,20
02002,205,305,*,15,55
44007,70,125,*,*,30
34006,30,45,*,*,10
37008,2235,2505,*,90,410
37009,60,150,*,*,35
02003,79255,76720,2205,4325,8525
25006,145,220,15,10,40
46006,2490,3070,*,130,375
41003,1335,1385,*,125,115
46007,6665,7630,215,475,710
10007,270,405,*,*,80
13004,510,710,*,*,180
16004,90,205,*,*,35
46008,1190,1925,45,110,225
46009,1535,2010,60,90,215
46010,395,620,30,35,60
22007,465,660,*,20,85
16005,105,155,*,*,25
19006,440,445,30,50,95
44008,705,1090,*,*,225
22008,60,125,*,*,25
04004,245,425,*,*,70
23001,485,595,*,*,115
17003,45,75,*,*,15
19007,145,260,*,*,45
44009,405,520,*,15,65
45003,325,360,*,*,45
02004,285,415,*,*,60
25007,845,955,50,110,115
03005,4910,6010,75,185,505
22009,260,390,*,40,100
26005,1465,1315,35,150,215
16006,55,65,*,*,25
19008,25,10,*,*,*
44010,110,160,*,*,15
16007,680,975,*,*,165
37010,530,570,*,30,60
37011,40,90,*,*,15
46011,4705,5325,100,290,705
26006,1190,1295,20,45,135
50010,55,25,*,*,15
22011,60,60,*,*,*
22012,50,40,10,*,5
22013,135,170,*,*,35
25008,600,855,*,40,160
50011,70,70,*,*,10
25009,300,460,*,25,70
09009,110,90,*,*,10
43002,900,1090,45,125,200
43003,195,215,*,15,10
20004,145,145,*,10,10
12003,505,710,*,*,125
04005,195,395,*,*,75
18003,7545,8390,185,485,790
18004,335,480,*,*,65
17004,335,315,20,40,*
46012,615,470,30,35,75
46013,9465,10970,495,830,1095
02005,295,430,*,10,85
50012,45,60,*,*,10
05005,75,130,*,*,10
04006,4330,5500,340,125,565
30004,670,640,*,*,90
06005,895,925,*,40,135
46014,1490,2010,50,95,250
18005,205,170,*,*,45
18006,2840,3175,*,140,400
18007,360,495,*,*,60
06006,2370,2780,45,45,340
45004,335,340,*,20,55
02006,295,350,*,*,80
44011,25,40,*,*,*
50013,95,165,*,10,15
41004,32905,33840,880,2080,3325
22014,100,125,*,*,55
28005,88030,93380,2930,6115,8485
44012,255,195,*,*,40
16008,30,65,*,*,10
11001,2650,2245,75,120,430
50014,80,85,*,*,20
12004,3280,3610,85,325,510
02007,460,715,*,25,115
22015,125,205,10,*,30
41005,5105,5530,120,120,580
11002,2480,2350,*,45,375
23002,8840,11585,85,485,1650
03006,320,805,*,80,120
22016,210,395,*,25,100
26007,265,330,*,30,115
43004,3690,5440,240,380,605
25010,90,110,*,*,35
10008,645,705,30,30,150
30005,18770,19100,470,1070,1925
46016,550,695,*,15,105
16009,35,35,*,*,10
49003,465,545,*,*,80
44013,6820,8040,190,255,980
45005,135,145,*,*,30
14003,575,715,40,35,100
02008,675,730,*,45,110
25011,3445,4375,105,280,410
46015,4120,4425,140,225,555
29002,820,1385,*,245,180
23003,3970,5850,160,190,895
45006,790,920,35,65,200
13005,13500,15025,445,730,1810
16010,55,110,*,*,20
47005,365,270,*,20,50
30902,6600,7810,325,405,485
13006,270,360,*,*,65
28006,50700,50115,1295,3375,4485
19009,110,165,*,*,45
03007,75,125,*,10,10
09010,15,*,*,*,10
16011,*,30,*,*,10
04007,345,455,*,30,75
13007,585,920,*,*,70
22017,460,575,*,*,95
19010,10,*,*,*,*
45007,340,470,*,*,75
19011,185,150,*,10,30
41006,1470,1635,35,60,210
03008,65,100,*,*,25
25012,1285,1475,50,120,140
10009,80,135,*,*,40
42006,105,75,*,*,*
37012,60,85,*,*,15
40005,10,20,*,*,*
06007,785,865,*,*,195
50015,35,40,*,*,15
16012,45,65,*,*,20
06008,330,310,*,*,95
04008,250,320,*,*,45
12005,4025,5735,120,210,605
28007,73020,77780,2375,5255,8175
44014,1435,1810,*,40,170
19013,65,70,*,*,10
43005,2335,2225,70,115,345
03009,24040,28650,960,2125,4635
22018,155,210,*,*,50
42007,55,75,*,*,20
42008,20,50,*,*,*
49004,35,80,*,*,30
13008,235,260,*,*,50
46018,280,400,*,*,70
07003,8890,7680,480,1090,770
46020,2015,2685,*,125,335
04009,65,60,*,*,20
12006,100,90,*,10,25
46019,4715,5570,150,355,610
10010,1090,1205,40,65,300
46021,12515,15050,410,1030,1520
47006,90,110,*,10,25
35020,4000,3350,160,445,560
10012,230,355,20,*,75
28008,1230,960,60,115,180
37015,115,170,*,10,45
10013,115,185,*,*,30
13009,680,1000,*,*,200
45008,75,100,*,*,25
40012,135,180,*,*,25
43904,1860,2195,30,60,300
10011,305,325,*,*,55
37013,55,70,*,*,10
37014,515,700,*,30,95
42009,35,50,*,*,*
40006,15,10,*,*,*
37016,225,370,*,35,30
40007,35,45,*,*,10
40008,40,40,*,*,*
42010,15,*,*,*,*
42011,15,10,*,*,*
42012,*,25,*,*,*
47007,2025,2315,*,45,125
45009,215,330,*,15,85
26008,1080,1470,*,50,185
37017,85,180,*,*,25
19015,30,55,*,*,10
40009,30,15,*,*,*
37018,40,70,*,*,15
10014,840,1130,*,30,185
45010,130,265,*,*,95
05007,50,70,*,*,15
10015,255,400,*,20,65
40010,50,75,*,*,20
23004,220,195,*,75,55
37019,65,80,*,*,20
37020,200,280,*,*,40
05008,90,125,*,*,35
37021,35,45,*,*,10
37022,95,190,*,*,30
40013,20,40,*,*,*
37023,685,635,30,60,65
37024,40,45,*,*,15
40014,*,40,*,*,*
10016,175,160,*,*,30
37025,105,165,*,*,20
50016,15,35,*,*,*
42013,30,20,*,*,*
37026,90,95,*,*,30
40015,*,15,*,*,*
05010,75,105,*,*,20
42014,40,30,*,*,20
18010,250,370,*,*,30
40016,25,20,*,*,20
43006,325,505,*,30,90
30006,390,500,*,25,90
20005,850,790,*,25,85
01001,1250,1410,30,90,75
43007,410,410,*,25,55
08003,3910,4535,110,345,385
42015,*,25,*,*,*
22019,85,110,*,*,15
26009,180,300,*,20,35
26010,45,65,*,*,5
18011,2540,2440,65,180,295
46022,8965,9465,300,785,1185
03010,175,210,*,*,30
50017,930,1130,25,30,85
44016,185,250,*,10,80
50018,745,640,55,20,115
22020,60,60,*,*,15
43008,145,190,*,20,40
46024,235,235,15,35,40
46025,1280,1615,*,85,215
49005,60,70,*,*,35
29003,505,650,*,*,125
29004,205,210,*,30,55
26011,3740,5090,40,315,615
46026,595,815,*,*,90
25013,1320,1445,60,30,195
46027,500,675,25,25,80
03011,8170,8770,420,1230,1140
46023,165,220,*,*,30
25014,115,185,*,*,30
12007,325,455,*,35,70
43009,780,790,*,95,100
50019,10,55,*,*,10
27002,735,1035,75,*,170
09011,30,45,*,*,*
39001,915,1270,25,55,220
09907,925,935,*,35,20
09012,40,65,*,*,*
41007,7135,7360,345,200,690
24002,130,125,*,*,35
07004,2250,2445,165,115,295
41008,530,630,30,20,100
11003,610,750,25,*,95
19016,30,30,*,*,10
46028,195,280,*,20,50
18012,1075,1540,*,*,380
16013,*,5,*,*,*
29005,2615,3010,60,150,395
29006,315,445,*,*,85
11004,51955,54605,1425,3265,6160
46029,11255,13885,315,735,1950
25015,135,250,*,*,40
28009,9635,9350,245,515,545
46030,370,550,*,*,90
12008,95,150,*,15,35
46031,5325,6915,195,315,860
11005,2550,2530,50,155,395
49006,55,105,*,*,15
19017,35,50,*,*,15
03012,840,2060,*,120,200
25016,1225,1565,25,80,200
30007,4525,4115,190,125,400
03013,540,780,*,55,110
04010,285,295,*,25,70
04011,1505,1940,*,65,250
50020,420,630,*,*,85
18013,2670,2945,*,85,460
30008,9360,9020,355,720,1065
13010,445,540,15,15,85
29007,16350,17730,560,1140,1070
29008,9980,10715,200,905,1340
18014,3470,3635,100,145,235
19018,55,110,*,*,35
10017,285,555,*,*,100
44017,155,165,*,*,30
16014,270,405,*,*,70
03014,144705,141715,6170,14980,20535
04012,100,140,*,*,25
18015,200,250,*,*,40
24003,240,400,*,*,100
25017,100,160,*,*,45
43010,120,240,*,15,15
19019,*,15,*,*,*
10018,810,865,*,35,230
42016,15,10,*,*,*
21002,8915,9275,185,505,595
06009,85,145,*,*,15
20006,200,140,*,10,15
33001,715,985,*,*,200
32001,2075,3135,120,90,515
44021,50,55,*,*,15
33002,4200,6035,200,290,1385
31011,360,425,*,*,50
31012,370,555,*,*,90
44022,235,375,*,*,55
44023,10,10,*,*,*
25019,2745,2980,120,205,345
29009,860,915,*,35,70
13011,2215,2815,120,160,575
41009,600,755,40,25,100
13012,200,240,*,*,60
19020,30,55,*,*,5
13013,3740,4690,80,240,375
42017,90,115,*,*,*
42018,70,100,*,*,15
02009,10740,11930,280,705,1580
24004,235,290,*,15,65
10019,660,740,*,35,100
49007,145,210,*,*,40
16015,195,250,*,*,60
29010,895,1080,*,30,135
42019,275,325,*,*,40
26012,*,10,*,*,*
46032,3005,3540,105,220,430
25020,120,165,*,10,60
42020,2595,2580,55,170,415
12009,10770,12350,415,965,955
42021,30,55,*,*,15
12010,100,160,*,10,30
13014,240,345,*,*,50
14004,975,1305,*,*,200
18016,140,190,15,*,55
49008,175,310,*,*,70
25021,1395,1710,65,85,365
42022,60,170,*,*,25
12011,2535,2720,145,165,500
47008,15,15,*,*,*
37027,125,125,20,15,15
37028,45,100,*,*,20
06010,510,615,*,*,135
45011,130,180,*,*,40
06011,15000,16345,320,820,1665
21003,390,400,*,*,50
16016,65,185,*,*,30
41010,2670,2710,*,160,185
04013,88065,81910,2820,5150,11020
46033,130,155,*,*,25
50021,15,20,*,*,5
04014,70,80,*,*,30
13015,2360,3690,*,45,540
16017,155,255,*,*,25
14005,3300,3875,195,155,445
29011,1805,1920,80,25,250
19021,595,710,*,45,105
44018,*,*,*,*,*
10020,680,1115,*,*,145
46034,895,1185,*,125,145
50022,255,280,*,*,65
50023,100,135,*,*,30
50024,245,430,*,15,80
45012,310,455,*,25,85
19022,285,340,*,10,50
16018,155,275,*,*,35
21004,770,820,25,*,195
21005,9650,10450,300,745,975
03015,8280,9360,250,375,905
45013,1040,1180,30,45,165
43011,590,660,20,50,55
03016,40,65,*,*,15
22021,1075,1170,*,50,185
50025,3170,3900,*,150,435
22022,235,360,*,*,55
22023,205,275,*,30,45
18017,10910,12800,575,1045,1530
13016,320,435,*,*,65
46035,3490,4200,70,245,420
44019,20,30,*,*,20
19023,50,85,*,10,*
48912,1120,1440,*,*,210
29012,5455,6070,90,630,1010
25022,40,70,*,10,15
21006,1680,1980,35,115,385
19024,5845,5445,195,450,165
29013,875,1105,*,45,180
17006,735,750,55,95,70
29014,125,110,*,*,30
42023,30,35,*,*,10
50026,235,285,*,*,40
28010,6500,5795,210,465,520
08004,130,135,*,*,25
44020,10,10,*,*,*
02010,975,1210,*,*,190
25023,2640,3025,50,190,215
46036,230,455,*,*,65
18904,375,650,*,*,90
03017,205,240,*,25,45
46037,605,730,30,30,120
12901,1900,2045,80,155,250
22024,130,105,*,*,30
18018,295,325,*,15,95
04015,35,85,*,20,10
25024,185,190,*,30,25
09013,15,35,*,*,*
43012,2140,2110,175,185,240
16019,65,125,*,*,40
03018,9210,10200,265,1245,1395
22025,635,635,*,40,150
09014,85,90,*,*,15
31010,3175,3620,100,130,570
12012,1450,2005,45,65,215
20906,75,65,*,10,10
20007,205,170,*,*,*
19027,85,100,*,*,20
46017,18715,20790,565,1525,2955
05012,65,90,*,*,20
34009,15,20,*,*,*
50027,95,170,*,*,15
28011,205,285,*,35,35
17007,795,1135,40,65,215
15002,13850,12500,480,1115,1160
31013,370,330,*,*,80
43013,2720,3770,100,295,455
08005,3660,3690,65,365,330
09016,50,35,*,*,10
20008,455,415,*,*,70
33003,275,435,*,*,80
32002,640,1415,*,85,150
48003,7520,9105,220,425,1035
48004,200,170,*,*,40
43906,1205,1635,135,130,230
43014,8790,9930,395,680,1450
34010,255,300,*,*,55
39002,1660,2215,55,110,220
01002,3975,5120,120,130,675
34011,185,195,*,*,45
47009,50,55,*,*,10
44024,*,15,*,*,*
40017,50,70,*,*,*
37029,80,130,*,*,20
28012,580,510,*,20,40
13017,130,160,*,*,15
31014,190,160,*,*,20
49009,180,260,*,*,40
46038,180,195,*,*,20
20009,6225,7180,135,250,765
44025,3305,3990,75,175,605
31015,1265,1435,40,*,130
07005,4655,4890,225,805,655
23005,15785,19410,290,625,2450
50028,60,65,*,*,*
17008,2230,2955,70,140,290
25027,510,690,*,60,95
19031,*,*,*,*,*
26013,180,220,*,15,35
22027,150,160,*,*,35
26014,195,245,*,*,40
19032,75,125,*,*,10
09017,50,70,*,*,10
39003,145,165,*,*,30
50029,285,390,30,20,70
46039,1010,1310,*,55,215
20010,790,905,*,30,110
19033,30,40,*,*,15
19034,10,15,*,*,*
22028,250,170,*,*,25
31016,4805,5230,115,300,380
04016,1415,1535,50,60,200
27003,825,1100,*,*,260
46040,450,740,*,35,175
29015,18380,19390,475,1080,2260
35003,5165,3980,90,660,490
24005,165,235,*,*,45
34012,185,155,*,*,40
22029,40,85,*,*,15
20011,970,1040,*,*,130
31017,255,170,*,*,10
01049,65,75,*,*,15
40018,25,65,*,*,15
50030,75,95,*,*,25
14006,620,800,*,*,125
31018,245,290,*,10,30
45014,2355,2650,35,105,230
37030,30,55,*,*,*
31019,1220,1170,*,55,140
37031,190,195,*,*,45
21007,3585,3465,45,155,490
38004,2420,2385,130,250,320
22032,60,45,*,*,20
41011,8350,9610,125,280,1050
40019,10,25,*,*,*
31020,325,190,*,*,50
48005,65,45,*,*,*
31025,405,455,*,20,50
20012,90,100,*,*,5
01003,725,680,*,*,95
31021,50,35,*,*,*
42024,20,55,*,*,20
09018,14115,15760,150,1040,1985
50031,75,100,*,*,25
50032,130,195,*,*,55
09019,80,75,*,*,15
16020,*,10,*,*,*
15003,720,1080,*,*,235
31023,3915,3620,*,215,170
28013,24490,25840,930,1310,2365
31024,75,35,*,*,*
31022,305,285,*,*,45
48006,160,165,*,*,35
19036,205,225,*,*,30
12013,60,105,*,*,25
37032,220,315,*,*,50
31026,70,70,*,*,30
46041,165,205,*,*,25
09020,140,185,*,*,40
09021,25,40,*,*,5
09022,30,50,*,*,10
19037,65,70,*,*,20
25029,805,1450,*,35,130
19038,10,20,*,*,15
31027,490,525,*,*,65
36001,1125,1480,*,80,400
43016,2570,2330,40,270,240
