Codigo Municipio,Sin Estudios,Con Estudios
44001,45,17
40001,225,530
10001,120,160
27001,1320,1285
48001,1410,4625
31001,30,42
09001,10,17
26001,125,152
20001,50,190
19001,45,27
30001,1880,3610
50001,45,57
48002,1830,6310
30002,4115,6815
34001,2,17
31002,80,360
31003,20,100
31004,2,17
15001,1920,3115
42001,125,162
44002,25,22
25001,75,42
02001,370,390
13001,740,665
31005,110,225
10002,205,167
49002,20,37
16001,45,17
34003,60,102
22001,65,180
22002,10,82
04001,560,695
19002,60,22
31006,795,1410
08001,1885,7575
04002,540,645
37001,100,112
28001,25,22
24001,80,135
10003,285,275
16002,80,125
06001,370,327
10004,335,385
10005,250,287
50002,105,112
06002,2095,2565
22003,50,100
47001,10,27
14001,1655,2115
05001,95,117
38001,6000,29775
46001,325,665
31007,50,110
19003,2,4
46002,305,860
04003,9135,10765
09003,115,77
40002,15,22
05002,615,1575
42003,30,27
40003,70,72
03001,205,405
20002,55,290
35001,1530,3350
37002,75,42
25002,80,355
36020,970,1630
50003,55,82
26002,265,700
03002,1340,2700
25003,1040,3540
42004,740,1700
03003,150,330
18001,140,132
41001,745,1035
50004,235,505
09006,20,27
47002,20,4
44003,2,4
44004,190,370
13002,1055,570
22004,50,52
40004,125,465
09007,30,27
34004,1470,4605
47003,90,165
31008,40,32
14002,4585,6810
08002,2,4
44005,25,22
26003,145,335
30003,10995,17095
50005,65,137
35002,6825,16925
17001,175,515
46004,570,1435
38002,420,605
10006,695,542
37003,55,57
37004,2,12
06003,360,520
20016,430,1175
31009,195,565
46042,1295,2460
46043,40,110
08014,435,1580
43001,180,570
17002,120,460
03004,90,780
12002,30,95
22907,400,1385
50006,285,710
22006,45,185
25038,710,1125
20003,200,410
28002,615,2585
26004,15,37
48911,75,305
45001,820,1145
44006,120,177
50007,35,17
47004,450,870
50008,1125,4570
10903,340,430
07002,2380,5480
21001,300,365
38003,445,802
29001,2105,2330
37005,65,17
45002,1215,1650
28003,60,155
18002,370,197
37006,90,52
13003,265,190
19004,40,27
28004,1535,4885
25004,150,480
06004,660,985
41002,630,940
46005,7970,16495
34005,360,565
37007,240,230
50009,65,62
16003,60,85
19005,55,42
07001,975,3230
25005,75,200
02002,295,190
44007,95,107
34006,15,45
37008,1060,3415
37009,110,102
02003,32750,108345
25006,75,280
46006,1580,3565
41003,750,1515
46007,3530,8775
10007,395,247
13004,590,685
16004,225,77
46008,960,1925
46009,805,2445
46010,215,715
22007,260,840
16005,125,135
19006,355,565
44008,690,1120
22008,90,100
04004,350,250
23001,595,460
17003,15,77
19007,165,215
44009,285,595
45003,305,325
02004,365,310
25007,495,1180
03005,3230,6105
22009,245,455
26005,880,1635
16006,50,75
19008,2,37
44010,85,140
16007,780,800
37010,390,605
37011,50,77
46011,2760,6325
26006,475,1695
50010,20,57
22011,30,55
22012,25,70
22013,75,220
25008,430,950
50011,30,87
25009,165,555
09009,40,125
43002,550,1385
43003,40,300
20004,65,195
12003,380,810
04005,360,250
18003,2995,10865
18004,355,430
17004,95,470
46012,245,735
46013,3325,15365
02005,350,327
50012,40,57
05005,70,105
04006,2900,5965
30004,545,635
06005,660,1045
46014,785,2390
18005,205,155
18006,2500,2830
18007,470,317
06006,2215,2555
45004,305,335
02006,360,230
44011,20,32
50013,60,162
41004,15480,42285
22014,100,175
28005,33750,132560
44012,115,305
16008,55,47
11001,1940,2575
50014,60,80
12004,2230,4485
02007,630,575
22015,120,220
41005,3630,5710
11002,2095,2305
23002,7650,11405
03006,290,835
22016,280,385
26007,230,370
43004,2310,6565
25010,60,155
10008,435,940
30005,9110,24005
46016,410,745
16009,45,17
49003,335,640
44013,2975,10220
45005,125,130
14003,450,805
02008,590,760
25011,1860,5250
46015,2075,5665
29002,515,1780
23003,4375,5080
45006,915,725
13005,7115,18805
16010,95,90
47005,230,340
30902,3615,8970
13006,270,340
28006,15935,74535
19009,165,87
03007,60,130
09010,10,12
16011,25,4
04007,390,400
13007,505,875
22017,375,560
19010,2,4
45007,330,445
19011,180,145
41006,1290,1470
03008,85,72
25012,590,2015
10009,140,67
42006,30,145
37012,80,52
40005,20,4
06007,840,760
50015,45,22
16012,85,27
06008,270,385
04008,200,335
12005,2450,6480
28007,30630,109010
44014,765,2130
19013,35,95
43005,1245,2960
03009,13435,37405
22018,145,200
42007,60,75
42008,25,27
49004,75,57
13008,310,187
46018,270,385
07003,3090,12745
46020,1270,3025
04009,45,82
12006,65,117
46019,3090,6320
10010,1145,1160
46021,7295,17610
47006,75,130
35020,3060,4140
10012,255,375
28008,690,1410
37015,160,142
10013,135,132
13009,860,780
45008,75,95
40012,80,225
43904,1140,2535
10011,285,315
37013,75,42
37014,580,645
42009,25,32
40006,10,4
37016,85,450
40007,30,37
40008,40,22
42010,2,12
42011,10,4
42012,15,4
47007,525,3095
45009,340,215
26008,790,1510
37017,95,165
19015,45,27
40009,20,4
37018,40,57
10014,960,970
45010,340,145
05007,75,42
10015,250,390
40010,60,67
23004,265,210
37019,55,77
37020,145,305
05008,95,130
37021,35,27
37022,120,175
40013,35,27
37023,185,980
37024,50,37
40014,35,17
10016,125,180
37025,70,185
50016,20,4
42013,2,37
37026,100,97
40015,15,4
05010,85,87
42014,40,27
18010,250,355
40016,30,22
43006,290,500
30006,295,555
20005,330,1085
01001,325,1835
43007,205,505
08003,950,6605
42015,20,4
22019,35,160
26009,190,275
26010,50,37
18011,1340,3145
46022,5285,11925
03010,95,255
50017,390,1350
44016,180,300
50018,430,890
22020,45,67
43008,110,212
46024,155,310
46025,540,2165
49005,60,80
29003,555,540
29004,165,285
26011,2845,5475
46026,335,945
25013,690,1810
46027,325,740
03011,3340,13425
46023,110,245
25014,85,215
12007,255,495
43009,345,1115
50019,45,22
27002,840,1015
09011,45,27
39001,685,1480
09907,140,1345
09012,40,47
41007,4535,8265
24002,125,130
07004,1005,3370
41008,515,580
11003,645,600
19016,30,27
46028,110,360
18012,1555,990
16013,10,12
29005,2130,2965
29006,365,340
11004,25745,68865
46029,6860,15910
25015,140,265
28009,2140,13775
46030,260,585
12008,75,182
46031,3545,7785
11005,2570,2135
49006,70,87
19017,45,42
03012,630,2210
25016,710,1820
30007,2845,4575
03013,540,710
04010,305,295
04011,990,2135
50020,380,595
18013,1890,3285
30008,6260,10485
13010,495,465
29007,6405,22490
29008,6410,12170
18014,1350,4740
19018,95,77
10017,435,440
44017,85,215
16014,300,355
03014,56590,218660
04012,60,140
18015,205,205
24003,315,375
25017,85,155
43010,90,250
19019,2,4
10018,905,850
42016,2,4
21002,1900,13220
06009,90,115
20006,70,200
33001,855,925
32001,1355,3815
44021,55,35
33002,3510,7470
31011,135,595
31012,290,580
44022,225,370
44023,10,4
25019,1300,3990
29009,880,705
13011,1815,3280
41009,625,665
13012,205,222
19020,5,22
13013,3600,3915
42017,55,120
42018,65,105
02009,6890,14165
24004,235,320
10019,415,905
49007,190,167
16015,180,275
29010,810,1055
42019,220,360
26012,2,12
46032,1510,4525
25020,125,207
42020,1525,3350
12009,5075,15650
42021,50,32
12010,85,180
13014,245,325
14004,995,1110
18016,170,170
49008,180,310
25021,1170,1915
42022,70,165
12011,1405,3630
47008,5,12
37027,65,195
37028,95,57
06010,585,530
45011,195,127
06011,9000,18900
21003,330,420
16016,120,140
41010,660,3745
04013,40530,114345
46033,80,185
50021,20,17
04014,90,62
13015,2250,3570
16017,185,195
14005,2350,4150
29011,1625,1895
19021,450,760
44018,2,4
10020,750,905
46034,600,1270
50022,150,395
50023,85,122
50024,235,405
45012,415,345
19022,175,390
16018,220,200
21004,725,860
21005,6825,11430
03015,4605,10620
45013,880,1150
43011,155,955
03016,30,65
22021,630,1475
50025,1595,4725
22022,190,420
22023,155,320
18017,7280,15075
13016,285,425
46035,1430,5515
44019,40,12
19023,25,100
48912,540,1825
29012,4635,6475
25022,40,77
21006,1240,2360
19024,1655,7235
29013,810,1075
17006,390,1040
29014,140,105
42023,35,37
50026,185,262
28010,1450,9000
08004,35,190
44020,2,17
02010,980,1030
25023,800,4025
46036,270,400
18904,530,410
03017,130,290
46037,400,835
12901,980,2685
22024,75,170
18018,225,410
04015,50,62
25024,95,280
09013,25,12
43012,965,2960
16019,130,80
03018,4680,14125
22025,465,800
09014,55,102
31010,1460,4965
12012,1020,2175
20906,30,90
20007,65,245
19027,70,130
46017,10205,26565
05012,75,75
34009,10,12
50027,85,160
28011,135,365
17007,610,1335
15002,3575,20050
31013,160,530
43013,1525,4395
08005,650,5785
09016,20,52
20008,310,500
33003,445,117
