Codigo Municipio,Nº de Jubilados
44001,30
40001,185
10001,85
27001,1125
48001,1250
31001,30
09001,10
26001,80
20001,60
19001,35
30001,1855
50001,60
48002,1700
30002,2695
34001,10
31002,155
31003,40
31004,10
15001,1620
42001,95
44002,25
25001,60
02001,250
13001,470
31005,110
10002,155
49002,30
16001,45
34003,60
22001,80
22002,35
04001,400
19002,55
31006,635
08001,1605
04002,410
37001,90
28001,25
24001,105
10003,255
16002,60
06001,255
10004,245
10005,205
50002,85
06002,1005
22003,55
47001,15
14001,910
05001,75
38001,5355
46001,300
31007,55
19003,*
46002,365
04003,3835
09003,95
40002,15
05002,650
42003,35
40003,85
03001,330
20002,60
35001,1355
37002,60
25002,125
36020,1080
50003,60
26002,245
03002,995
25003,1125
42004,725
03003,170
18001,115
41001,490
50004,205
09006,35
47002,*
44003,10
44004,185
13002,690
22004,45
40004,205
09007,25
34004,1680
47003,85
31008,45
14002,2755
08002,*
44005,25
26003,195
30003,5725
50005,105
35002,3780
17001,210
46004,525
38002,355
10006,520
37003,70
37004,5
06003,300
20016,375
31009,240
46042,840
46043,40
08014,480
43001,215
17002,130
03004,230
12002,45
22907,370
50006,310
22006,70
25038,400
20003,115
28002,485
26004,20
48911,110
45001,425
44006,160
50007,40
47004,400
50008,1195
10903,240
07002,1610
21001,155
38003,340
29001,940
37005,55
45002,615
28003,65
18002,195
37006,80
13003,195
19004,30
28004,1045
25004,180
06004,430
41002,370
46005,5325
34005,385
37007,180
50009,55
16003,40
19005,25
07001,905
25005,100
02002,210
44007,90
34006,30
37008,1010
37009,100
02003,26480
25006,125
46006,1275
41003,365
46007,1840
10007,315
13004,445
16004,155
46008,765
46009,705
46010,250
22007,280
16005,125
19006,250
44008,675
22008,85
04004,400
23001,400
17003,30
19007,145
44009,230
45003,175
02004,235
25007,295
03005,1790
22009,265
26005,530
16006,65
19008,10
44010,75
16007,430
37010,245
37011,50
46011,1960
26006,480
50010,35
22011,25
22012,30
22013,105
25008,360
50011,45
25009,240
09009,35
43002,595
43003,55
20004,65
12003,430
04005,240
18003,2455
18004,220
17004,100
46012,195
46013,3200
02005,215
50012,40
05005,65
04006,2390
30004,300
06005,375
46014,825
18005,125
18006,1085
18007,295
06006,1295
45004,225
02006,210
44011,25
50013,80
41004,10800
22014,130
28005,29665
44012,115
16008,65
11001,1060
50014,55
12004,1860
02007,445
22015,100
41005,1895
11002,1180
23002,5345
03006,695
22016,300
26007,230
43004,2080
25010,75
10008,430
30005,5525
46016,295
16009,40
49003,295
44013,2935
45005,100
14003,340
02008,415
25011,1145
46015,1700
29002,1100
23003,2965
45006,460
13005,5355
16010,75
47005,150
30902,2545
13006,190
28006,14715
19009,130
03007,70
09010,15
16011,30
04007,260
13007,465
22017,305
19010,*
45007,240
19011,145
41006,670
03008,65
25012,445
10009,100
42006,30
37012,55
40005,15
06007,450
50015,45
16012,55
06008,205
04008,210
12005,1820
28007,31375
44014,720
19013,25
43005,830
03009,13265
22018,125
42007,70
42008,40
49004,95
13008,170
46018,260
07003,2375
46020,1085
04009,45
12006,65
46019,2240
10010,705
46021,4720
47006,75
35020,1845
10012,220
28008,410
37015,140
10013,120
13009,530
45008,70
40012,100
43904,955
10011,225
37013,55
37014,470
42009,40
40006,10
37016,115
40007,35
40008,25
42010,*
42011,10
42012,20
47007,480
45009,265
26008,600
37017,105
19015,45
40009,15
37018,45
10014,590
45010,255
05007,60
10015,225
40010,60
23004,155
37019,60
37020,150
05008,80
37021,35
37022,100
40013,50
37023,165
37024,30
40014,40
10016,80
37025,75
50016,15
42013,20
37026,100
40015,20
05010,80
42014,45
18010,200
40016,20
43006,270
30006,280
20005,415
01001,255
43007,155
08003,1475
42015,15
22019,45
26009,145
26010,35
18011,835
46022,3585
03010,110
50017,355
44016,160
50018,285
22020,55
43008,125
46024,155
46025,725
49005,80
29003,360
29004,160
26011,2005
46026,325
25013,705
46027,260
03011,5515
46023,115
25014,90
12007,210
43009,350
50019,30
27002,800
09011,25
39001,690
09907,200
09012,35
41007,2255
24002,115
07004,1080
41008,330
11003,300
19016,30
46028,165
18012,990
16013,10
29005,1255
29006,270
11004,18045
46029,5355
25015,175
28009,2100
46030,265
12008,105
46031,2455
11005,1395
49006,70
19017,45
03012,1595
25016,630
30007,1455
03013,385
04010,165
04011,600
50020,260
18013,1180
30008,3415
13010,260
29007,4680
29008,4075
18014,990
19018,95
10017,390
44017,120
16014,230
03014,59710
04012,55
18015,125
24003,315
25017,85
43010,80
19019,15
10018,495
42016,*
21002,1870
06009,60
20006,55
33001,770
32001,1580
44021,35
33002,4170
31011,200
31012,295
44022,230
44023,*
25019,1180
29009,460
13011,1635
41009,330
13012,135
19020,15
13013,1695
42017,45
42018,85
02009,4695
24004,230
10019,295
49007,135
16015,155
29010,480
42019,170
26012,10
46032,1260
25020,150
42020,1205
12009,3465
42021,35
12010,110
13014,200
14004,660
18016,130
49008,235
25021,895
42022,95
12011,1240
47008,10
37027,60
