Codigo Municipio,Nº de Jubilados,Nº de Estudiantes
44001,30,*
40001,185,120
10001,85,55
27001,1125,190
48001,1250,1410
31001,30,10
09001,10,*
26001,80,45
20001,60,70
19001,35,*
30001,1855,1060
50001,60,*
48002,1700,1690
30002,2695,2290
34001,10,*
31002,155,125
31003,40,15
31004,10,*
15001,1620,790
42001,95,25
44002,25,*
25001,60,25
02001,250,125
13001,470,160
31005,110,60
10002,155,55
49002,30,*
16001,45,*
34003,60,15
22001,80,35
22002,35,15
04001,400,215
19002,55,*
31006,635,480
08001,1605,2480
04002,410,215
37001,90,20
28001,25,*
24001,105,15
10003,255,70
16002,60,35
06001,255,100
10004,245,105
10005,205,90
50002,85,15
06002,1005,1080
22003,55,25
47001,15,5
14001,910,690
05001,75,40
38001,5355,7725
46001,300,195
31007,55,25
19003,*,*
46002,365,305
04003,3835,4870
09003,95,30
40002,15,*
05002,650,425
42003,35,5
40003,85,5
03001,330,70
20002,60,90
35001,1355,855
37002,60,*
25002,125,40
36020,1080,150
50003,60,20
26002,245,150
03002,995,795
25003,1125,980
42004,725,595
03003,170,90
18001,115,35
41001,490,400
50004,205,95
09006,35,*
47002,*,*
44003,10,*
44004,185,110
13002,690,250
22004,45,10
40004,205,110
09007,25,*
34004,1680,1150
47003,85,35
31008,45,*
14002,2755,2535
08002,*,*
44005,25,15
26003,195,60
30003,5725,6440
50005,105,25
35002,3780,6030
17001,210,135
46004,525,455
38002,355,160
10006,520,195
37003,70,*
37004,5,*
06003,300,155
20016,375,410
31009,240,125
46042,840,975
46043,40,35
08014,480,415
43001,215,130
17002,130,205
03004,230,195
12002,45,10
22907,370,485
50006,310,190
22006,70,50
25038,400,355
20003,115,150
28002,485,855
26004,20,5
48911,110,70
45001,425,400
44006,160,35
50007,40,*
47004,400,175
50008,1195,1275
10903,240,125
07002,1610,1940
21001,155,150
38003,340,375
29001,940,1010
37005,55,*
45002,615,665
28003,65,40
18002,195,100
37006,80,10
13003,195,40
19004,30,*
28004,1045,1875
25004,180,115
06004,430,345
41002,370,305
46005,5325,5745
34005,385,120
37007,180,80
50009,55,15
16003,40,20
19005,25,10
07001,905,1090
25005,100,65
02002,210,75
44007,90,20
34006,30,5
37008,1010,930
37009,100,25
02003,26480,36400
25006,125,65
46006,1275,1115
41003,365,740
46007,1840,3380
10007,315,100
13004,445,160
16004,155,15
46008,765,615
46009,705,625
46010,250,170
22007,280,190
16005,125,25
19006,250,135
44008,675,295
22008,85,15
04004,400,80
23001,400,180
17003,30,15
19007,145,70
44009,230,165
45003,175,120
02004,235,135
25007,295,380
03005,1790,2770
22009,265,95
26005,530,580
16006,65,10
19008,10,5
44010,75,50
16007,430,290
37010,245,225
37011,50,10
46011,1960,2005
26006,480,520
50010,35,5
22011,25,25
22012,30,15
22013,105,55
25008,360,260
50011,45,15
25009,240,135
09009,35,40
43002,595,380
43003,55,115
20004,65,60
12003,430,220
04005,240,60
18003,2455,4360
18004,220,145
17004,100,125
46012,195,210
46013,3200,4865
02005,215,100
50012,40,15
05005,65,25
04006,2390,2235
30004,300,235
06005,375,345
46014,825,705
18005,125,55
18006,1085,1275
18007,295,150
06006,1295,1050
45004,225,120
02006,210,100
44011,25,*
50013,80,35
41004,10800,16495
22014,130,20
28005,29665,37610
44012,115,70
16008,65,*
11001,1060,1125
50014,55,20
12004,1860,1145
02007,445,155
22015,100,40
41005,1895,2180
11002,1180,1035
23002,5345,4585
03006,695,170
22016,300,80
26007,230,125
43004,2080,1625
25010,75,30
10008,430,215
30005,5525,9180
46016,295,215
16009,40,*
49003,295,175
44013,2935,3150
45005,100,35
14003,340,240
02008,415,235
25011,1145,1550
46015,1700,1910
29002,1100,355
23003,2965,2125
45006,460,275
13005,5355,6105
16010,75,15
47005,150,125
30902,2545,3185
13006,190,65
28006,14715,23980
19009,130,30
03007,70,35
09010,15,*
16011,30,*
04007,260,155
