Codigo Municipio,1 hijo/a,2 hijos/as,3 hijos/as,4 o más hijos/as
44001,5,*,*,10
40001,35,105,55,50
10001,15,45,15,15
27001,460,335,110,105
48001,455,1035,390,185
31001,*,15,*,*
09001,*,*,*,*
26001,10,40,10,25
20001,20,35,10,20
19001,*,*,*,*
30001,235,855,400,290
50001,15,25,*,*
48002,915,1430,350,270
30002,610,1445,820,720
34001,*,*,*,*
31002,40,65,30,20
31003,*,15,20,*
31004,*,*,*,*
15001,600,825,265,185
42001,*,45,30,*
44002,*,10,*,*
25001,*,20,20,*
02001,30,145,50,35
13001,85,210,85,70
31005,25,50,15,20
10002,20,55,30,25
49002,*,10,*,*
16001,*,*,*,10
34003,10,20,5,15
22001,20,40,10,5
22002,*,10,10,*
04001,90,175,110,95
19002,10,15,*,*
31006,210,380,140,80
08001,980,1715,440,195
04002,90,195,100,45
37001,15,30,15,20
28001,*,5,*,*
24001,15,20,15,*
10003,55,65,40,25
16002,15,40,15,5
06001,30,120,50,70
10004,55,140,55,20
10005,35,85,35,40
50002,30,20,10,*
06002,415,680,265,300
22003,15,25,*,*
47001,*,10,*,*
14001,250,520,340,240
05001,15,25,10,15
38001,3935,4190,1345,715
46001,90,170,50,30
31007,10,20,10,*
19003,*,*,*,*
46002,100,230,60,30
04003,1230,2520,1745,1330
09003,*,20,35,15
40002,*,5,*,*
05002,185,335,100,135
42003,*,5,*,10
40003,*,10,15,15
03001,75,105,20,*
20002,25,40,25,10
35001,400,680,250,265
37002,*,15,5,10
25002,45,70,20,*
36020,375,310,170,120
50003,15,25,5,10
26002,105,105,65,25
03002,365,660,255,155
25003,515,800,325,140
42004,170,430,145,115
03003,35,100,25,15
18001,20,30,10,35
41001,75,360,120,90
50004,75,130,35,20
09006,*,10,*,*
47002,*,*,*,*
44003,*,*,*,*
44004,35,115,40,15
13002,65,295,135,90
22004,10,20,10,*
40004,30,115,20,25
09007,*,5,*,*
34004,500,885,395,205
47003,15,35,20,15
31008,*,10,*,10
14002,735,1725,730,670
08002,*,*,*,*
44005,*,5,10,*
26003,30,75,40,30
30003,2080,4335,2140,1135
50005,35,30,20,*
35002,1945,2835,1230,1575
17001,80,120,35,20
46004,165,290,180,85
38002,30,110,110,100
10006,40,245,90,80
37003,*,25,5,10
37004,*,*,*,*
06003,35,145,60,40
20016,100,260,110,45
31009,50,100,45,45
46042,300,605,325,105
46043,10,25,10,5
08014,160,380,90,85
43001,65,120,30,25
17002,65,85,35,35
03004,75,135,55,25
12002,10,30,*,*
22907,160,260,80,65
50006,90,175,100,20
22006,35,35,*,*
25038,200,295,110,60
20003,35,95,45,20
28002,295,400,115,130
26004,10,*,*,*
48911,30,65,15,*
45001,110,360,135,75
44006,20,80,10,*
50007,*,*,*,*
47004,85,175,130,70
50008,580,960,320,130
10903,45,110,70,70
07002,575,1275,475,265
21001,65,65,60,30
38003,*,85,160,105
29001,245,560,335,375
37005,10,10,10,10
45002,190,525,195,85
28003,10,35,10,*
18002,20,50,55,80
37006,5,20,10,10
13003,30,80,45,20
19004,*,10,*,*
28004,730,730,395,185
25004,70,100,35,*
06004,85,205,130,105
41002,140,295,90,65
46005,1900,4235,1330,1155
34005,65,115,75,70
37007,40,75,30,25
50009,10,15,*,10
16003,5,20,10,10
19005,5,15,*,*
07001,365,680,185,130
25005,40,55,25,*
02002,25,65,50,35
44007,15,40,15,*
34006,*,5,5,5
37008,420,525,255,245
37009,10,25,25,25
02003,9455,21910,8840,6490
25006,40,65,20,10
46006,375,800,375,175
41003,230,280,115,155
46007,1340,1960,570,325
10007,25,110,50,50
13004,55,260,95,55
16004,15,60,20,25
46008,270,540,140,125
46009,320,595,170,85
46010,115,155,35,*
22007,140,190,50,35
16005,*,30,20,30
19006,70,130,70,*
44008,180,315,75,55
22008,15,35,20,*
04004,70,85,40,35
23001,30,155,130,60
17003,*,30,*,*
19007,25,65,40,20
44009,90,135,40,35
45003,35,95,50,35
02004,*,120,65,35
25007,130,260,110,25
03005,525,1705,675,265
22009,75,105,35,35
26005,150,460,130,80
16006,5,30,*,*
19008,*,*,*,*
44010,20,45,20,*
16007,85,225,165,95
37010,40,135,90,65
37011,10,20,10,5
46011,700,1365,495,450
26006,155,375,110,95
50010,*,*,*,*
22011,10,10,*,*
22012,*,20,*,*
22013,*,50,40,10
25008,145,210,50,35
50011,20,10,10,*
25009,70,140,35,20
09009,10,15,10,15
43002,190,305,135,65
43003,35,45,25,10
20004,20,40,15,15
12003,120,200,45,50
04005,45,95,65,30
18003,1030,2310,960,580
18004,20,130,70,45
17004,55,95,30,*
46012,85,175,45,30
46013,1950,3165,850,410
02005,35,130,50,35
50012,10,20,10,*
05005,*,25,15,15
04006,480,1645,670,380
30004,60,155,95,95
06005,140,190,140,75
46014,400,515,175,65
18005,*,60,25,40
18006,425,590,460,370
18007,30,120,70,80
06006,315,750,300,270
45004,35,100,60,25
02006,40,80,65,50
44011,*,10,*,*
50013,20,45,15,10
41004,4260,9535,3925,2355
22014,20,50,15,10
28005,14270,26800,9010,5535
44012,40,55,25,15
16008,*,15,5,*
11001,335,530,260,345
50014,*,30,*,10
12004,870,730,335,175
02007,95,165,100,*
22015,35,65,10,*
41005,555,1395,615,510
11002,245,485,290,405
23002,1430,2815,1385,1145
03006,150,165,50,30
22016,80,145,35,*
26007,55,95,50,25
43004,960,1500,520,95
25010,15,45,15,*
10008,35,140,145,95
30005,2685,4985,2490,1460
46016,100,180,65,70
16009,*,10,*,5
49003,60,165,60,50
44013,1105,2475,670,395
45005,15,35,15,20
14003,70,255,65,75
02008,85,195,85,80
25011,640,1110,240,195
46015,635,1155,480,155
29002,175,440,140,150
23003,550,1545,690,535
45006,75,220,165,170
13005,1920,3750,1825,1245
16010,*,25,20,15
47005,65,80,50,35
30902,1160,1945,610,640
13006,*,100,50,55
28006,7335,13500,6110,2860
19009,15,65,25,*
03007,30,35,10,*
09010,*,*,*,*
16011,*,10,*,*
04007,35,120,60,65
13007,65,205,80,120
22017,80,205,35,*
19010,*,*,*,*
45007,65,140,50,25
19011,30,40,15,25
41006,175,525,170,115
03008,25,35,*,*
25012,280,250,125,80
10009,20,45,20,10
42006,*,20,*,5
37012,5,20,10,5
40005,*,*,*,*
06007,80,190,115,140
50015,*,15,*,*
16012,*,10,*,15
06008,35,95,40,50
04008,20,75,60,30
12005,900,1660,405,180
28007,11695,22905,8065,4280
44014,160,550,160,140
19013,10,20,15,*
43005,305,760,170,225
03009,4720,8980,3200,1845
22018,25,80,15,20
42007,10,15,10,10
42008,*,10,*,*
49004,25,20,10,*
13008,*,90,35,30
46018,35,130,45,20
07003,1525,2450,725,525
46020,395,755,220,125
04009,10,20,10,*
12006,25,25,15,*
46019,800,1705,510,275
10010,155,380,120,135
46021,2280,4030,1225,905
47006,15,25,10,20
35020,565,1025,455,515
10012,20,110,50,45
28008,245,220,110,115
37015,30,50,20,*
10013,15,40,40,15
13009,100,310,80,75
45008,10,40,10,10
40012,15,35,40,20
43904,290,575,330,55
10011,30,95,50,25
37013,*,10,5,20
37014,70,165,100,80
42009,*,*,15,*
40006,*,*,*,*
37016,60,95,25,15
40007,5,5,5,10
40008,*,10,*,*
42010,*,*,*,*
42011,*,*,*,*
42012,*,*,*,*
47007,380,480,125,55
45009,20,90,65,40
26008,195,440,145,55
37017,20,35,25,*
19015,*,15,*,10
40009,*,*,*,*
37018,10,15,5,*
10014,25,370,105,155
45010,25,75,35,50
05007,*,15,15,15
10015,55,85,30,40
40010,5,25,20,*
23004,*,60,65,35
37019,5,20,5,20
37020,30,60,40,25
05008,15,35,15,15
37021,*,10,5,10
37022,*,45,20,30
40013,*,*,*,*
37023,100,170,80,35
37024,10,20,*,*
40014,*,10,*,10
10016,15,40,25,25
37025,15,45,5,15
50016,*,*,*,*
42013,*,*,*,*
37026,10,25,10,15
40015,*,*,*,*
05010,5,40,10,*
42014,*,*,*,*
18010,25,85,70,30
40016,*,*,*,15
43006,50,185,65,15
30006,45,140,50,55
20005,120,215,85,50
01001,230,390,60,60
43007,50,120,55,30
08003,835,1285,350,180
42015,*,*,*,*
22019,15,25,15,*
26009,70,60,20,15
26010,10,10,*,*
18011,295,560,375,255
46022,1300,2915,1135,720
03010,20,55,30,10
50017,170,370,45,25
44016,25,60,50,30
50018,80,170,65,80
22020,10,20,10,*
43008,25,55,30,*
46024,45,80,15,20
46025,240,350,195,45
49005,10,20,15,10
29003,55,170,90,65
29004,30,60,30,30
26011,715,1350,410,365
46026,135,220,95,*
25013,190,455,155,65
46027,100,150,65,35
03011,1350,2740,800,650
46023,15,80,15,*
25014,30,50,10,*
12007,55,155,30,30
43009,155,220,85,*
50019,10,15,*,*
27002,230,295,100,45
09011,*,10,*,*
39001,150,375,135,150
09907,105,235,95,30
09012,*,20,*,*
41007,950,1945,990,475
24002,20,25,30,20
07004,370,625,255,85
41008,55,150,80,95
11003,85,185,65,90
19016,*,*,*,*
46028,45,85,45,*
18012,110,450,145,200
16013,*,*,*,*
29005,425,725,355,285
29006,65,85,40,70
11004,6880,14005,6260,4685
46029,1980,3835,1465,770
25015,45,85,20,*
28009,1275,2745,1015,395
46030,100,150,50,40
12008,20,50,20,*
46031,1020,1960,580,295
11005,290,655,340,380
49006,10,20,15,10
19017,*,15,*,*
03012,190,550,295,130
25016,230,445,75,150
30007,425,875,585,400
03013,125,205,70,65
04010,*,85,60,45
04011,190,560,295,130
50020,105,145,45,20
18013,380,650,330,270
30008,970,2775,1090,755
13010,35,110,50,120
29007,2710,4640,1670,1160
29008,860,3115,1510,1065
18014,480,815,315,255
19018,*,30,15,15
10017,30,205,80,35
44017,15,45,20,10
16014,45,120,35,25
03014,25000,41950,17490,9755
04012,15,30,15,15
18015,25,45,45,40
24003,60,115,45,25
25017,40,35,*,*
43010,45,60,15,*
19019,*,*,*,*
10018,115,230,185,65
42016,*,*,*,*
21002,1655,2515,855,345
06009,10,35,15,10
20006,15,55,10,10
33001,175,280,65,65
32001,630,665,450,110
44021,*,15,15,*
33002,1275,1425,810,615
31011,55,100,45,35
31012,55,190,75,25
44022,40,135,30,20
44023,*,*,*,*
25019,565,740,225,270
29009,90,220,140,100
13011,280,800,495,330
41009,80,245,100,60
13012,30,70,10,45
19020,*,0,*,*
13013,355,1030,585,505
42017,5,30,10,*
42018,5,20,10,15
02009,1580,3525,1245,885
24004,35,75,25,45
10019,70,210,120,60
49007,35,50,20,25
16015,40,70,25,35
29010,110,255,130,140
42019,15,55,50,50
26012,*,*,*,*
46032,630,1140,275,160
25020,30,50,30,*
42020,315,675,275,315
12009,2180,3565,915,555
42021,*,20,10,*
12010,15,45,15,10
13014,45,95,50,15
14004,135,325,145,135
18016,*,60,35,25
49008,40,115,35,25
25021,310,515,165,125
42022,*,40,20,*
12011,625,695,405,90
47008,*,*,*,*
37027,25,40,*,15
37028,15,20,10,15
06010,95,115,90,90
45011,*,35,25,45
06011,1765,4075,1775,1625
21003,50,105,55,30
16016,15,65,15,*
41010,435,600,345,130
04013,11170,23320,10305,8605
46033,15,50,15,10
50021,*,10,*,*
04014,*,40,10,10
13015,305,1105,455,175
16017,*,65,20,25
14005,440,995,340,490
29011,210,550,245,160
19021,45,165,105,60
44018,*,*,*,*
10020,90,325,100,85
46034,245,280,120,60
50022,30,95,25,20
50023,15,45,10,10
50024,40,115,45,*
45012,70,130,50,20
19022,25,105,60,15
16018,10,85,35,25
21004,160,185,125,60
21005,1445,2795,1135,775
03015,925,2315,1020,645
45013,115,300,185,115
43011,85,210,35,25
03016,*,35,5,*
22021,195,345,90,65
50025,530,1140,270,165
22022,60,90,30,30
22023,25,75,25,30
18017,1720,3615,1425,1095
13016,30,115,50,40
46035,600,1305,335,105
44019,*,10,*,*
19023,10,25,*,10
48912,230,410,100,70
29012,745,1330,650,805
25022,15,10,*,*
21006,230,545,285,245
19024,895,1390,475,210
29013,90,325,130,70
17006,110,255,35,40
29014,40,15,*,20
42023,10,5,5,10
50026,30,80,25,10
28010,970,1865,655,235
08004,25,45,10,*
44020,*,5,*,*
02010,85,335,160,120
25023,590,740,245,140
46036,50,120,45,*
18904,*,205,85,80
03017,40,75,25,*
46037,115,195,95,65
12901,330,675,245,75
22024,25,30,30,*
18018,20,80,60,75
04015,*,25,10,*
25024,30,40,40,*
09013,*,*,*,*
43012,285,625,195,150
16019,15,30,10,25
03018,1610,3220,1055,640
22025,120,165,110,30
09014,10,15,*,15
31010,455,1075,345,250
12012,240,575,170,115
20906,15,20,5,*
20007,30,45,15,20
19027,10,25,5,15
46017,3945,6300,1885,1255
05012,*,30,10,5
34009,*,10,*,*
50027,25,50,10,*
28011,40,55,25,20
17007,195,410,70,50
15002,2750,2950,1300,625
31013,30,80,45,50
43013,680,1080,355,125
08005,565,1285,355,75
09016,15,*,*,*
20008,50,105,60,45
33003,105,120,*,*
32002,340,390,*,*
48003,1425,2595,955,400
48004,30,45,15,25
43906,240,460,220,*
43014,1935,2930,855,415
34010,15,70,20,65
39002,405,620,130,95
