Codigo Municipio,Nº de Alquileres
44001,*
40001,65
10001,65
27001,45
48001,335
31001,*
09001,*
26001,*
20001,*
19001,*
30001,475
50001,*
48002,420
30002,1955
34001,*
31002,*
31003,*
31004,*
15001,80
42001,65
44002,*
25001,*
02001,25
13001,*
31005,15
10002,20
49002,*
16001,*
34003,*
22001,*
22002,10
04001,230
19002,*
31006,215
08001,855
04002,*
37001,*
28001,*
24001,*
10003,*
16002,*
06001,40
10004,30
10005,55
50002,*
06002,835
22003,*
47001,*
14001,175
05001,*
38001,7735
46001,355
31007,5
19003,*
46002,25
04003,3120
09003,*
40002,*
05002,345
42003,*
40003,*
03001,*
20002,35
35001,310
37002,*
25002,95
36020,*
50003,*
26002,195
03002,315
25003,1060
42004,175
03003,80
18001,*
41001,85
50004,75
09006,*
47002,*
44003,*
44004,70
13002,90
22004,5
40004,20
09007,*
34004,665
47003,*
31008,*
14002,575
08002,*
44005,*
26003,90
30003,3420
50005,*
35002,3280
17001,130
46004,*
38002,*
10006,*
37003,*
37004,*
06003,80
20016,110
31009,35
46042,185
46043,10
08014,415
43001,95
17002,45
03004,55
12002,*
22907,435
50006,50
22006,*
25038,340
20003,90
28002,860
26004,*
48911,*
45001,65
44006,50
50007,*
47004,135
50008,885
10903,10
07002,1475
21001,55
38003,*
29001,120
37005,*
45002,540
28003,40
18002,25
37006,*
13003,10
19004,*
28004,1395
25004,125
06004,*
41002,130
46005,1935
34005,60
37007,*
50009,*
16003,35
19005,*
07001,800
25005,*
02002,30
44007,30
34006,*
37008,430
37009,35
02003,20340
25006,20
46006,520
41003,*
46007,1500
10007,110
13004,55
16004,*
46008,345
46009,70
46010,*
22007,290
16005,15
19006,*
44008,265
22008,15
04004,*
23001,*
17003,30
19007,40
44009,275
45003,*
02004,*
25007,320
03005,1210
22009,35
26005,280
16006,*
19008,10
44010,65
16007,115
37010,135
37011,*
46011,785
26006,310
50010,*
22011,*
22012,10
22013,20
25008,320
50011,*
25009,85
09009,*
43002,55
43003,35
20004,*
12003,115
04005,20
18003,705
18004,70
17004,110
46012,55
46013,2720
02005,135
50012,*
05005,10
04006,1515
30004,25
06005,75
46014,75
18005,*
18006,1585
18007,60
06006,565
45004,*
02006,*
44011,*
50013,20
41004,3420
22014,*
28005,40275
44012,75
16008,*
11001,440
50014,25
12004,1420
02007,50
22015,*
41005,790
11002,95
23002,1155
03006,95
22016,*
26007,110
43004,2260
25010,*
10008,95
30005,4815
46016,210
16009,*
49003,85
44013,2580
45005,*
14003,85
02008,145
25011,1915
46015,1400
29002,175
23003,440
45006,140
13005,2880
16010,*
47005,35
30902,4580
13006,*
28006,20095
19009,50
03007,*
09010,*
16011,*
04007,25
13007,20
22017,95
19010,*
45007,65
19011,70
41006,95
03008,10
25012,440
10009,55
42006,15
37012,*
40005,*
06007,235
50015,*
16012,*
06008,65
04008,*
12005,1090
28007,20050
44014,480
19013,10
43005,985
03009,5130
22018,50
42007,20
42008,*
49004,*
13008,115
46018,50
07003,6120
46020,155
04009,*
12006,*
46019,675
10010,110
46021,2715
47006,*
35020,450
10012,45
28008,355
37015,55
10013,15
13009,75
45008,25
40012,10
43904,270
10011,40
37013,*
37014,75
42009,*
40006,*
37016,25
40007,*
40008,25
42010,*
42011,*
42012,*
47007,125
45009,35
26008,365
37017,35
19015,15
40009,*
37018,*
10014,30
45010,15
05007,*
10015,130
40010,*
23004,*
37019,*
37020,*
05008,20
37021,*
37022,*
40013,10
37023,95
37024,*
40014,*
10016,15
37025,*
50016,*
42013,0
37026,5
40015,*
05010,10
42014,*
18010,*
40016,*
43006,10
30006,*
20005,140
01001,335
43007,135
08003,1585
42015,*
22019,*
26009,45
26010,*
18011,280
46022,2115
03010,10
50017,125
44016,65
50018,300
22020,*
43008,*
46024,*
46025,225
49005,*
29003,*
29004,25
26011,1330
46026,*
25013,390
46027,75
03011,3995
46023,*
25014,75
12007,*
43009,245
50019,*
27002,150
09011,*
39001,60
09907,130
09012,*
41007,1640
24002,45
07004,865
41008,*
11003,50
19016,*
46028,*
18012,*
16013,*
29005,440
29006,125
11004,7960
46029,1850
25015,15
28009,2085
46030,*
12008,15
46031,370
11005,155
49006,*
19017,35
03012,160
25016,365
30007,1100
03013,*
04010,15
04011,580
50020,125
18013,390
30008,2865
13010,15
29007,2325
29008,2975
18014,300
19018,*
10017,15
44017,60
16014,15
03014,40700
04012,*
18015,60
24003,75
25017,20
43010,25
19019,*
10018,60
42016,*
21002,895
06009,*
20006,30
33001,235
32001,295
44021,*
33002,850
31011,40
31012,*
44022,25
44023,*
25019,1340
29009,35
13011,565
41009,130
13012,75
19020,5
13013,1900
42017,35
42018,25
02009,1195
24004,35
10019,35
49007,*
16015,65
29010,*
42019,30
26012,*
46032,460
25020,*
42020,560
12009,3155
42021,*
12010,10
13014,55
14004,*
18016,20
49008,10
25021,440
42022,*
12011,310
47008,*
37027,15
37028,*
06010,85
45011,*
06011,4595
21003,45
16016,*
41010,330
04013,22500
46033,*
50021,*
04014,20
13015,190
16017,*
14005,270
29011,75
19021,145
44018,*
10020,195
46034,*
50022,*
50023,15
50024,35
45012,*
19022,60
16018,*
21004,100
21005,3360
03015,1130
45013,455
43011,60
03016,*
22021,115
50025,2220
22022,15
22023,85
18017,4375
13016,105
46035,500
44019,*
19023,*
48912,160
29012,490
25022,*
21006,395
19024,1050
29013,55
17006,625
29014,40
42023,*
50026,*
28010,2045
08004,35
44020,*
02010,190
25023,355
46036,65
18904,*
03017,75
46037,*
12901,255
22024,30
18018,70
04015,*
25024,70
09013,*
43012,1005
16019,*
03018,4920
22025,200
09014,5
31010,765
12012,530
20906,*
20007,20
19027,25
46017,4085
05012,*
34009,*
50027,*
28011,45
17007,445
15002,3310
31013,40
43013,1575
08005,920
09016,*
20008,90
33003,*
32002,90
48003,1445
48004,10
43906,500
43014,3110
34010,20
39002,335
01002,955
34011,*
47009,*
44024,*
40017,10
37029,5
28012,100
13017,30
31014,60
49009,*
46038,*
20009,855
44025,595
31015,170
07005,3410
23005,2255
50028,*
17008,1185
25027,175
19031,*
26013,45
22027,40
26014,10
19032,55
09017,40
39003,*
50029,60
46039,265
20010,85
19033,*
19034,*
22028,30
31016,1320
04016,120
27003,*
46040,30
29015,2545
35003,1465
24005,5
34012,40
22029,*
20011,100
31017,60
01049,5
40018,*
50030,*
14006,25
31018,55
45014,390
37030,*
31019,315
37031,*
21007,500
38004,470
22032,*
41011,515
40019,*
31020,10
48005,15
31025,*
20012,*
01003,60
31021,*
42024,*
09018,3780
50031,*
50032,10
09019,25
16020,*
15003,*
31023,510
28013,11275
31024,*
31022,*
48006,15
19036,130
12013,*
37032,35
31026,*
46041,10
