Codigo Municipio,Hogares Unipersonales,Hogares Familiares
44001,*,60
40001,55,825
10001,30,300
27001,180,2540
48001,460,6840
31001,15,80
09001,*,10
26001,65,265
20001,30,280
19001,25,40
30001,630,5800
50001,20,95
48002,1000,8670
30002,800,12315
34001,10,30
31002,40,500
31003,30,110
31004,*,20
15001,380,5310
42001,70,290
44002,15,40
25001,*,150
02001,50,795
13001,125,1465
31005,25,350
10002,65,380
49002,5,70
16001,10,50
34003,15,165
22001,30,245
22002,20,95
04001,140,1290
19002,25,65
31006,200,2430
08001,860,10910
04002,125,1210
37001,35,195
28001,15,40
24001,40,215
10003,80,545
16002,20,225
06001,70,740
10004,100,730
10005,70,550
50002,55,185
06002,380,5265
22003,20,145
47001,*,55
14001,195,4205
05001,35,220
38001,5290,37575
46001,135,1035
31007,15,165
19003,20,15
46002,75,1315
04003,1425,22940
09003,35,205
40002,10,35
05002,250,2365
42003,10,65
40003,45,120
03001,95,565
20002,40,410
35001,595,5135
37002,30,95
25002,100,390
36020,215,2550
50003,20,145
26002,145,945
03002,385,4355
25003,375,5200
42004,265,2675
03003,90,485
18001,55,280
41001,200,1930
50004,95,715
09006,15,40
47002,*,10
44003,*,20
44004,75,570
13002,220,1635
22004,25,100
40004,85,580
09007,15,45
34004,850,6135
47003,45,255
31008,20,75
14002,900,12765
08002,*,160
44005,*,60
26003,90,440
30003,2100,32035
50005,50,200
35002,2010,27485
17001,60,740
46004,145,2275
38002,130,1005
10006,195,1210
37003,20,115
37004,15,20
06003,125,865
20016,200,1820
31009,60,810
46042,310,4380
46043,15,160
08014,155,2225
43001,70,775
17002,25,740
03004,105,910
12002,30,105
22907,260,1845
50006,125,1025
22006,45,305
25038,200,1965
20003,60,695
28002,325,3760
26004,10,60
48911,45,400
45001,125,2170
44006,40,295
50007,10,50
47004,180,1270
50008,565,6275
10903,90,810
07002,785,8620
21001,80,700
38003,155,1845
29001,390,5020
37005,20,80
45002,170,3270
28003,40,185
18002,95,575
37006,35,120
13003,80,425
19004,20,45
28004,405,7780
25004,65,640
06004,165,1765
41002,170,1670
46005,2550,27590
34005,175,855
37007,70,475
50009,15,140
16003,15,160
19005,15,100
07001,555,4645
25005,20,330
02002,70,505
44007,35,175
34006,*,75
37008,400,4885
37009,35,200
02003,13445,157585
25006,20,385
46006,515,5455
41003,250,2725
46007,940,14755
10007,120,600
13004,185,1195
16004,50,270
46008,350,3145
46009,120,3785
46010,90,1035
22007,70,1160
16005,40,250
19006,200,820
44008,205,1760
22008,20,185
04004,135,595
23001,195,1030
17003,10,130
19007,80,405
44009,90,910
45003,85,655
02004,60,700
25007,175,1870
03005,680,10920
22009,85,715
26005,350,2820
16006,30,110
19008,10,25
44010,30,250
16007,145,1665
37010,85,1115
37011,10,125
46011,1070,10020
26006,260,2390
50010,15,70
22011,10,105
22012,10,90
22013,30,315
25008,150,1475
50011,30,110
25009,60,785
09009,25,185
43002,160,2190
43003,25,405
20004,25,285
12003,125,1190
04005,125,560
18003,1190,16175
18004,60,840
17004,50,645
46012,110,1105
46013,2005,20855
02005,100,705
50012,10,105
05005,25,190
04006,670,10185
30004,100,1310
06005,175,1745
46014,245,3625
18005,50,370
18006,765,5825
18007,115,800
06006,445,5130
45004,80,665
02006,35,680
44011,15,50
50013,25,260
41004,4180,68855
22014,70,210
28005,12435,186510
44012,45,420
16008,25,80
11001,550,4960
50014,25,165
12004,935,6870
02007,185,1135
22015,30,335
41005,575,10825
11002,340,4945
23002,2000,20590
03006,170,1165
22016,105,640
26007,115,605
43004,1000,9320
25010,20,205
10008,170,1390
30005,2960,38375
46016,110,1260
16009,20,65
49003,100,1005
44013,1580,14685
45005,45,260
14003,120,1285
02008,120,1440
25011,595,8015
46015,1070,8355
29002,305,2275
23003,1065,10000
45006,220,1770
13005,2810,28700
16010,25,150
47005,65,650
30902,1115,14495
13006,55,615
28006,7235,102740
19009,65,255
03007,20,190
09010,15,15
16011,10,25
04007,105,795
13007,155,1420
22017,90,1035
19010,*,*
45007,100,815
19011,60,315
41006,190,3195
03008,25,165
25012,225,2845
10009,30,215
42006,30,160
37012,15,145
40005,*,20
06007,185,1640
50015,10,65
16012,15,95
06008,100,635
04008,70,550
12005,800,9810
28007,15415,151180
44014,250,3115
19013,20,115
43005,555,4530
03009,6750,53660
22018,60,350
42007,25,115
42008,*,60
49004,25,105
13008,65,490
46018,95,665
07003,1430,17480
46020,470,4680
04009,30,70
12006,35,165
46019,880,10475
10010,290,2390
46021,2830,27695
47006,30,200
35020,635,7835
10012,85,580
28008,255,2275
37015,55,295
10013,40,295
13009,260,1645
45008,25,170
40012,30,305
43904,395,4035
10011,85,590
37013,10,120
37014,185,1165
42009,15,70
40006,*,25
37016,80,565
40007,15,60
40008,5,80
42010,*,20
42011,*,15
42012,15,30
47007,405,4100
45009,130,510
26008,180,2610
37017,35,255
19015,20,70
40009,*,25
37018,20,115
10014,285,1885
45010,110,370
05007,15,120
10015,110,625
40010,20,125
23004,85,450
37019,20,145
37020,70,455
05008,25,210
37021,15,75
37022,30,280
40013,*,55
37023,140,1330
37024,20,85
40014,20,30
10016,40,325
37025,30,255
50016,25,20
42013,*,40
37026,45,170
40015,10,15
05010,30,160
42014,*,80
18010,95,570
40016,15,50
43006,60,885
30006,90,915
20005,180,1580
01001,195,2635
43007,95,800
08003,535,8710
42015,*,25
22019,20,190
26009,75,465
26010,25,85
18011,415,5060
46022,1680,19025
03010,30,380
50017,145,2045
44016,95,420
50018,55,1485
22020,25,110
43008,40,360
46024,70,465
46025,285,2900
49005,45,120
29003,155,1125
29004,100,395
26011,885,8845
46026,140,1390
25013,240,2750
46027,60,1245
03011,2350,17210
46023,40,385
25014,30,300
12007,80,795
43009,170,1570
50019,15,60
27002,140,1880
09011,*,75
39001,215,2275
09907,140,1710
09012,15,100
41007,945,14790
24002,40,250
07004,370,4900
41008,135,1155
11003,100,1365
19016,10,55
46028,60,465
18012,440,2585
16013,*,15
29005,685,5480
29006,100,765
11004,8810,108595
46029,2600,25535
25015,35,380
28009,860,19410
46030,115,905
12008,55,235
46031,1330,12270
11005,545,5050
49006,25,145
19017,15,80
03012,370,2780
25016,170,2925
