Codigo Municipios,Edad Media Edificios
01001,N/A - resultado no disponible
01002,N/A - resultado no disponible
01003,N/A - resultado no disponible
01004,N/A - resultado no disponible
01006,N/A - resultado no disponible
01008,N/A - resultado no disponible
01009,N/A - resultado no disponible
01010,N/A - resultado no disponible
01011,N/A - resultado no disponible
01013,N/A - resultado no disponible
01014,N/A - resultado no disponible
01016,N/A - resultado no disponible
01017,N/A - resultado no disponible
01018,N/A - resultado no disponible
01019,N/A - resultado no disponible
01020,N/A - resultado no disponible
01021,N/A - resultado no disponible
01022,N/A - resultado no disponible
01023,N/A - resultado no disponible
01027,N/A - resultado no disponible
01028,N/A - resultado no disponible
01030,N/A - resultado no disponible
01031,N/A - resultado no disponible
01032,N/A - resultado no disponible
01033,N/A - resultado no disponible
01034,N/A - resultado no disponible
01036,N/A - resultado no disponible
01037,N/A - resultado no disponible
01039,N/A - resultado no disponible
01041,N/A - resultado no disponible
01042,N/A - resultado no disponible
01043,N/A - resultado no disponible
01044,N/A - resultado no disponible
01046,N/A - resultado no disponible
01047,N/A - resultado no disponible
01049,N/A - resultado no disponible
01051,N/A - resultado no disponible
01052,N/A - resultado no disponible
01053,N/A - resultado no disponible
01054,N/A - resultado no disponible
01055,N/A - resultado no disponible
01056,N/A - resultado no disponible
01057,N/A - resultado no disponible
01058,N/A - resultado no disponible
01059,N/A - resultado no disponible
01060,N/A - resultado no disponible
01061,N/A - resultado no disponible
01062,N/A - resultado no disponible
01063,N/A - resultado no disponible
01901,N/A - resultado no disponible
01902,N/A - resultado no disponible
02001,42
02002,47
02003,26
02004,52
02005,46
02006,47
02007,45
02008,53
02009,29
02010,41
02011,57
02012,30
02013,52
02014,51
02015,38
02016,51
02017,50
02018,48
02019,42
02020,47
02021,39
02022,52
02023,53
02024,35
02025,30
02026,42
02027,56
02028,47
02029,29
02030,43
02031,51
02032,49
02033,40
02034,40
02035,36
02036,53
02037,36
02038,45
02039,43
02040,50
02041,51
02042,50
02043,46
02044,46
02045,38
02046,42
02047,65
02048,44
02049,51
02050,57
02051,43
02052,34
02053,41
02054,46
02055,50
02056,42
02057,43
02058,45
02059,51
02060,55
02061,52
02062,49
02063,45
02064,47
02065,49
02066,51
02067,39
02068,49
02069,31
02070,51
02071,51
02072,45
02073,39
02074,39
02075,38
02076,51
02077,50
02078,47
02079,37
02080,46
02081,33
02082,45
02083,44
02084,48
02085,52
02086,51
02901,38
03001,22
03002,34
03003,43
03004,32
03005,26
03006,36
03007,44
03008,67
03009,33
03010,48
03011,22
03012,14
03013,52
03014,30
03015,21
03016,61
03017,41
03018,24
03019,29
03020,57
03021,38
03022,64
03023,50
03024,33
03025,33
03026,23
03027,53
03028,45
03029,26
03030,50
03031,28
03032,35
03033,48
03034,29
03035,30
03036,62
03037,26
03038,17
03039,23
03040,28
03041,27
03042,33
03043,44
03044,46
03045,29
03046,34
03047,25
03048,25
03049,58
03050,57
03051,51
03052,33
03053,28
03054,64
03055,47
03056,23
03057,51
03058,51
03059,33
03060,47
03061,62
03062,42
03063,34
03064,23
03065,37
03066,24
03067,51
03068,26
03069,23
03070,19
03071,40
03072,36
03073,56
03074,29
03075,39
03076,19
03077,36
03078,31
03079,30
03080,24
03081,33
03082,26
03083,39
03084,60
03085,37
03086,49
03088,28
03089,40
03090,20
03091,37
03092,31
03093,32
03094,23
03095,29
03096,33
03097,36
03098,34
03099,21
03100,38
03101,27
03102,33
03103,56
03104,29
03105,36
03106,49
03107,25
03109,21
03110,33
03111,27
03112,37
03113,18
03114,40
03115,49
03116,33
03117,42
03118,20
03119,21
03120,20
03121,19
03122,22
03123,34
03124,44
03125,57
03127,42
03128,29
03129,34
03130,51
03131,39
03132,42
03133,19
03134,57
03135,56
03136,60
03137,60
03138,25
03139,24
03140,32
03901,30
03902,21
03903,19
03904,17
04001,39
04002,41
04003,29
04004,42
04005,38
04006,33
04007,39
04008,41
04009,65
04010,33
04011,32
04012,35
04013,28
04014,33
04015,41
04016,26
04017,42
04018,38
04019,41
04020,30
04021,42
04022,32
04023,38
04024,27
04026,61
04027,64
04028,39
04029,29
04030,44
04031,39
04032,23
04033,55
04034,40
04035,27
04036,36
04037,35
04038,34
04041,29
04043,44
04044,27
04045,49
04046,31
04047,19
04048,23
04049,16
04050,57
04051,31
04052,20
04053,31
04054,44
04055,40
04056,42
04057,44
04058,35
04059,52
04060,51
04061,39
04062,28
04063,54
04064,19
04065,45
04066,19
04067,47
04068,65
04069,28
04070,38
04071,47
04072,42
04073,29
04074,33
04075,20
04076,35
04077,51
04078,41
04079,16
04080,42
04081,57
04082,60
04083,40
04084,43
04085,38
04086,35
04087,42
04088,35
04089,38
04090,65
04091,34
04092,32
04093,22
04094,58
04095,52
04096,40
04097,64
04098,39
04099,41
04100,13
04101,22
04102,15
04103,34
04901,45
04902,18
04903,26
04904,N/A - resultado no disponible
05001,33
05002,30
05005,40
05007,31
05008,35
05010,56
05012,39
05013,37
05014,34
05015,19
05016,27
05017,50
05018,36
05019,24
05021,32
05022,39
05023,30
05024,57
05025,38
05026,57
05027,48
05029,40
05030,50
05033,39
05034,28
05035,46
05036,44
05037,38
05038,38
05039,52
05040,61
05041,34
05042,43
05043,37
05044,36
05045,38
05046,N/A - resultado no disponible
05047,32
05048,35
05049,53
05051,43
05052,30
05053,22
05054,44
05055,48
05056,55
05057,28
05058,37
05059,61
05060,36
05061,40
05062,29
05063,52
05064,40
05065,35
05066,38
05067,33
05069,57
05070,N/A - resultado no disponible
05072,50
05073,37
05074,47
05075,51
05076,45
05077,32
05078,63
05079,39
05080,53
05081,58
05082,42
05083,56
05084,36
05085,47
05086,53
05087,49
05088,34
05089,43
05090,33
05092,28
05093,43
05094,31
05095,42
05096,28
05097,34
05099,32
05100,40
05101,51
05102,41
05103,60
05104,59
05105,41
05106,53
05107,41
05108,30
05109,34
05110,44
05112,61
05113,44
05114,32
05115,38
05116,49
05117,47
05118,30
05119,50
05120,42
05121,20
05122,31
05123,26
05124,47
05125,44
05126,47
05127,38
05128,47
05129,46
05130,32
05131,45
05132,42
05133,46
05134,42
05135,31
05136,30
05138,23
05139,58
05140,34
05141,20
05142,34
05143,50
05144,37
05145,31
05147,37
05148,33
05149,53
05151,42
05152,45
05153,33
05154,34
05155,44
05156,37
05157,42
05158,52
05159,36
05160,50
05161,44
05162,55
05163,22
05164,46
05165,42
05166,28
05167,43
05168,23
05169,53
05170,30
05171,55
05172,42
05173,17
05174,49
05175,29
05176,27
05177,38
05178,49
05179,35
05180,38
05181,43
05182,43
05183,39
05184,41
05185,25
05186,38
05187,38
05188,63
05189,44
05190,61
05191,41
05192,35
05193,34
05194,47
05195,36
05196,57
05197,20
05198,46
05199,37
05200,50
05201,48
05204,43
05205,35
05206,33
05207,45
05208,60
05209,35
05210,50
05211,54
05212,44
05213,36
05214,39
05215,45
05216,55
05217,28
05218,44
05219,47
05220,25
05221,41
05222,46
05224,35
05225,36
05226,46
05227,36
05228,42
05229,30
05230,57
05231,19
05232,54
05233,45
05234,71
05235,52
05236,42
05237,55
05238,46
05239,43
05240,33
05241,36
05242,25
05243,61
05244,34
05245,25
05246,45
05247,38
05249,38
05251,52
05252,57
05253,45
05254,55
05256,36
05257,38
05258,44
05259,50
05260,48
05261,56
05262,43
05263,37
05264,31
05265,37
05266,44
05267,36
05901,54
05902,32
05903,55
05904,57
05905,42
06001,41
06002,43
06003,62
06004,43
06005,39
06006,48
06007,57
06008,51
06009,44
06010,57
06011,26
06012,37
06013,52
06014,49
06015,27
06016,55
06017,40
06018,47
06019,52
06020,53
06021,62
06022,54
06023,44
06024,38
06025,39
06026,35
06027,33
06028,46
06029,43
06030,51
06031,54
06032,48
06033,38
06034,42
06035,54
06036,42
06037,38
06038,52
06039,38
06040,42
06041,37
06042,39
06043,30
06044,26
06045,40
06046,46
06047,41
06048,47
06049,62
06050,48
06051,40
06052,36
06053,41
06054,42
06055,61
06056,48
06057,41
06058,39
06059,56
06060,35
06061,47
06062,47
06063,40
06064,43
06065,60
06066,48
06067,43
06068,55
06069,50
06070,43
06071,50
06072,37
06073,57
06074,37
06075,61
06076,37
06077,62
06078,43
06079,44
06080,40
06081,51
06082,40
06083,28
06084,49
06085,32
06086,45
06087,36
06088,34
06089,49
06090,47
06091,35
06092,48
06093,40
06094,45
06095,39
06096,44
06097,45
06098,34
06099,48
06100,44
06101,47
06102,44
06103,33
06104,39
06105,42
06106,33
06107,37
06108,44
06109,44
06110,62
06111,43
06112,40
06113,47
06114,48
06115,38
06116,50
06117,54
06118,46
06119,42
06120,38
06121,42
06122,37
06123,34
06124,39
06125,36
06126,44
06127,38
06128,28
06129,49
06130,48
06131,53
06132,40
06133,38
06134,39
06135,34
06136,47
06137,43
06138,39
06139,56
06140,45
06141,60
06142,49
06143,34
