Codigo Municipio,Nº Hogares si Internet,Nº Hogares no Internet
44001,*,30
40001,120,200
10001,45,80
27001,215,770
48001,1505,1190
31001,20,25
09001,*,15
26001,60,90
20001,60,55
19001,*,45
30001,1145,1370
50001,10,45
48002,2135,1795
30002,1740,2915
34001,*,15
31002,105,105
31003,10,50
31004,*,15
15001,615,1320
42001,35,140
44002,*,25
25001,30,35
02001,100,200
13001,180,440
31005,50,95
10002,55,150
49002,*,25
16001,*,35
34003,25,50
22001,55,50
22002,*,60
04001,165,435
19002,*,55
31006,535,480
08001,2985,1465
04002,135,415
37001,10,90
28001,10,25
24001,30,85
10003,65,245
16002,45,50
06001,115,200
10004,55,295
10005,55,235
50002,20,100
06002,660,1395
22003,25,50
47001,*,15
14001,595,870
05001,30,90
38001,12500,5965
46001,160,310
31007,30,45
19003,*,20
46002,230,315
04003,3725,4480
09003,30,75
40002,10,10
05002,535,520
42003,5,25
40003,15,75
03001,170,160
20002,80,100
35001,1245,985
37002,*,65
25002,100,160
36020,160,885
50003,30,45
26002,210,295
03002,855,850
25003,1170,870
42004,545,625
03003,100,160
18001,25,130
41001,265,590
50004,105,230
09006,*,35
47002,*,*
44003,*,5
44004,120,135
13002,240,535
22004,15,55
40004,115,165
09007,*,30
34004,1580,1410
47003,25,105
31008,20,35
14002,1630,3515
08002,*,*
44005,*,30
26003,65,185
30003,5895,6195
50005,*,105
35002,6650,4005
17001,175,150
46004,390,555
38002,150,285
10006,120,510
37003,*,70
37004,*,25
06003,120,305
20016,335,410
31009,155,170
46042,655,1055
46043,15,55
08014,465,465
43001,220,135
17002,185,70
03004,320,125
12002,20,50
22907,535,330
50006,230,250
22006,50,95
25038,385,445
20003,125,145
28002,1065,465
26004,*,35
48911,85,85
45001,400,400
44006,20,120
50007,*,35
47004,200,420
50008,1505,1160
10903,110,255
07002,2235,1495
21001,30,275
38003,315,420
29001,920,1080
37005,*,50
45002,525,680
28003,50,60
18002,55,240
37006,10,75
13003,70,165
19004,*,35
28004,1830,1085
25004,170,110
06004,220,525
41002,245,475
46005,6110,5420
34005,125,355
37007,80,160
50009,15,40
16003,40,35
19005,10,40
07001,1350,840
25005,50,80
02002,60,190
44007,15,85
34006,*,35
37008,865,1215
37009,15,100
02003,37410,25570
25006,95,55
46006,840,1460
41003,540,575
46007,3065,2770
10007,50,290
13004,240,365
16004,20,135
46008,585,840
46009,885,465
46010,205,275
22007,230,210
16005,40,95
19006,160,345
44008,360,490
22008,30,55
04004,145,225
23001,125,405
17003,35,15
19007,85,140
44009,205,195
45003,105,190
02004,35,260
25007,470,345
03005,2135,1985
22009,145,200
26005,670,640
16006,10,65
19008,*,15
44010,40,75
16007,240,465
37010,175,255
37011,15,50
46011,1530,2840
26006,535,520
50010,20,20
22011,25,30
22012,10,35
22013,60,60
25008,345,295
50011,20,55
25009,145,170
09009,40,50
43002,410,490
43003,90,70
20004,65,55
12003,160,370
04005,70,260
18003,4175,2155
18004,90,235
17004,180,90
46012,245,260
46013,5655,3420
02005,115,225
50012,25,25
05005,30,60
04006,1885,2110
30004,175,320
06005,290,510
46014,705,770
18005,45,130
18006,610,1900
18007,125,280
06006,745,1370
45004,115,165
02006,60,185
44011,15,20
50013,60,60
41004,15230,10860
22014,20,120
28005,47055,24810
44012,80,110
16008,10,50
11001,875,1230
50014,35,55
12004,1445,1850
02007,180,400
22015,20,120
41005,2010,2040
11002,825,1010
23002,4010,4670
03006,435,200
22016,105,210
26007,105,225
43004,1835,2245
25010,45,45
10008,250,380
30005,7800,7005
46016,210,305
16009,*,40
49003,150,295
44013,3345,3110
45005,40,100
14003,200,380
02008,195,395
25011,1960,1355
46015,1690,2175
29002,785,490
23003,1445,2895
45006,220,560
13005,6330,5680
16010,10,85
47005,70,210
30902,3005,2985
