Codigo Municipio,Nº Vehiculos
01001,1947
01002,6906
01003,1236
01004,1266
01006,205
01009,1363
01010,2583
01011,302
01013,785
01014,649
01016,534
01017,991
01018,1492
01019,144
01020,413
01021,573
01022,747
01023,295
01027,515
01028,1196
01030,170
01031,1640
01032,510
01033,704
01034,185
01036,11346
01037,694
01041,198
01042,927
01043,2511
01044,243
01046,806
01047,937
01049,130
01051,3406
01052,261
01053,778
01054,1061
01055,976
01056,322
01057,327
01058,1737
01059,147980
01060,214
01061,133
01062,341
01063,1802
01901,3268
01902,902
02001,814
02002,468
02003,118487
02004,707
02005,781
02006,575
02007,1318
02008,1373
02009,17493
02010,1865
02011,759
02012,1937
02013,133
02014,461
02015,1614
02016,681
02017,768
02018,1012
02019,2419
02020,455
02021,1185
02022,303
02023,600
02024,3788
02025,7719
02026,946
02027,310
02028,134
02029,3361
02030,3158
02031,647
02032,360
02033,2190
02034,1854
02035,2078
02036,103
02037,22199
02038,352
02039,979
02040,532
02041,424
02042,879
02043,1468
02044,1139
02045,4046
02046,1124
02047,85
02048,1515
02049,945
02050,104
02051,1949
02052,424
02053,3367
02054,405
02055,1272
02056,1838
02057,2441
02058,334
02059,269
02060,1377
02061,729
02062,486
02063,1486
02064,361
02065,443
02066,220
02067,1192
02068,333
02069,12573
02070,397
02071,986
02072,1633
02073,5358
02074,6483
02075,1569
02076,304
02077,36
02078,1188
02079,3345
02080,554
02081,20295
02082,141
02083,248
02084,365
02085,430
02086,2161
02901,1602
03001,559
03002,3938
03003,564
03004,1615
03005,7904
03006,1221
03007,229
03008,216
03009,40779
03010,372
03011,16067
03012,2356
03013,1380
03014,228563
03015,13321
03016,135
03017,422
03018,20898
03019,13379
03020,130
03021,6392
03022,199
03023,1516
03024,4308
03025,1285
03026,1451
03027,204
03028,1044
03029,438
03030,6303
03031,51593
03032,114
03033,162
03034,2563
03035,727
03036,83
03037,402
03038,390
03039,102
03040,415
03041,12414
03042,3847
03043,2495
03044,4305
03045,320
03046,2326
03047,18107
03048,6079
03049,11820
03050,17781
03051,302
03052,1094
03053,7620
03054,368
03055,5539
03056,8887
03057,294
03058,6495
03059,20631
03060,138
03061,1608
03062,459
03063,35601
03064,5458
03065,155616
03066,38597
03067,161
03068,54
03069,4498
03070,2397
03071,5123
03072,396
03073,247
03074,1789
03075,245
03076,10641
03077,2186
03078,929
03079,18167
03080,1600
03081,2497
03082,23781
03083,6214
03084,577
03085,886
03086,177
03088,5565
03089,9023
03090,15771
03091,482
03092,6678
03093,19500
03094,11863
03095,5307
03096,6271
03097,2119
03098,884
03099,62788
03100,937
03101,7191
03102,8781
03103,276
03104,23376
03105,6136
03106,764
03107,2957
03109,2823
03110,792
03111,5161
03112,14563
03113,12702
03114,2335
03115,388
03116,1090
03117,758
03118,7631
03119,17386
03120,5447
03121,19347
03122,37284
03123,6536
03124,612
03125,618
03127,571
03128,11828
03129,1436
03130,52
03131,341
03132,729
03133,54617
03134,163
03135,232
03136,543
03137,869
03138,3904
03139,22800
03140,22223
03901,2098
03902,14562
03903,3502
03904,1628
04001,1221
04002,1309
04003,17471
04004,644
04005,573
04006,10627
04007,634
04008,633
04009,137
04010,740
04011,3153
04012,193
04013,137806
04014,149
04015,118
04016,4459
04017,3217
04018,285
04019,226
04020,236
04021,181
04022,767
04023,111
04024,3082
04026,27
04027,278
04028,279
04029,11669
04030,1164
04031,3344
04032,6413
04033,90
04034,156
04035,12442
04036,253
04037,1661
04038,3072
04041,312
04043,529
04044,1984
04045,1862
04046,738
04047,2457
04048,2732
04049,5284
04050,844
04051,459
04052,13644
04053,15383
04054,420
04055,405
04056,110
04057,1445
04058,526
04059,1375
04060,577
04061,785
04062,5189
04063,1430
04064,6449
04065,448
04066,21695
04067,547
04068,168
04069,5653
04070,2311
04071,428
04072,662
04073,283
04074,3025
04075,7499
04076,1286
04077,242
04078,1236
04079,53616
04080,189
04081,375
04082,272
04083,2031
04084,317
04085,433
04086,2689
04087,193
04088,3190
04089,941
04090,388
04091,397
04092,3325
04093,2779
04094,214
04095,931
04096,313
04097,231
04098,1957
04099,6212
04100,10252
04101,5293
04102,17933
04103,2498
04901,505
04902,58884
04903,7571
05001,231
05002,1985
05005,186
05007,111
05008,214
05010,133
05012,140
05013,769
05014,5440
05015,59
05016,5875
05017,115
05018,23
05019,39727
05021,2117
05022,1727
05023,204
05024,208
05025,77
05026,211
05027,353
05029,124
05030,38
05033,145
05034,16
05035,93
05036,126
05037,190
05038,150
05039,50
05040,47
05041,1133
05042,213
05043,81
05044,345
05045,117
05046,69
05047,4347
05048,146
05049,458
05051,153
05052,85
05053,81
05054,1401
05055,592
05056,121
05057,2355
05058,92
05059,95
05060,145
05061,463
05062,191
05063,26
05064,140
05065,625
05066,457
05067,75
05069,114
05070,53
05072,101
05073,318
05074,966
05075,79
05076,476
05077,176
05078,155
05079,53
05080,63
05081,30
05082,509
05083,174
05084,47
05085,33
05086,106
05087,113
05088,32
05089,517
05090,93
05092,226
05093,512
05094,145
05095,285
05096,78
05097,419
05099,517
05100,297
05101,282
05102,1771
05103,51
05104,16
05105,346
05106,34
05107,56
05108,43
05109,453
05110,874
05112,95
05113,67
05114,1317
05115,627
05116,116
05117,255
05118,77
05120,36
05121,293
05122,132
05123,100
05124,98
05125,40
05126,60
05127,788
05128,365
05129,129
05130,78
05131,117
05132,943
05133,57
05134,64
05135,525
05136,95
05138,354
05139,97
05140,129
05141,118
05142,120
05143,68
05144,67
05145,35
05147,181
05148,26
05149,145
05151,71
05152,843
05153,94
05154,45
05155,35
05156,215
05157,221
05158,509
05159,171
05160,373
05161,691
05162,61
05163,1772
05164,27
05165,492
05166,217
05167,242
05168,4020
05169,246
05170,30
05171,59
05172,199
05173,86
05174,69
05175,150
05176,273
05177,167
05178,419
05179,293
05180,82
05181,42
05182,815
05183,163
05184,312
05185,98
05186,1671
05187,1831
05188,29
05189,482
05190,82
05191,139
05192,97
05193,181
05194,181
05195,282
05196,95
05197,114
05198,106
05199,42
05200,40
05201,549
05204,774
05205,93
05206,32
05207,557
05208,72
05209,49
05210,79
05211,427
05212,332
05213,97
