Codigo Municipio,Nº Conductores
44001,39
40001,538
48001,4594
10001,164
27001,1830
09001,15
20001,199
30001,3875
50001,48
48002,5760
34001,25
30002,7651
31003,98
31004,30
15001,3596
42001,175
44002,15
25001,104
02001,500
13001,839
31005,219
10002,262
49002,40
16001,30
34003,117
22001,176
22002,44
04001,625
19002,33
31006,1678
08001,7088
04002,680
37001,115
31001,77
19001,28
31002,331
28001,28
24001,106
10003,304
16002,160
06001,502
10004,524
10005,337
50002,93
06002,3332
22003,108
47001,43
14001,2598
05001,153
38001,17198
46001,582
31007,100
19003,20
46002,876
04003,13477
09003,119
40002,30
05002,1357
42003,48
40003,109
03001,285
20002,280
35001,2671
37002,69
36020,1663
26002,616
03002,2910
25003,3354
03003,381
18001,191
41001,1184
50004,408
09006,32
47002,11
44003,13
44004,375
13002,985
40004,361
09007,36
34004,4503
47003,171
31008,53
14002,7886
08002,156
44005,47
26003,291
50005,85
17001,497
46004,1631
38002,407
50003,107
22004,68
35002,14634
10006,856
37003,59
37004,13
06003,604
20016,1169
31009,512
46042,2888
46043,132
08014,1490
43001,501
17002,508
03004,355
50006,727
22006,142
25038,1435
20003,468
28002,2313
26004,24
48911,257
45001,1481
44006,180
50007,23
47004,857
50008,3851
10903,361
07002,5430
38003,723
29001,3153
37005,30
45002,2052
28003,116
18002,413
37006,72
13003,311
19004,31
25004,472
06004,1179
41002,1043
46005,17255
34005,584
37007,300
50009,70
16003,108
19005,79
07001,2963
02002,350
44007,124
34006,65
37008,3026
37009,112
02003,101310
25006,291
46006,4027
41003,1578
46007,9173
13004,775
16004,169
46008,2286
46009,2456
46010,568
22007,767
16005,182
19006,601
44008,1233
22008,143
10007,356
23001,604
17003,91
19007,275
44009,620
45003,465
02004,489
03005,6521
25007,1077
22009,538
26005,1890
16006,78
19008,19
44010,191
16007,1033
37010,521
37011,73
46011,6305
26006,1586
50010,58
22011,43
22012,65
22013,214
25008,1021
50011,92
25009,492
09009,142
43002,1381
43003,214
20004,204
12003,816
04005,332
18003,10777
18004,442
17004,440
46012,628
46013,13071
02005,454
50012,77
05005,135
04006,6356
30004,773
06005,1224
46014,2451
06006,3133
18006,3227
18007,477
18005,218
04004,326
45004,378
02006,400
44011,26
03006,613
12004,3990
50013,157
41004,41014
22014,144
28005,105175
44012,291
16008,61
11001,3236
50014,94
02007,795
22015,202
41005,6300
11002,2963
23002,13839
22016,475
26007,470
43004,5757
30005,23402
16009,45
25010,151
14003,859
02008,864
25011,4619
29002,1030
23003,6595
45006,958
47005,415
49003,618
44013,9304
45005,176
13006,422
28006,59686
19009,139
03007,107
09010,23
16011,16
04007,402
13007,918
22017,749
19010,8
45007,433
19011,182
41006,1939
03008,117
25012,1683
10009,164
42006,79
37012,108
40005,18
06007,1015
50015,57
16012,69
06008,420
12005,6688
28007,89401
44014,2240
19013,93
43005,2970
03009,36615
22018,222
42007,81
42008,34
49004,74
13008,346
46018,423
04009,27
12006,81
10010,1476
46016,868
46015,5654
10008,882
13005,17135
16010,108
30902,7091
04008,251
07003,9620
46020,3154
46019,7268
46021,17477
47006,150
35020,4631
10012,378
28008,1222
37015,158
10013,186
13009,1057
45008,80
40012,207
43904,2784
10011,389
37013,59
37014,628
42009,58
40006,12
37016,392
40007,43
40008,37
42010,16
42011,5
42012,13
47007,2441
45009,289
26008,1589
37017,149
19015,22
40009,20
37018,52
10014,1376
45010,210
05007,65
10015,412
40010,87
23004,268
37019,86
37020,274
05008,169
37021,64
37022,185
40013,46
37023,838
37024,68
40014,30
10016,259
37025,178
50016,12
42013,18
37026,119
40015,16
05010,97
42014,32
18010,348
40016,38
43006,545
30006,637
20005,1023
01001,1664
43007,499
08003,6345
42015,14
22019,155
26009,340
26010,63
18011,3302
46022,11521
03010,245
50017,1360
44016,363
50018,809
43008,227
46024,306
46025,1904
49005,72
29003,625
29004,215
26011,5987
46026,970
46027,865
25013,1790
46023,268
12007,567
43009,1007
50019,40
27002,1552
09011,51
39001,1650
09907,1123
09012,78
03011,8385
22020,83
25014,206
41007,8407
24002,182
07004,3033
11003,989
19016,26
46028,281
18012,1777
16013,15
29005,3211
29006,510
11004,66876
46029,16702
25015,286
28009,11714
46030,588
12008,161
46031,9084
11005,3268
49006,105
