Codigo Municipio,Total impuestos (Millones euros)
01000,2025.481106
02000,8.78408
03000,37.10704
04000,14.45768
05000,3.74031
06000,11.92727
08000,171.371
09000,11.63487
10000,7.92117
11000,33.209331399999996
12000,17.72493
13000,10.26195
14000,16.80968
15000,28.33128598
16000,4.42034213
17000,22.78667
18000,18.41615
19000,6.90897
20000,3907.329018
21000,11.63959
22000,7.38642
23000,12.99950974
24000,12.44316808
25000,13.32701
27000,8.71106
29000,36.8375767
32000,8.15599839
34000,4.61507
36000,20.70241
37000,10.03205
40000,4.2588
41000,41.90280125
42000,2.13018
43000,23.15489
44000,4.04108
45000,15.54894
46000,59.10912044
47000,13.64343
48000,6558.215324
49000,4.1382
50000,27.9658088
01001,0.0
01001,0.8287326700000001
02001,0.20007561999999998
03001,0.1363
04001,0.5161
05001,0.0
06001,0.13087593
07001,3.35804
07001,1.97624
08001,0.0
08001,6.21011612
09001,0.011122
10001,0.06357597
11001,2.55061584
12001,0.27275
13001,0.35041046000000003
14001,1.2
15001,0.83
16001,0.01735
17001,0.0
17001,0.25852725
18001,0.02866498
19001,0.0
20001,0.05577045
21001,0.10914
22001,0.0
22001,0.0683
23001,0.0
24001,0.0
24001,0.0574
25001,0.0
25001,0.037028519999999995
26001,0.113
27001,1.03379
28001,0.0625
29001,1.00880688
30001,1.720001
31001,0.0255
32001,1.29635
33001,0.424222
34001,0.01706
35001,23.29468257
35001,1.66000792
36001,0.5392
37001,0.02439752
38001,12.91231966
38001,28.32042066
39001,0.8463
40001,0.257
41001,0.3433
42001,0.0925
43001,0.0
43001,0.33767503000000004
44001,0.016975
45001,0.51774052
46001,0.23334839999999998
47001,0.014
48001,0.0
50001,0.0126
51001,0.131309
52001,0.080988
01002,0.0
01002,3.579797
02002,0.221627
03002,1.75248061
04002,0.2082
05002,1.06951802
06002,1.1284198900000002
07002,25.35379031
07002,4.7969
08002,0.0
08002,0.803
10002,0.22842468
11002,0.93877208
12002,0.053864
13002,0.3012
14002,3.29016314
15002,9.25
16002,0.0517
17002,0.0
17002,0.56439043
18002,0.07875
19002,0.0
20002,0.271
21002,0.0
22002,0.0
22002,0.173
23002,5.16413079
24002,0.0574
25002,0.0
25002,0.27759209999999995
26002,1.751
27002,0.27296545
28002,2.45101
29002,0.55650061
30002,3.476349
31002,0.117846
32002,0.42741354
33002,3.210421
35002,125.81633015
35002,10.15124404
36002,0.6124
37002,0.0
38002,11.095098260000002
38002,0.1628
39002,0.96
40002,0.0
41002,0.38536736
43002,0.0
43002,1.1359
44002,0.0
45002,0.81710786
46002,0.0
46002,0.74591
47002,0.01403
48002,4.586959
49002,0.01276193
50002,0.03530537
01003,0.0
01003,0.6164618000000001
02003,67.41335158
03003,0.11341035000000001
04003,5.709
06003,0.186
07003,2.6892298500000003
07003,13.006269
08003,75.85446591
08003,0.0
08003,5.9879
09003,0.0448
10003,0.0
11003,0.316
12003,0.2626
13003,0.07552851
14003,0.506
15003,0.36
16003,0.1205
17003,0.0
17003,0.043
18003,7.27041991
19003,0.009
20003,0.236
21003,0.519011
22003,0.0
22003,0.0348
23003,2.5774
24003,0.13303344
25003,0.0
25003,2.2297
26003,0.13436467000000002
27003,0.223
28003,0.0
29003,0.267
30003,11.959725
31003,0.0
32003,0.253
33003,0.1283485
34003,0.027
35003,29.15816346
35003,6.8
36003,3.3622303799999997
37003,0.0269
38003,17.227935
38003,0.4433
39003,0.10746346000000001
40003,0.052
41003,0.63982239
42003,0.12003024000000001
43003,0.0
43003,0.1046
44003,0.0052
45003,0.1836
46003,0.0
46003,0.437
47003,0.0849
48003,6.8001537999999995
49003,0.275
50003,0.0
50003,0.03288204
01004,0.0
01004,0.41293969
02004,0.07301469000000001
03004,0.229921
04004,0.1892
