Codigo Municipio,Superficie (Ha) Agricolas,Nº Explotaciones Agrícolas
44001,5139.259999999999,28.0
40001,3095.9200000000005,125.0
10001,2367.6800000000003,38.0
27001,12075.820000000014,879.0
48001,988.119999999999,227.0
31001,480.92,27.0
09001,2810.3600000000006,15.0
26001,959.78,85.0
20001,779.2399999999998,79.0
19001,804.42,9.0
30001,7624.740000000004,908.0
50001,1338.6100000000001,
48002,515.7499999999998,125.0
30002,2336.629999999999,501.0
34001,819.8599999999999,13.0
31002,1456.3000000000002,43.0
31003,1982.06,45.0
31004,999.3499999999999,21.0
15001,4345.8600000000015,659.0
42001,640.2799999999999,13.0
44002,7051.38,17.0
25001,3693.120000000001,42.0
02001,3046.459999999999,199.0
13001,34339.21,383.0
31005,2678.65,46.0
10002,4429.76,103.0
49002,2167.8499999999995,53.0
16001,2531.1200000000003,38.0
34003,2350.5400000000013,34.0
22001,3500.700000000001,76.0
22002,1605.6699999999998,42.0
04001,629.38,97.0
19002,269.52,3.0
31006,6758.079999999998,258.0
08001,568.9900000000001,16.0
04002,4738.68,292.0
37001,1670.8,22.0
28001,1415.96,7.0
24001,5104.27,46.0
10003,845.2800000000002,97.0
16002,2075.2399999999993,53.0
06001,6108.170000000001,248.0
10004,4994.490000000001,85.0
10005,2224.9,142.0
50002,1184.6200000000001,84.0
06002,5256.47,357.0
22003,2327.2,77.0
47001,1806.37,27.0
14001,26630.49,1094.0
05001,2929.3499999999995,51.0
38001,710.2299999999998,156.0
46001,7452.12,176.0
31007,1114.99,24.0
19003,841.18,6.0
46002,595.95,322.0
04003,2771.469999999999,1247.0
05002,3188.34,90.0
09003,966.3500000000001,16.0
40002,818.73,13.0
42003,4763.620000000002,46.0
40003,1907.13,47.0
03001,408.5100000000001,173.0
20002,178.05999999999997,50.0
35001,350.85,49.0
37002,2166.17,36.0
25002,6161.890000000003,174.0
36020,7617.520000000006,859.0
50003,1003.1799999999998,43.0
26002,1399.6599999999999,91.0
03002,1431.6,297.0
25003,9312.940000000006,384.0
42004,7009.580000000003,299.0
03003,1462.7199999999998,170.0
18001,1542.2,63.0
41001,533.7,68.0
50004,2391.7599999999993,265.0
09006,1091.75,14.0
47002,2573.27,30.0
44003,2189.3599999999997,11.0
44004,1160.76,47.0
13002,18373.17000000001,505.0
22004,896.11,35.0
40004,1678.2300000000005,113.0
09007,1254.0100000000002,31.0
34004,20185.390000000018,229.0
47003,5137.690000000001,70.0
31008,983.46,30.0
08002,2653.0,59.0
14002,13878.419999999993,877.0
44005,1321.0800000000006,22.0
26003,4719.55,89.0
30003,9336.909999999998,598.0
50005,3465.04,77.0
35002,1142.4399999999998,172.0
17001,578.5899999999999,34.0
46004,668.8399999999999,131.0
38002,175.19000000000005,96.0
10006,3812.180000000001,355.0
37004,1697.6999999999998,23.0
37003,2150.1,48.0
06003,1655.2499999999998,90.0
20016,2799.6099999999983,310.0
31009,3654.9199999999987,149.0
46042,1208.9600000000003,269.0
46043,271.46000000000004,73.0
08014,162.44,3.0
43001,3623.400000000002,193.0
17002,670.0399999999998,35.0
03004,61.87,23.0
12002,119.97,25.0
22907,10416.000000000005,224.0
50006,2194.5499999999993,177.0
22006,7870.03,31.0
25038,3763.250000000002,365.0
20003,316.55,58.0
28002,1802.97,31.0
26004,4680.85,9.0
48911,468.4699999999997,105.0
45001,2222.61,122.0
44006,2729.28,79.0
50007,528.84,36.0
47004,8700.15,253.0
50008,1936.3700000000001,179.0
07002,6607.840000000002,185.0
21001,2692.19,47.0
38003,130.48,32.0
29001,4468.220000000001,257.0
37005,1095.2000000000003,32.0
45002,3153.7299999999996,60.0
28003,2182.7799999999997,25.0
18002,6862.210000000001,188.0
37006,1224.32,27.0
13003,4207.069999999999,111.0
19004,1095.58,32.0
28004,860.4300000000002,67.0
25004,1594.95,127.0
06004,8710.179999999998,173.0
41002,20698.55,436.0
46005,52.78,27.0
34005,3793.5499999999993,64.0
37007,3627.79,102.0
50009,910.0399999999998,49.0
16003,11596.689999999993,90.0
19005,1506.1300000000003,40.0
07001,2268.91,148.0
25005,1259.45,41.0
02002,3510.2599999999984,182.0
44007,3227.9900000000002,79.0
34006,3413.9900000000002,40.0
37008,4356.87,145.0
37009,1674.1899999999998,42.0
02003,112129.80000000006,1406.0
25006,2326.170000000001,214.0
46006,1362.4300000000007,224.0
41003,686.67,79.0
46007,304.24000000000007,141.0
10007,3765.46,188.0
13004,3081.7999999999984,447.0
16004,4177.450000000002,118.0
46008,1097.8300000000002,508.0
46009,275.54999999999995,165.0
46010,266.1700000000001,161.0
22007,3547.619999999999,209.0
19006,2017.1599999999996,51.0
16005,2192.769999999999,115.0
44008,19540.22,402.0
22008,909.8,17.0
04004,1186.54,140.0
23001,2684.6800000000003,285.0
17003,3798.32,38.0
19007,2558.8299999999995,102.0
44009,9187.449999999999,76.0
45003,3347.0200000000004,80.0
02004,2177.7400000000007,179.0
25007,779.6299999999999,89.0
03005,2291.1900000000005,701.0
22009,4203.169999999999,330.0
26005,890.6599999999999,156.0
16006,2158.320000000001,65.0
19008,1079.33,7.0
44010,2894.88,76.0
37010,241.29,33.0
16007,10208.600000000002,335.0
37011,2032.9599999999998,38.0
46011,1726.2099999999998,775.0
26006,1401.1899999999994,145.0
50010,779.44,26.0
22011,1657.9799999999996,27.0
22012,1543.1999999999998,52.0
22013,2176.1799999999994,57.0
25008,3082.050000000002,304.0
50011,186.55000000000004,
25009,2542.4399999999996,206.0
09009,977.9600000000004,34.0
43002,632.0700000000003,97.0
43003,159.5,19.0
20004,339.8,56.0
12003,5105.440000000001,393.0
04005,2704.899999999999,204.0
18003,5393.399999999999,224.0
18004,1442.4499999999996,252.0
17004,602.5899999999998,33.0
46012,422.29999999999995,113.0
46013,530.84,195.0
02005,3525.7100000000014,187.0
50012,302.17999999999995,
05005,1403.4599999999996,61.0
04006,6875.589999999998,711.0
30004,812.1899999999999,116.0
06005,1837.29,55.0
46014,228.58999999999997,158.0
06006,55958.62999999993,611.0
18005,482.40999999999997,71.0
18006,1851.6799999999987,789.0
18007,3290.6200000000003,315.0
45004,733.07,
02006,6003.560000000001,131.0
44011,4636.759999999999,12.0
50013,881.5900000000001,54.0
41004,22927.469999999994,323.0
22014,6270.31,59.0
28005,1808.82,41.0
50014,493.64,52.0
12004,4213.8499999999985,805.0
44012,6588.9400000000005,61.0
16008,508.59,27.0
11001,23355.58000000001,300.0
02007,12862.28,327.0
22015,4558.5199999999995,106.0
41005,7598.099999999998,315.0
11002,4479.93,394.0
23002,18663.100000000013,2958.0
03006,435.8000000000001,146.0
22016,4259.910000000001,238.0
26007,2401.91,147.0
43004,1764.3300000000008,407.0
25010,1602.6999999999996,87.0
10008,31319.440000000002,290.0
30005,249.67999999999995,95.0
46016,203.83999999999997,137.0
16009,1840.4599999999998,17.0
14003,11927.039999999995,385.0
02008,26687.940000000013,412.0
25011,10319.34000000001,614.0
46015,584.3000000000001,310.0
29002,2593.139999999999,333.0
23003,18560.399999999994,2302.0
45006,12435.45,228.0
13005,56202.699999999975,1689.0
16010,4400.830000000001,95.0
47005,3767.120000000001,75.0
30902,711.26,50.0
49003,3283.1599999999994,70.0
44013,29950.31,715.0
45005,1239.1,42.0
13006,11658.239999999998,218.0
28006,644.23,11.0
19009,3655.1,88.0
03007,93.74,27.0
09010,648.41,9.0
16011,849.5799999999999,26.0
04007,2428.58,169.0
13007,5020.880000000001,219.0
22017,5548.27,184.0
45007,5747.920000000002,220.0
19010,478.38999999999993,13.0
19011,5169.94,58.0
41006,3339.3,210.0
03008,383.99000000000007,93.0
25012,794.95,105.0
10009,5949.929999999999,66.0
42006,4833.95,69.0
37012,1667.5600000000002,32.0
40005,1320.14,29.0
06007,23707.840000000004,257.0
50015,3389.5700000000006,27.0
16012,3790.05,49.0
06008,2396.64,114.0
04008,3717.6999999999994,141.0
12005,2043.3900000000006,296.0
28007,414.74,16.0
44014,7554.560000000003,410.0
19013,3061.4900000000002,25.0
43005,1993.7799999999993,384.0
03009,3920.7000000000007,193.0
22018,4884.239999999996,93.0
42007,4015.5999999999995,71.0
49004,1074.5500000000002,54.0
42008,3235.13,33.0
13008,4858.729999999999,232.0
46018,1158.8299999999997,189.0
07003,2678.2799999999997,135.0
46019,1562.5,870.0
46020,258.06999999999994,81.0
04009,214.3,25.0
12006,743.6100000000001,67.0
10010,10381.63,392.0
46021,384.99000000000007,164.0
43904,1341.3999999999992,267.0
40012,1857.259999999999,94.0
47006,1155.37,26.0
35020,2688.7000000000003,332.0
10012,2702.7,64.0
28008,3565.1500000000005,35.0
37015,2925.2300000000005,44.0
10013,2211.8499999999995,37.0
13009,13124.660000000002,419.0
45008,2063.6499999999996,39.0
10011,9942.189999999997,126.0
37013,3060.89,65.0
37014,2069.3399999999992,285.0
42009,3857.99,54.0
40006,694.8800000000001,7.0
37016,456.06000000000006,32.0
40007,1373.28,24.0
40008,1982.0799999999997,23.0
42010,579.72,10.0
42011,272.56,7.0
42012,733.88,19.0
47007,1843.8000000000002,78.0
45009,5004.039999999999,326.0
26008,2893.609999999999,284.0
37017,4368.000000000003,86.0
19015,1091.53,39.0
45010,3285.56,126.0
05007,493.5,37.0
