Codigo Municipio,Nº Explotaciones Ganaderas
44001,9.0
40001,35.0
10001,18.0
27001,1602.0
48001,213.0
31001,2.0
09001,2.0
26001,2.0
20001,74.0
30001,54.0
50001,4.0
48002,130.0
30002,19.0
34001,3.0
31002,16.0
31003,31.0
31004,19.0
15001,747.0
42001,7.0
44002,1.0
25001,30.0
02001,8.0
13001,158.0
31005,3.0
10002,54.0
49002,4.0
16001,4.0
34003,2.0
22001,13.0
22002,16.0
04001,17.0
19002,1.0
31006,20.0
08001,7.0
04002,37.0
37001,17.0
28001,3.0
24001,48.0
10003,25.0
16002,2.0
06001,37.0
10004,63.0
10005,36.0
50002,2.0
06002,22.0
22003,20.0
47001,3.0
14001,241.0
05001,10.0
38001,53.0
46001,19.0
31007,4.0
19003,3.0
46002,1.0
04003,57.0
05002,52.0
09003,2.0
40002,8.0
42003,2.0
40003,9.0
03001,4.0
20002,47.0
35001,39.0
37002,23.0
25002,32.0
36020,898.0
50003,2.0
26002,13.0
03002,19.0
25003,101.0
42004,60.0
03003,9.0
18001,3.0
41001,12.0
50004,5.0
09006,2.0
47002,4.0
44003,4.0
44004,20.0
13002,169.0
22004,3.0
40004,27.0
34004,60.0
47003,24.0
31008,1.0
08002,22.0
14002,12.0
44005,11.0
26003,22.0
30003,82.0
50005,4.0
35002,159.0
17001,18.0
46004,5.0
38002,26.0
10006,102.0
37004,17.0
37003,23.0
06003,41.0
20016,405.0
31009,19.0
46042,3.0
46043,3.0
43001,6.0
17002,12.0
12002,1.0
22907,144.0
50006,12.0
22006,18.0
25038,17.0
20003,71.0
28002,5.0
26004,11.0
48911,70.0
45001,14.0
44006,24.0
50007,3.0
47004,35.0
50008,22.0
07002,237.0
21001,65.0
38003,21.0
29001,14.0
37005,23.0
28003,25.0
18002,14.0
37006,26.0
13003,48.0
19004,1.0
28004,1.0
25004,24.0
06004,59.0
41002,228.0
34005,12.0
37007,61.0
16003,16.0
19005,6.0
07001,79.0
25005,29.0
02002,19.0
44007,29.0
34006,9.0
37008,77.0
37009,46.0
02003,159.0
25006,14.0
46006,3.0
41003,2.0
46007,4.0
10007,89.0
13004,9.0
16004,12.0
46008,4.0
46009,1.0
46010,5.0
22007,40.0
19006,7.0
16005,8.0
44008,30.0
22008,13.0
04004,4.0
23001,11.0
17003,16.0
19007,10.0
44009,46.0
45003,6.0
02004,23.0
25007,7.0
03005,13.0
22009,110.0
26005,24.0
16006,4.0
19008,2.0
44010,16.0
37010,11.0
16007,18.0
37011,23.0
46011,6.0
26006,9.0
50010,1.0
22011,2.0
22012,5.0
22013,12.0
25008,32.0
25009,16.0
09009,8.0
43002,6.0
43003,2.0
20004,64.0
12003,67.0
04005,7.0
18003,17.0
18004,37.0
17004,23.0
46012,8.0
46013,8.0
02005,6.0
50012,2.0
05005,28.0
04006,118.0
30004,8.0
06005,4.0
46014,2.0
06006,685.0
18005,21.0
18006,48.0
18007,61.0
45004,2.0
02006,27.0
44011,6.0
50013,12.0
41004,78.0
22014,7.0
28005,9.0
50014,3.0
12004,48.0
44012,24.0
16008,5.0
11001,303.0
02007,21.0
22015,23.0
41005,10.0
11002,31.0
23002,198.0
03006,6.0
22016,72.0
26007,11.0
43004,17.0
25010,4.0
10008,230.0
30005,11.0
46016,1.0
16009,2.0
14003,170.0
02008,79.0
25011,188.0
46015,1.0
29002,40.0
23003,41.0
45006,41.0
13005,84.0
16010,3.0
47005,5.0
49003,51.0
44013,110.0
45005,26.0
13006,58.0
28006,8.0
19009,5.0
09010,5.0
16011,2.0
04007,23.0
13007,31.0
22017,50.0
45007,78.0
19010,2.0
19011,7.0
41006,33.0
03008,5.0
25012,9.0
10009,49.0
42006,13.0
37012,8.0
40005,10.0
06007,271.0
50015,11.0
16012,6.0
06008,64.0
04008,22.0
12005,25.0
28007,4.0
44014,53.0
19013,8.0
43005,32.0
03009,32.0
22018,44.0
42007,12.0
49004,13.0
13008,9.0
46018,14.0
07003,107.0
46019,3.0
46020,5.0
12006,5.0
10010,93.0
46021,14.0
43904,34.0
