COD_INE;ID_REL;COD_GEO;COD_PROV;PROVINCIA;NOMBRE_ACTUAL;POBLACION_MUNI;SUPERFICIE;PERIMETRO;COD_INE_CAPITAL;CAPITAL;POBLACION_CAPITAL;HOJA_MTN25_ETRS89;LONGITUD_ETRS89;LATITUD_ETRS89;ORIGENCOOR;ALTITUD;ORIGENALTITUD
1001000000;1010014;1010;1;Araba/Álava;Alegría-Dulantzi;2925;1994,5872;35069;1001000101;Alegría-Dulantzi;2813;0113-3;-2,51243731;42,83981158;Mapa;568;MDT
1002000000;1010029;1020;1;Araba/Álava;Amurrio;10307;9629,68;65381;1002000201;Amurrio;9221;0086-4;-3,00007326;43,05427776;Mapa;219;MDT
1003000000;1010035;1030;1;Araba/Álava;Aramaio;1456;7302,1;42081;1003000601;Ibarra;799;0087-4;-2,56540037;43,05119653;Mapa;333;MDT
1004000000;1010040;1040;1;Araba/Álava;Artziniega;1809;2728,73;22886;1004000101;Artziniega;1683;0086-1;-3,12791718;43,12084358;Mapa;210;MDT
1006000000;1010066;1060;1;Araba/Álava;Armiñón;231;1297,27;24707;1006000101;Armiñón;112;0137-4;-2,87183475;42,72326199;Mapa;467;MDT
1008000000;1010088;1080;1;Araba/Álava;Arratzua-Ubarrundia;1017;5755,98;67101;1008000501;Durana;363;0112-4;-2,63878816;42,89116171;Mapa;528;MDT
1009000000;1010091;1090;1;Araba/Álava;Asparrena;1633;6533,64;53712;1009000401;Araia;1243;0113-4;-2,31670754;42,88968768;Mapa;602;MDT
1010000000;1010105;1100;1;Araba/Álava;Ayala/Aiara;2951;14096,94;64211;1010002001;Arespalditza/Respaldiza;423;0086-3;-3,04306746;43,07768283;Mapa;306;MDT
1011000000;1010112;1110;1;Araba/Álava;Baños de Ebro/Mañueta;287;950,39;18666;1011000101;Baños de Ebro/Mañueta;287;0170-4;-2,67863583;42,52925602;Mapa;421;MDT
1013000000;1010133;1130;1;Araba/Álava;Barrundia;895;9742,34;57432;1013001401;Ozaeta;203;0113-3;-2,49407452;42,91537538;Mapa;575;MDT
1014000000;1010148;1140;1;Araba/Álava;Berantevilla;465;3574,75;38696;1014000101;Berantevilla;316;0137-4;-2,85971414;42,68227191;Mapa;471;MDT
1016000000;1010164;1160;1;Araba/Álava;Bernedo;538;13048,2;85964;1016000301;Bernedo;162;0171-1;-2,49825439;42,62676989;Mapa;710;MDT
1017000000;1010170;1170;1;Araba/Álava;Campezo/Kanpezu;1081;8536,0875;53461;1017000501;Santa Cruz de Campezo/Santikurutze Kanpezu;795;0139-4;-2,35207693;42,66971209;Mapa;578;MDT
