Nombre Provincia,Codigo Provincia,Nombre Municipio,Codigo Municipio
Araba/Álava,01,Agurain/Salvatierra,01051
Araba/Álava,01,Alegría-Dulantzi,01001
Araba/Álava,01,Amurrio,01002
Araba/Álava,01,Añana,01049
Araba/Álava,01,Aramaio,01003
Araba/Álava,01,Armiñón,01006
Araba/Álava,01,Arraia-Maeztu,01037
Araba/Álava,01,Arratzua-Ubarrundia,01008
Araba/Álava,01,Artziniega,01004
Araba/Álava,01,Asparrena,01009
Araba/Álava,01,Ayala/Aiara,01010
Araba/Álava,01,Baños de Ebro/Mañueta,01011
Araba/Álava,01,Barrundia,01013
Araba/Álava,01,Berantevilla,01014
Araba/Álava,01,Bernedo,01016
Araba/Álava,01,Campezo/Kanpezu,01017
Araba/Álava,01,Elburgo/Burgelu,01021
Araba/Álava,01,Elciego,01022
Araba/Álava,01,Elvillar/Bilar,01023
Araba/Álava,01,Erriberabeitia,01047
Araba/Álava,01,Erriberagoitia/Ribera Alta,01046
Araba/Álava,01,Harana/Valle de Arana,01056
Araba/Álava,01,Iruña Oka/Iruña de Oca,01901
Araba/Álava,01,Iruraiz-Gauna,01027
Araba/Álava,01,Kripan,01019
Araba/Álava,01,Kuartango,01020
Araba/Álava,01,Labastida/Bastida,01028
Araba/Álava,01,Lagrán,01030
Araba/Álava,01,Laguardia,01031
Araba/Álava,01,Lanciego/Lantziego,01032
Araba/Álava,01,Lantarón,01902
Araba/Álava,01,Lapuebla de Labarca,01033
Araba/Álava,01,Laudio/Llodio,01036
Araba/Álava,01,Legutio,01058
Araba/Álava,01,Leza,01034
Araba/Álava,01,Moreda de Álava/Moreda Araba,01039
Araba/Álava,01,Navaridas,01041
Araba/Álava,01,Okondo,01042
Araba/Álava,01,Oyón-Oion,01043
Araba/Álava,01,Peñacerrada-Urizaharra,01044
Araba/Álava,01,Samaniego,01052
Araba/Álava,01,San Millán/Donemiliaga,01053
Araba/Álava,01,Urkabustaiz,01054
Araba/Álava,01,Valdegovía/Gaubea,01055
Araba/Álava,01,Villabuena de Álava/Eskuernaga,01057
Araba/Álava,01,Vitoria-Gasteiz,01059
Araba/Álava,01,Yécora/Iekora,01060
Araba/Álava,01,Zalduondo,01061
Araba/Álava,01,Zambrana,01062
Araba/Álava,01,Zigoitia,01018
Araba/Álava,01,Zuia,01063
Albacete,02,Abengibre,02001
Albacete,02,Alatoz,02002
Albacete,02,Albacete,02003
Albacete,02,Albatana,02004
Albacete,02,Alborea,02005
Albacete,02,Alcadozo,02006
Albacete,02,Alcalá del Júcar,02007
Albacete,02,Alcaraz,02008
Albacete,02,Almansa,02009
Albacete,02,Alpera,02010
Albacete,02,Ayna,02011
Albacete,02,Balazote,02012
Albacete,02,"Ballestero, El",02014
Albacete,02,Balsa de Ves,02013
Albacete,02,Barrax,02015
Albacete,02,Bienservida,02016
Albacete,02,Bogarra,02017
Albacete,02,Bonete,02018
Albacete,02,"Bonillo, El",02019
Albacete,02,Carcelén,02020
Albacete,02,Casas de Juan Núñez,02021
Albacete,02,Casas de Lázaro,02022
Albacete,02,Casas de Ves,02023
Albacete,02,Casas-Ibáñez,02024
Albacete,02,Caudete,02025
Albacete,02,Cenizate,02026
Albacete,02,Chinchilla de Monte-Aragón,02029
Albacete,02,Corral-Rubio,02027
Albacete,02,Cotillas,02028
Albacete,02,Elche de la Sierra,02030
Albacete,02,Férez,02031
Albacete,02,Fuensanta,02032
Albacete,02,Fuente-Álamo,02033
Albacete,02,Fuentealbilla,02034
Albacete,02,"Gineta, La",02035
Albacete,02,Golosalvo,02036
Albacete,02,Hellín,02037
Albacete,02,"Herrera, La",02038
Albacete,02,Higueruela,02039
Albacete,02,Hoya-Gonzalo,02040
Albacete,02,Jorquera,02041
Albacete,02,Letur,02042
Albacete,02,Lezuza,02043
Albacete,02,Liétor,02044
Albacete,02,Madrigueras,02045
Albacete,02,Mahora,02046
Albacete,02,Masegoso,02047
Albacete,02,Minaya,02048
Albacete,02,Molinicos,02049
Albacete,02,Montalvos,02050
Albacete,02,Montealegre del Castillo,02051
Albacete,02,Motilleja,02052
Albacete,02,Munera,02053
Albacete,02,Navas de Jorquera,02054
Albacete,02,Nerpio,02055
Albacete,02,Ontur,02056
Albacete,02,Ossa de Montiel,02057
Albacete,02,Paterna del Madera,02058
Albacete,02,Peñas de San Pedro,02060
Albacete,02,Peñascosa,02059
Albacete,02,Pétrola,02061
Albacete,02,Povedilla,02062
Albacete,02,Pozo Cañada,02901
Albacete,02,Pozohondo,02063
Albacete,02,Pozo-Lorente,02064
Albacete,02,Pozuelo,02065
Albacete,02,"Recueja, La",02066
Albacete,02,Riópar,02067
Albacete,02,Robledo,02068
Albacete,02,"Roda, La",02069
Albacete,02,Salobre,02070
Albacete,02,San Pedro,02071
Albacete,02,Socovos,02072
Albacete,02,Tarazona de la Mancha,02073
Albacete,02,Tobarra,02074
Albacete,02,Valdeganga,02075
Albacete,02,Vianos,02076
Albacete,02,Villa de Ves,02077
Albacete,02,Villalgordo del Júcar,02078
Albacete,02,Villamalea,02079
Albacete,02,Villapalacios,02080
Albacete,02,Villarrobledo,02081
Albacete,02,Villatoya,02082
Albacete,02,Villavaliente,02083
Albacete,02,Villaverde de Guadalimar,02084
Albacete,02,Viveros,02085
Albacete,02,Yeste,02086
Alicante/Alacant,03,Agost,03002
Alicante/Alacant,03,Agres,03003
Alicante/Alacant,03,Aigües,03004
Alicante/Alacant,03,Albatera,03005
Alicante/Alacant,03,Alcalalí,03006
Alicante/Alacant,03,Alcoleja,03008
Alicante/Alacant,03,Alcosser,03007
Alicante/Alacant,03,Alcoy/Alcoi,03009
Alicante/Alacant,03,Alfafara,03010
Alicante/Alacant,03,"Alfàs del Pi, l'",03011
Alicante/Alacant,03,Algorfa,03012
Alicante/Alacant,03,Algueña,03013
Alicante/Alacant,03,Alicante/Alacant,03014
Alicante/Alacant,03,Almoradí,03015
Alicante/Alacant,03,Almudaina,03016
Alicante/Alacant,03,"Alqueria d'Asnar, l'",03017
Alicante/Alacant,03,Altea,03018
Alicante/Alacant,03,Aspe,03019
Alicante/Alacant,03,"Atzúbia, l'",03001
Alicante/Alacant,03,Balones,03020
Alicante/Alacant,03,Banyeres de Mariola,03021
Alicante/Alacant,03,Benasau,03022
Alicante/Alacant,03,Beneixama,03023
Alicante/Alacant,03,Benejúzar,03024
Alicante/Alacant,03,Benferri,03025
Alicante/Alacant,03,Beniarbeig,03026
Alicante/Alacant,03,Beniardá,03027
Alicante/Alacant,03,Beniarrés,03028
