Totales Territoriales;Provincias;Municipios;Grupos CNAE;Periodo;Total
Total Nacional;01 Araba/Álava;01001 Alegría-Dulantzi;Total;2020;155
Total Nacional;01 Araba/Álava;01002 Amurrio;Total;2020;601
Total Nacional;01 Araba/Álava;01003 Aramaio;Total;2020;46
Total Nacional;01 Araba/Álava;01004 Artziniega;Total;2020;104
Total Nacional;01 Araba/Álava;01006 Armiñón;Total;2020;15
Total Nacional;01 Araba/Álava;01008 Arratzua-Ubarrundia;Total;2020;68
Total Nacional;01 Araba/Álava;01009 Asparrena;Total;2020;82
Total Nacional;01 Araba/Álava;01010 Ayala/Aiara;Total;2020;159
Total Nacional;01 Araba/Álava;01011 Baños de Ebro/Mañueta;Total;2020;38
Total Nacional;01 Araba/Álava;01013 Barrundia;Total;2020;59
Total Nacional;01 Araba/Álava;01014 Berantevilla;Total;2020;45
Total Nacional;01 Araba/Álava;01016 Bernedo;Total;2020;26
Total Nacional;01 Araba/Álava;01017 Campezo/Kanpezu;Total;2020;56
Total Nacional;01 Araba/Álava;01018 Zigoitia;Total;2020;127
Total Nacional;01 Araba/Álava;01019 Kripan;Total;2020;5
Total Nacional;01 Araba/Álava;01020 Kuartango;Total;2020;20
Total Nacional;01 Araba/Álava;01021 Elburgo/Burgelu;Total;2020;40
Total Nacional;01 Araba/Álava;01022 Elciego;Total;2020;63
Total Nacional;01 Araba/Álava;01023 Elvillar/Bilar;Total;2020;26
Total Nacional;01 Araba/Álava;01027 Iruraiz-Gauna;Total;2020;33
Total Nacional;01 Araba/Álava;01028 Labastida/Bastida;Total;2020;110
Total Nacional;01 Araba/Álava;01030 Lagrán;Total;2020;11
Total Nacional;01 Araba/Álava;01031 Laguardia;Total;2020;258
Total Nacional;01 Araba/Álava;01032 Lanciego/Lantziego;Total;2020;70
Total Nacional;01 Araba/Álava;01033 Lapuebla de Labarca;Total;2020;74
Total Nacional;01 Araba/Álava;01034 Leza;Total;2020;14
Total Nacional;01 Araba/Álava;01036 Laudio/Llodio;Total;2020;855
Total Nacional;01 Araba/Álava;01037 Arraia-Maeztu;Total;2020;39
Total Nacional;01 Araba/Álava;01039 Moreda de Álava/Moreda Araba;Total;2020;16
Total Nacional;01 Araba/Álava;01041 Navaridas;Total;2020;19
Total Nacional;01 Araba/Álava;01042 Okondo;Total;2020;73
Total Nacional;01 Araba/Álava;01043 Oyón-Oion;Total;2020;254
Total Nacional;01 Araba/Álava;01044 Peñacerrada-Urizaharra;Total;2020;18
Total Nacional;01 Araba/Álava;01046 Erriberagoitia/Ribera Alta;Total;2020;61
Total Nacional;01 Araba/Álava;01047 Erriberabeitia;Total;2020;58
Total Nacional;01 Araba/Álava;01049 Añana;Total;2020;14
Total Nacional;01 Araba/Álava;01051 Agurain/Salvatierra;Total;2020;233
Total Nacional;01 Araba/Álava;01052 Samaniego;Total;2020;28
Total Nacional;01 Araba/Álava;01053 San Millán/Donemiliaga;Total;2020;33
Total Nacional;01 Araba/Álava;01054 Urkabustaiz;Total;2020;70
Total Nacional;01 Araba/Álava;01055 Valdegovía/Gaubea;Total;2020;69
Total Nacional;01 Araba/Álava;01056 Harana/Valle de Arana;Total;2020;10
Total Nacional;01 Araba/Álava;01057 Villabuena de Álava/Eskuernaga;Total;2020;49
Total Nacional;01 Araba/Álava;01058 Legutio;Total;2020;221
Total Nacional;01 Araba/Álava;01059 Vitoria-Gasteiz;Total;2020;13.943
Total Nacional;01 Araba/Álava;01060 Yécora/Iekora;Total;2020;14
Total Nacional;01 Araba/Álava;01061 Zalduondo;Total;2020;13
Total Nacional;01 Araba/Álava;01062 Zambrana;Total;2020;24
Total Nacional;01 Araba/Álava;01063 Zuia;Total;2020;159
Total Nacional;01 Araba/Álava;01901 Iruña Oka/Iruña de Oca;Total;2020;206
Total Nacional;01 Araba/Álava;01902 Lantarón;Total;2020;67
Total Nacional;02 Albacete;02001 Abengibre;Total;2020;51
Total Nacional;02 Albacete;02002 Alatoz;Total;2020;27
Total Nacional;02 Albacete;02003 Albacete;Total;2020;12.449
Total Nacional;02 Albacete;02004 Albatana;Total;2020;30
Total Nacional;02 Albacete;02005 Alborea;Total;2020;54
Total Nacional;02 Albacete;02006 Alcadozo;Total;2020;28
Total Nacional;02 Albacete;02007 Alcalá del Júcar;Total;2020;86
Total Nacional;02 Albacete;02008 Alcaraz;Total;2020;105
Total Nacional;02 Albacete;02009 Almansa;Total;2020;1.772
Total Nacional;02 Albacete;02010 Alpera;Total;2020;123
Total Nacional;02 Albacete;02011 Ayna;Total;2020;22
Total Nacional;02 Albacete;02012 Balazote;Total;2020;153
Total Nacional;02 Albacete;02013 Balsa de Ves;Total;2020;6
Total Nacional;02 Albacete;02014 Ballestero, El;Total;2020;23
Total Nacional;02 Albacete;02015 Barrax;Total;2020;113
Total Nacional;02 Albacete;02016 Bienservida;Total;2020;27
Total Nacional;02 Albacete;02017 Bogarra;Total;2020;40
Total Nacional;02 Albacete;02018 Bonete;Total;2020;59
