Codigo Municipio,Densidad,Umbral
01001,146.62,Poblado
01002,107.03,Poblado
01003,19.94,Poblado
01004,66.29,Poblado
01006,17.81,Poblado
01008,17.67,Poblado
01009,24.99,Poblado
01010,20.93,Poblado
01011,30.21,Poblado
01013,9.3,Despoblado11
01014,13.01,Poblado
01016,4.33,Despoblado11
01017,12.66,Poblado
01018,17.65,Poblado
01019,13.98,Poblado
01020,4.16,Despoblado11
01021,19.76,Poblado
01022,61.25,Poblado
01023,18.69,Poblado
01027,11.33,Despoblado11
01028,40.2,Poblado
01030,4.03,Despoblado11
01031,18.09,Poblado
01032,28.54,Poblado
01033,141.82,Poblado
01034,22.08,Poblado
01036,477.31,Poblado
01037,5.86,Despoblado11
01039,24.11,Poblado
01041,22.09,Poblado
01042,40.07,Poblado
01043,75.65,Poblado
01044,4.62,Despoblado11
01046,6.52,Despoblado11
01047,56.14,Poblado
01049,7.66,Despoblado11
01051,133.15,Poblado
01052,29.11,Poblado
01053,8.49,Despoblado11
01054,23.24,Poblado
01055,4.61,Despoblado11
01056,7.34,Despoblado11
01057,33.84,Poblado
01058,43.47,Poblado
01059,913.76,Poblado
01060,14.15,Poblado
01061,16.16,Poblado
01062,10.18,Despoblado11
01063,18.91,Poblado
01901,65.14,Poblado
01902,13.57,Poblado
02001,24.31,Poblado
02002,9.46,Despoblado11
02003,153.26,Poblado
02004,22.33,Poblado
02005,11.8,Despoblado11
02006,7.37,Despoblado11
02007,9.19,Despoblado11
02008,4.34,Despoblado11
02009,45.86,Poblado
02010,12.8,Poblado
02011,5.5,Despoblado11
02012,36.27,Poblado
02013,2.81,Despoblado11
02014,3.41,Despoblado11
02015,10.87,Despoblado11
02016,8.03,Despoblado11
02017,6.08,Despoblado11
02018,9.76,Despoblado11
02019,6.03,Despoblado11
02020,8.86,Despoblado11
02021,15.3,Poblado
02022,4.23,Despoblado11
02023,5.96,Despoblado11
02024,43.97,Poblado
02025,71.15,Poblado
02026,18.75,Poblado
02027,4.28,Despoblado11
02028,11.13,Despoblado11
02029,5.91,Despoblado11
02030,14.85,Poblado
02031,5.99,Despoblado11
02032,11.69,Despoblado21
02033,18.35,Poblado
02034,16.95,Poblado
02035,18.68,Poblado
02036,4.29,Despoblado11
02037,38.93,Poblado
02038,5.61,Despoblado11
02039,6.36,Despoblado11
02040,6.56,Despoblado11
02041,6.47,Despoblado11
02042,4.09,Despoblado11
02043,4.47,Despoblado11
02044,4.56,Despoblado11
02045,63.45,Poblado
02046,12.76,Poblado
02047,1.13,Despoblado11
02048,21.25,Poblado
02049,7.31,Despoblado11
02050,5.04,Despoblado11
02051,11.46,Despoblado21
02052,25.4,Poblado
02053,14.95,Poblado
02054,12.68,Poblado
02055,3.46,Despoblado11
02056,36.08,Poblado
02057,10.84,Despoblado11
02058,4.02,Despoblado11
02059,2.11,Despoblado11
02060,8.54,Despoblado11
02061,11.3,Despoblado11
02062,10.99,Despoblado11
02063,11.61,Despoblado21
02064,5.77,Despoblado11
02065,4.46,Despoblado11
02066,10.12,Despoblado11
02067,16.39,Poblado
02068,3.86,Despoblado11
02069,38.61,Poblado
02070,12.19,Despoblado11
02071,13.81,Poblado
02072,12.59,Poblado
02073,29.08,Poblado
02074,23.69,Poblado
02075,27.55,Poblado
02076,3.23,Despoblado11
02077,0.97,Despoblado11
02078,23.16,Poblado
02079,31.48,Poblado
02080,8.04,Despoblado11
02081,28.96,Poblado
02082,7.28,Despoblado11
02083,7.86,Despoblado11
02084,6.04,Despoblado11
02085,5.8,Despoblado11
02086,6.39,Despoblado11
02901,23.94,Poblado
03001,41.51,Poblado
03002,73.62,Poblado
03003,22.45,Poblado
03004,56.79,Poblado
03005,206.6,Poblado
03006,92.78,Poblado
03007,55.35,Poblado
03008,12.43,Despoblado21
03009,455.32,Poblado
03010,20.63,Poblado
03011,1064.12,Poblado
03012,183.87,Poblado
03013,72.23,Poblado
03014,1667.18,Poblado
03015,501.38,Poblado
03016,13.27,Poblado
03017,461.11,Poblado
03018,658.06,Poblado
03019,298.82,Poblado
03020,11.91,Despoblado21
03021,141.47,Poblado
03022,18.81,Poblado
03023,48.93,Poblado
03024,584.46,Poblado
03025,158.29,Poblado
03026,300.95,Poblado
03027,12.2,Despoblado21
03028,53.59,Poblado
03029,26.18,Poblado
03030,155.88,Poblado
03031,1794.81,Poblado
03032,8.4,Despoblado11
03033,11.36,Despoblado21
03034,762.16,Poblado
03035,77.25,Poblado
03036,29.88,Poblado
03037,13.21,Poblado
03038,71.4,Poblado
03039,10.2,Despoblado21
03040,118.57,Poblado
03041,164.42,Poblado
03042,351.54,Poblado
03043,36.96,Poblado
03044,1705.85,Poblado
03045,31.39,Poblado
03046,94.77,Poblado
03047,1000.85,Poblado
03048,218.96,Poblado
03049,773.71,Poblado
03050,524.93,Poblado
03051,19.66,Poblado
03052,61.65,Poblado
03053,93.82,Poblado
03054,11.23,Despoblado11
03055,443.56,Poblado
03056,216.3,Poblado
03057,7.88,Despoblado11
03058,444.46,Poblado
03059,284.24,Poblado
03060,6.83,Despoblado11
03061,247.81,Poblado
03062,225.16,Poblado
03063,649.03,Poblado
03064,407.49,Poblado
03065,717.32,Poblado
03066,1152.43,Poblado
03067,10.62,Despoblado11
03068,6.38,Despoblado11
03069,175.2,Poblado
03070,1001.62,Poblado
03071,306.1,Poblado
03072,52.77,Poblado
03073,28.65,Poblado
03074,363.88,Poblado
03075,15.23,Poblado
03076,470.92,Poblado
03077,38.26,Poblado
03078,103.51,Poblado
03079,378.31,Poblado
03080,166.39,Poblado
03081,83.61,Poblado
03082,407.97,Poblado
03083,41.9,Poblado
03084,18.39,Poblado
03085,40.26,Poblado
03086,24.77,Poblado
03088,106.89,Poblado
03089,79.99,Poblado
03090,538.91,Poblado
03091,94.49,Poblado
03092,308.4,Poblado
03093,338.23,Poblado
03094,847.75,Poblado
03095,680.12,Poblado
03096,156.35,Poblado
03097,125.94,Poblado
03098,32.71,Poblado
03099,216.06,Poblado
03100,83.52,Poblado
03101,270.66,Poblado
03102,193.76,Poblado
03103,6.65,Despoblado11
03104,326.13,Poblado
03105,64.38,Poblado
03106,17.83,Poblado
03107,224.69,Poblado
03109,2928.03,Poblado
03110,137.3,Poblado
03111,852.7,Poblado
03112,15.28,Poblado
03113,576.2,Poblado
03114,58.72,Poblado
03115,75.98,Poblado
03116,26.61,Poblado
03117,178.17,Poblado
03118,408.07,Poblado
03119,2527.28,Poblado
03120,119.47,Poblado
03121,587.14,Poblado
03122,1452.82,Poblado
03123,156.48,Poblado
03124,14.89,Poblado
03125,126.3,Poblado
03127,20.27,Poblado
03128,355.53,Poblado
03129,24.03,Poblado
03130,3.07,Despoblado11
03131,61.01,Poblado
03132,18.67,Poblado
03133,1154.43,Poblado
03134,8.18,Despoblado11
03135,8.76,Despoblado11
03136,10.39,Despoblado21
03137,36.57,Poblado
03138,593.26,Poblado
03139,585.38,Poblado
03140,98.51,Poblado
03901,751.66,Poblado
03902,290.41,Poblado
03903,341.76,Poblado
03904,183.42,Poblado
04001,27.81,Poblado
04002,14.44,Poblado
04003,284.32,Poblado
04004,20.8,Poblado
04005,10.01,Despoblado11
04006,71.73,Poblado
04007,12.57,Poblado
04008,6.44,Despoblado11
04009,10.37,Despoblado11
04010,41.18,Poblado
04011,142.26,Poblado
04012,34.75,Poblado
04013,678.86,Poblado
04014,6.2,Despoblado11
04015,7.61,Despoblado11
04016,33.64,Poblado
04017,70.83,Poblado
04018,40.54,Poblado
04019,3.23,Despoblado11
04020,10.6,Despoblado11
04021,8.69,Despoblado11
04022,20.85,Poblado
04023,3.04,Despoblado11
04024,272.32,Poblado
04026,9.22,Despoblado21
04027,9.35,Despoblado11
04028,21.08,Poblado
04029,68.39,Poblado
04030,17.6,Poblado
04031,44.93,Poblado
04032,85.72,Poblado
04033,5.54,Despoblado11
04034,5.31,Despoblado11
04035,55.44,Poblado
04036,21.25,Poblado
04037,9.4,Despoblado11
04038,29.15,Poblado
04041,6.78,Despoblado11
04043,8.13,Despoblado11
04044,93.43,Poblado
04045,14.76,Poblado
04046,10.71,Despoblado11
04047,34.31,Poblado
04048,86.05,Poblado
04049,1270.91,Poblado
04050,4.86,Despoblado11
04051,25.81,Poblado
04052,858.77,Poblado
04053,62.05,Poblado
04054,22.72,Poblado
04055,13.8,Poblado
04056,8.48,Despoblado11
04057,17.14,Poblado
04058,14.09,Poblado
04059,10.78,Despoblado21
04060,5.4,Despoblado11
04061,9.12,Despoblado11
04062,124.35,Poblado
04063,6.35,Despoblado11
04064,101.44,Poblado
04065,6.33,Despoblado11
04066,52.45,Poblado
04067,17.31,Poblado
04068,5.95,Despoblado11
04069,266.98,Poblado
04070,12.32,Despoblado11
04071,16.46,Poblado
04072,20.24,Poblado
04073,9.67,Despoblado11
04074,89.95,Poblado
04075,109.04,Poblado
04076,28.9,Poblado
04077,11.33,Despoblado21
04078,40.88,Poblado
04079,1655.07,Poblado
04080,12.02,Despoblado11
04081,13.68,Poblado
04082,6.59,Despoblado11
04083,12.26,Despoblado21
04084,13.75,Poblado
04085,27.53,Poblado
04086,11.19,Despoblado11
04087,19.52,Poblado
04088,13.86,Poblado
04089,22.61,Poblado
04090,5.85,Despoblado11
04091,23.66,Poblado
04092,52.09,Poblado
04093,36.05,Poblado
04094,5.95,Despoblado11
04095,21.1,Poblado
04096,14.49,Poblado
04097,4.56,Despoblado11
04098,5.16,Despoblado11
04099,23.08,Poblado
04100,307.35,Poblado
04101,292.87,Poblado
04102,425.83,Poblado
