Nombre Provincia,Codigo Provincia,Nombre Municipio,Codigo Municipio,Poblacion Total,Poblacion Hombre,Poblacion Mujer,Superficie Km2,Densidad Poblacion,Altitud Municipios,Nacimientos,Matrimonios,Defunciones,Regimen General,Regimen Agrario,Regimen Mar,Regimen Hogar,Regimen Autonomos,Regimen Carbon,Total Regimen SS,Total Contratos,Contratos iniciales indefinidos hombres,Contratos iniciales temporales hombres,Contratos convertidos en indefinidos hombres,Contratos iniciales indefinidos mujeres,Contratos iniciales temporales mujeres,Contratos convertidos en indefinidos mujeres,Contratos  Agricultura,Contratos  Industria,Contratos Construcción,Contratos  Servicios,Total Paro Registrado,Paro hombre edad < 25,Paro hombre edad 25 -45 ,Paro hombre edad >=45,Paro mujer edad < 25,Paro mujer edad 25 -45 ,Paro mujer edad >=45,Paro Agricultura,Paro Industria,Paro Construcción,Paro Servicios,Paro Sin empleo Anterior,Nº Establecimientos Agricultura,Nº Establecimientos Industria,Nº Establecimientos Construccion,Nº Establecimientos Servicios,Nº Centros Sanitarios,Nº Centros Educativos,Número de transacciones anuales 2011,Nº Residencias Mayores,Nº Instituciones Religiosas y Militares,Nº Hombres Extranjeros,Nº Mujeres Extranjeras,Nº Total Extranjeros,Nº Hombres Otra CCAA,Nº Mujeres Otra CCAA,Nº Total Otra CCAA,Nº edificios,Nº Inmuebles,Nº viviendas,Edad < 16,16 =< Edad =<64,Edad >= 65,Soltero/a,Casado/a,Separado/a,Divorciado/a,Viudo/a,Sin Estudios,Estudios Primarios o Secundarios,Estudios Superiones,Nº de Jubilados,Nº de Estudiantes,Empresario que emplea personal,Empresario que no emplea personal,1 hijo/a,2 hijos/as,3 hijos/as,4 o más hijos/as,Nº de Alquileres,Hogares Unipersonales,Hogares Familiares,1 persona,2 personas,3 personas,4 personas,5 personas,6 o más personas,Edad Media Edificios,Uso Industrial,Uso Residelcial,Uso Terciario,Otros Usos
Albacete,02,Abengibre,02001,902.0,457.0,445.0,30.77,29.31,634.0,5.0,3.0,19.0,149.0,23.0,0.0,2.0,92.0,0.0,266.0,9,0,7,0,0,2,0,1,1,0,7,729,52,143,121,31,225,157,154,116,23,382,54,3.0,5.0,1.0,13.0,1.0,2.0,3.0,0.0,0.0,40.0,28.0,68.0,16.0,28.0,44.0,455.0,462.0,462.0,75,545,240,295,485,2,2,60,370,320,70,250,125,30,115,30,145,50,35,25,50,795,50,185,205,245,100,75,42.0,183.0,461.0,11.0,4.0
Albacete,02,Albacete,02003,171390.0,84288.0,87102.0,1126.99,152.08,681.0,1957.0,658.0,1156.0,55548.0,2403.0,0.0,924.0,10621.0,0.0,69496.0,4525,108,2061,104,73,2092,87,472,168,290,3595,206017,15279,53061,29416,13377,59488,35396,8065,20335,28615,128710,20292,270.0,578.0,667.0,5639.0,21.0,128.0,1099.0,9.0,1.0,7104.0,6570.0,13674.0,8684.0,9293.0,17977.0,15346.0,89834.0,83229.0,29940,117445,23645,79255,76720,2205,4325,8525,32750,75040,33305,26480,36400,5255,6020,9455,21910,8840,6490,20340,13445,157585,13445,33800,39760,58910,16345,8765,26.0,40004.0,82879.0,7400.0,141.0
Albacete,02,Albatana,02004,794.0,403.0,391.0,30.5,26.03,582.0,5.0,3.0,5.0,33.0,39.0,0.0,2.0,69.0,0.0,143.0,12,0,9,0,0,2,1,6,0,0,6,898,59,118,159,44,192,326,82,99,124,555,38,1.0,4.0,1.0,9.0,1.0,2.0,2.0,0.0,0.0,22.0,19.0,41.0,38.0,40.0,78.0,536.0,570.0,570.0,90,470,230,285,415,2,2,60,365,275,35,235,135,25,45,2,120,65,35,2,60,700,60,205,140,220,105,55,52.0,80.0,454.0,8.0,3.0
Albacete,02,Almansa,02009,25432.0,12631.0,12801.0,531.82,47.82,687.0,254.0,101.0,214.0,5480.0,159.0,0.0,58.0,1649.0,0.0,7346.0,308,8,139,20,9,115,17,16,85,23,184,38565,2335,8082,5791,2262,9743,10352,1038,10969,3215,19231,4112,44.0,228.0,82.0,633.0,2.0,22.0,143.0,2.0,0.0,789.0,777.0,1567.0,1738.0,1749.0,3487.0,3823.0,12074.0,11752.0,4120,17035,4085,10740,11930,280,705,1580,6890,11545,2620,4695,4955,960,1020,1580,3525,1245,885,1195,2145,22890,2145,5270,6415,9580,1190,640,29.0,5131.0,12230.0,587.0,33.0
Albacete,02,Alpera,02010,2438.0,1261.0,1177.0,178.47,13.66,852.0,15.0,7.0,26.0,210.0,96.0,0.0,5.0,207.0,0.0,518.0,27,0,18,0,0,9,0,1,4,10,12,3354,234,541,615,263,906,795,256,721,382,1652,343,20.0,15.0,8.0,38.0,1.0,4.0,5.0,1.0,0.0,96.0,105.0,201.0,85.0,89.0,174.0,1517.0,1697.0,1696.0,360,1480,560,975,1210,2,2,190,980,945,85,625,425,100,75,85,335,160,120,190,190,2140,190,555,445,870,310,30,41.0,234.0,1268.0,36.0,1.0
Albacete,02,Balazote,02012,2461.0,1272.0,1189.0,65.15,37.77,771.0,17.0,6.0,30.0,405.0,383.0,0.0,2.0,210.0,0.0,1000.0,62,0,24,1,0,37,0,23,5,0,34,3601,264,519,511,282,1396,629,215,421,652,2178,135,24.0,15.0,14.0,39.0,1.0,4.0,9.0,1.0,0.0,103.0,74.0,177.0,38.0,27.0,65.0,906.0,1247.0,1240.0,400,1525,465,1000,1245,2,2,95,945,965,70,475,455,160,145,95,290,145,120,2,130,2210,130,355,720,870,300,15,30.0,468.0,1172.0,27.0,12.0
Albacete,02,Casas de Juan Núñez,02021,1461.0,747.0,714.0,88.98,16.42,704.0,14.0,4.0,18.0,86.0,37.0,0.0,2.0,135.0,0.0,260.0,21,2,8,0,1,10,0,4,2,0,15,1935,154,367,283,130,640,361,168,96,319,1256,96,12.0,6.0,8.0,31.0,1.0,2.0,6.0,1.0,0.0,60.0,55.0,115.0,40.0,51.0,91.0,774.0,866.0,852.0,220,890,320,580,695,2,35,100,465,650,85,345,275,85,100,50,160,80,80,95,110,1280,110,315,250,515,155,80,39.0,142.0,715.0,26.0,8.0
Albacete,02,Casas-Ibáñez,02024,4818.0,2486.0,2332.0,103.25,46.66,708.0,31.0,13.0,33.0,799.0,117.0,0.0,20.0,501.0,0.0,1437.0,99,1,50,9,1,35,3,6,21,5,67,5335,377,1290,1044,216,1479,929,606,998,568,2799,364,19.0,33.0,21.0,131.0,1.0,4.0,19.0,1.0,0.0,391.0,272.0,663.0,238.0,247.0,485.0,1905.0,2735.0,2608.0,755,3175,845,1870,2525,2,65,295,1415,2190,395,935,885,215,290,270,570,260,235,780,400,4360,400,1210,1355,1485,285,40,35.0,647.0,2454.0,154.0,21.0
Albacete,02,Caudete,02025,10477.0,5300.0,5177.0,141.63,73.97,554.0,119.0,29.0,99.0,1955.0,173.0,0.0,32.0,642.0,0.0,2802.0,136,6,69,5,2,44,10,12,16,30,78,17079,1124,3616,3027,1073,4847,3392,755,2658,3095,8602,1969,24.0,72.0,44.0,210.0,1.0,11.0,40.0,1.0,0.0,694.0,635.0,1328.0,1099.0,1173.0,2271.0,2412.0,5651.0,5322.0,1820,6865,1690,4525,5020,70,230,530,2880,4580,1065,1930,2050,315,295,550,1385,600,395,695,800,9490,800,2230,2435,3410,1385,115,30.0,2658.0,5557.0,276.0,15.0
Albacete,02,Cenizate,02026,1307.0,695.0,612.0,63.26,20.66,706.0,8.0,5.0,10.0,69.0,142.0,0.0,0.0,121.0,0.0,332.0,12,0,7,0,0,5,0,11,0,0,1,1874,196,406,259,72,460,481,486,205,123,959,101,21.0,1.0,4.0,17.0,1.0,3.0,3.0,0.0,0.0,127.0,102.0,229.0,41.0,32.0,73.0,577.0,680.0,680.0,180,795,270,475,675,2,2,75,325,690,30,245,195,55,40,95,145,65,70,365,75,1155,75,225,255,355,195,140,42.0,113.0,551.0,12.0,10.0
Albacete,02,Elche de la Sierra,02030,3951.0,1984.0,1967.0,239.49,16.5,630.0,37.0,9.0,47.0,523.0,68.0,0.0,9.0,286.0,0.0,886.0,36,0,21,0,0,13,2,1,5,4,26,7555,627,1382,1399,541,1984,1622,249,628,1247,4880,551,11.0,19.0,15.0,75.0,3.0,6.0,19.0,0.0,0.0,60.0,81.0,142.0,198.0,220.0,418.0,2122.0,2979.0,2981.0,550,2480,905,1690,1805,35,65,335,1290,1790,310,900,795,90,100,115,475,290,225,230,370,3515,370,880,975,1215,405,95,43.0,872.0,3051.0,128.0,91.0
Albacete,02,Fuensanta,02032,369.0,202.0,167.0,23.96,15.4,693.0,1.0,1.0,10.0,24.0,16.0,0.0,0.0,24.0,0.0,64.0,9,0,4,0,0,5,0,9,0,0,0,395,27,148,69,12,57,82,80,28,43,224,20,2.0,4.0,1.0,7.0,1.0,0.0,4.0,0.0,0.0,19.0,17.0,36.0,28.0,14.0,42.0,505.0,538.0,538.0,25,215,125,135,165,10,15,40,175,150,2,125,30,2,10,10,25,25,50,45,50,320,50,125,75,90,25,5,49.0,95.0,437.0,9.0,14.0
